Date	ActualValue	ForecastValue	PreviousValue
2020.04.02	-0.983	-0.878	-1.656
2020.03.06	-1.473	-1.677	-0.732
2020.02.05	-0.37	-2.539	-1.195
2020.01.07	-1.089	-0.985	-1.607
2019.12.05	-1.078	-1.152	-1.229
2019.11.05	-0.978	0.401	-1.235
2019.10.04	-0.955	1.056	-1.382
2019.09.04	-1.124	1.966	-0.055
2019.08.02	0.136	0.64	0.556
2019.07.03	0.762	-1.925	-1.083
2019.06.06	-0.966	-4.041	-2.336
2019.05.09	-3.211	-4.739	-3.418
2019.04.17	-2.895	-5.183	-3.086
2019.03.27	-4.246	-3.567	-4.823
2019.03.06	-4.593	-1.199	-1.98
2019.01.08	-2.06	0.008	-0.851
2018.12.06	-1.165	0.605	-0.891
2018.11.02	-0.416	0.366	-0.551
2018.10.05	0.526	-1.44	-0.189
2018.09.05	-0.114	-2.337	-0.743
2018.08.03	-0.626	-2.779	-2.724
2018.07.06	-2.771	-3.646	-1.864
2018.06.06	-1.902	-3.722	-3.933
2018.05.03	-4.14	-2.299	-2.932
2018.04.05	-2.686	-0.784	-1.938
2018.03.07	-1.907	-0.974	-3.05
2018.02.06	-3.186	-1.242	-2.71
2018.01.05	-2.54	-2.14	-1.551
2017.12.05	-1.474	-3.429	-3.364
2017.11.03	-3.18	-4.005	-3.181
2017.10.05	-3.413	-3.734	-2.983
2017.09.06	-3.04		-3.76
2017.08.04	-3.6		-1.36
2017.07.06	-1.09		-0.55
2017.06.02	-0.37		-0.94
2017.05.04	-0.14		-1.08
2017.04.04	-0.97		0.42
2017.03.07	0.81		0.45
2017.02.07	0.92		1.01
2017.01.06	0.53		-1.02
2016.12.06	-1.13		-4.38
2016.11.04	-4.08		-1.99
2016.10.05	-1.94		-2.19
2016.09.02	-2.49		-3.97
2016.08.05	-3.63		-3.5
2016.07.06	-3.28		-3.32
2016.06.03	-2.94		-3.18
2016.05.04	-3.41		-2.47
2016.04.05	-1.91		-0.63
2016.03.04	-0.66		-0.63
2016.02.05	-0.59		-1.59
2016.01.06	-1.99		-2.49
2015.12.04	-2.76		-2.32
2015.11.04	-1.73		-2.66
2015.10.06	-2.53		-0.82
2015.09.03	-0.59		-0.81
2015.08.05	-0.48		-3.37
2015.07.07	-3.34		-2.99
2015.06.03	-3		-3.02
2015.05.05	-3.02		-2.22
2015.04.02	-0.98		-2.45
2015.03.06	-1.48		-0.65
2015.02.05	-1.22		-0.64
2015.01.07	-0.34		0.1
2014.12.05	-0.33		0.71
2014.11.04	0.31		-0.61
2014.10.03	-0.46		2.58
2014.09.04	2.2		1.86
2014.08.06	1.83		0.58
2014.07.03	0.58		-0.64
2014.06.04	-0.96		0.08
2014.05.06	0.77		0.29
2014.04.03	0.85		-0.18
2014.03.07	-0.34		-1.66
2014.02.06	-0.92		-1.53
2014.01.07	-1.53		0.075
2013.12.04	-0.91		-0.44
2013.11.14	-0.3		-1.09
2013.10.08	-1.09		-0.93
2013.09.04	-1.19		-0.47
2013.08.06	-0.46		-0.3
2013.07.03	-0.78		-0.57
2013.06.04	-0.95		0.02
2013.05.02	-0.003		-1.02
2013.04.05	-1.25		-0.24
2013.03.07	-0.75		-0.9
2013.02.08	-0.9		-1.96
2013.01.11	-1.67		-0.17
2012.12.11	-0.17		-0.83
2012.11.08	-1.01		-1.32
2012.10.11	-1.52		-2.34
2012.09.11	-2.53		-1.81
2012.08.09	-1.93		-0.95
2012.07.11	-0.95		-0.37
2012.06.08	-0.62		0.35
2012.05.10	0.15		0.29
2012.04.12	0.27		1.95
2012.03.09	1.95		2.86
2012.02.10	2.86		1.17
2012.01.13	1.17		-0.89
2011.12.09	-0.487		1.03
2011.11.10	1.027		-0.62
2011.10.13	-0.487		-0.75
2011.09.08	-0.539		-1.6
2011.08.11	-1.368		-0.814
2011.07.12	-1.037		-0.92
2011.06.09	-0.857		0.63
2011.05.11	-0.417		0.356
2011.04.12	0.356		0.12
2011.03.10	0.382		3
2011.02.11	1.71		-0.12
2011.01.13	-0.115		-1.48
2010.12.10	-1.185		2.3
2010.11.10	-2.368		-1.49
2010.10.14	-2.085		-2.55
2010.09.09	-2.472		-1.81
2010.08.11	-1.841		-0.7
2010.07.13	-0.703		-0.33
2010.06.10	-0.08		-0.24
2010.05.12	-0.591		1.2
2010.04.13	0.524		0.754
2010.03.11	0.76		0.075
2010.02.10	0.17		-0.2
2010.01.12	-0.153		0.4
2009.12.10	0.419		-0.93
2009.11.13	-0.803		-1.99
2009.10.09	-1.68		-1.3
2009.09.10	-0.903		0.037
2009.08.12	-0.103		-1.1
2009.07.10	-1.372		-0.389
2009.06.10	-0.542		1
2009.05.12	1.209		0.262
2009.04.09	0.465		-1.15
2009.03.13	-1.271		-0.458
2009.02.11	-0.788		1.16
2009.01.13	0.819		3.78
2008.12.11	2.3		4.49
2008.11.13	4.25		5.8
2008.10.10	5.63		4.9
2008.09.11	4.9		5.8
2008.08.12	5.8		5.54
2008.07.11	5.2		5.11
2008.06.10	4.8		5.53
2008.05.09	5.53		4.94
2008.04.10	4.79		3.26
2008.03.11	2.78		2.35
2008.02.14	2.35		3.7
2008.01.11	3.76		3.32
2007.12.12	3.32		2.65
2007.11.09	2.65		4.07
2007.10.11	4.3		3.7
2007.09.13	3.41		5.9
2007.07.12	5.9		5.8
2007.06.14	5.8		4.83
2007.04.13	4.83		6.35
2007.03.09	6.35		
