Date	ActualValue	ForecastValue	PreviousValue
2020.04.17	-9.8	1.3	1.5
2020.01.17	1.5	1.4	1.5
2019.10.18	1.5	1.6	1.6
2019.07.15	1.6	1.9	1.4
2019.04.17	1.4	1.4	1.5
2019.01.21	1.5	1.4	1.6
2018.10.19	1.6	1.7	1.8
2018.07.16	1.8	1.8	1.4
2018.04.17	1.4	1.1	1.6
2018.01.18	1.6		1.7
2017.10.19	1.7		1.7
2017.07.17	1.7		1.3
2017.04.17	1.3		1.7
2017.01.20	1.7		1.8
2016.10.19	1.8		1.8
2016.07.15	1.8		1.1
2016.04.15	1.1		1.6
2016.01.19	1.6		1.8
2015.10.19	1.8		1.7
2015.07.15	1.7		1.3
2015.04.15	1.3		1.5
2015.01.20	1.5		1.9
2014.10.21	1.9		2.0
2014.07.16	2.0		1.4
2014.04.16	1.4		1.8
2014.01.20	1.8		2.2
2013.10.18	2.2		1.7
2013.07.15	1.7		1.6
2013.04.15	1.6		2.0
2013.01.18	2.0		2.2
2012.10.18	2.2		1.8
2012.07.13	1.8		1.8
2012.04.13	1.8		2.0
2012.01.17	2.0		2.3
2011.10.18	2.3		
