Date	ActualValue	ForecastValue	PreviousValue
2020.04.14	139.42	74.59	-42.59
2020.03.07	-42.59	261.58	329.27
2020.01.14	329.27	327.369	274.21
2019.12.08	274.21	324.334	301.28
2019.11.08	301.28	220.22	275.15
2019.10.14	275.15	96.626	239.6
2019.09.08	239.6	145.43	310.26
2019.08.08	310.26	227.289	345.18
2019.07.12	345.18	284.674	279.12
2019.06.10	279.12	140.505	93.57
2019.05.08	93.57	155.717	221.23
2019.04.12	221.23	178.203	34.47
2019.03.08	34.47	228.707	271.16
2019.02.14	271.16	200.013	394.99
2019.01.14	394.99	236.12	306.04
2018.12.08	306.04	281.462	233.63
2018.11.08	233.63	180.059	213.23
2018.10.12	213.23	192.276	179.75
2018.09.08	179.75	195.888	176.96
2018.08.08	176.96	280.927	261.88
2018.07.13	261.88	165.647	156.51
2018.06.08	156.51	148.309	182.8
2018.05.08	182.8	124.866	-29.78
2018.04.13	-29.78	162.682	224.9
2018.03.08	224.9		135.8
2018.02.08	135.8		361.98
2018.01.12	361.98		263.6
2017.12.08	263.6		254.5
2017.11.08	254.5		193
2017.10.13	193		286.5
2017.09.08	286.5		321.2
2017.08.08	321.2		294.3
2017.07.13	294.3		282
2017.06.08	282		262.3
2017.05.08	262.3		164.34
2017.04.13	164.34		-60.4
2017.03.08	-60.4		354.5
2017.02.10	354.5		335
2017.01.13	335		298.11
2016.12.08	298.11		325.25
2016.11.08	325.25		278.4
2016.10.13	278.4		346
2016.09.08	346		342.8
2016.08.08	342.8		311.2
2016.07.13	311.2		324.77
2016.06.08	324.77		298
2016.05.08	298		194.6
2016.04.13	194.6		209.5
2016.03.08	210		406.2
2016.02.15	406.2		382
2016.01.13	382		343
2015.12.08	343		393
2015.11.08	393		376
2015.10.13	376		368
2015.09.08	368		263
2015.08.08	263		284
2015.07.13	284		367
2015.06.08	367		210
2015.05.08	210		18
2015.04.13	18		371
2015.03.08	371		367
2015.02.08	367		
