Date	ActualValue	ForecastValue	PreviousValue
2020.06.15	5.9	5.5	6.0
2020.05.15	6.0	5.6	5.9
2020.04.17	5.9	5.6	6.2
2020.03.16	6.2	5.4	5.2
2020.01.17	5.2	5.3	5.1
2019.12.16	5.1	5.2	5.1
2019.11.14	5.1	5.1	5.2
2019.10.18	5.2	5.2	5.2
2019.09.16	5.2		5.3
2019.08.14	5.3		5.1
2019.07.15	5.1		5.0
2019.06.14	5.0		5.0
2019.05.15	5.0		5.2
2019.04.17	5.2		5.3
2019.03.14	5.3		4.9
2019.01.21	4.9		4.8
2018.12.14	4.8		4.9
2018.11.14	4.9		4.9
2018.10.19	4.9		5.0
2018.09.14	5.0		5.1
2018.08.14	5.1		4.8
2018.07.16	4.8		4.8
2018.06.14	4.8		4.9
2018.05.15	4.9		5.1
2018.04.17	5.1		
