Date	ActualValue	ForecastValue	PreviousValue
2020.06.30	0.8	1.1	0.9
2020.06.17	0.9	0.9	0.9
2020.05.29	0.9	1.1	0.9
2020.05.20	0.9	0.9	0.9
2020.04.30	0.9	1.0	1.0
2020.04.17	1.0	1.0	1.0
2020.03.31	1.0	1.0	1.2
2020.03.18	1.2	1.2	1.2
2020.03.03	1.2	1.1	1.1
2020.02.21	1.1	1.1	1.1
2020.01.31	1.1	1.3	1.3
2020.01.17	1.3	1.3	1.3
2020.01.07	1.3	1.3	1.3
2019.12.18	1.3	1.3	1.3
2019.11.29	1.3	1.0	1.1
2019.11.15	1.1	1.1	1.1
2019.10.31	1.1	0.9	1.0
2019.10.16	1.0	1.0	1.0
2019.10.01	1.0	0.9	0.9
2019.09.18	0.9	0.9	0.9
2019.08.30	0.9	1.0	0.9
2019.08.19	0.9	0.9	0.9
2019.07.31	0.9	1.0	1.1
2019.07.17	1.1	1.1	1.1
2019.06.28	1.1	1.0	0.8
2019.06.18	0.8	0.8	0.8
2019.06.04	0.8	1.0	1.3
2019.05.17	1.3	1.2	1.2
2019.05.03	1.2	0.9	0.8
2019.04.17	0.8	0.8	0.8
2019.04.01	0.8	1.0	1.0
2019.03.15	1.0	1.0	1.0
2019.03.01	1.0	1.0	1.1
2019.02.22	1.1	1.1	1.1
2019.02.01	1.1	1.0	1.0
2019.01.17	1.0	1.0	1.0
2019.01.04	1.0	1.0	1.0
2018.12.17	1.0	1.0	1.0
2018.11.30	1.0	1.1	1.1
2018.11.16	1.1	1.0	1.1
2018.10.31	1.1	1.0	0.9
2018.10.17	0.9	1.0	0.9
2018.09.28	0.9	1.0	1.0
2018.09.17	1.0	1.0	1.0
2018.08.31	1.0	1.0	1.1
2018.08.17	1.1	1.0	1.1
2018.07.31	1.1	0.9	0.9
2018.07.18	0.9	0.9	1.0
2018.06.29	1.0	0.9	1.1
2018.06.15	1.1	0.9	1.1
2018.05.31	1.1	0.9	0.7
2018.05.16	0.7	0.9	0.7
2018.05.03	0.7	1.0	1.0
2018.04.18	1.0	0.9	1.0
2018.04.04	1.0	0.9	1.0
2018.03.16	1.0	0.9	1.0
