Date	ActualValue	ForecastValue	PreviousValue
2020.06.09	0.4	0.3	0.3
2020.05.15	0.3	0.8	1.1
2020.03.10	1.1	1.0	1.0
2020.02.14	1.0	0.9	1.0
2019.12.05	0.9	1.0	1.0
2019.11.14	1.0	1.0	1.2
2019.09.06	1.2	1.1	1.1
2019.08.14	1.1	1.1	1.3
2019.06.06	1.3	1.3	1.3
2019.05.15	1.3	0.8	1.3
2019.03.07	1.3	1.2	1.2
2019.02.14	1.2	1.0	1.3
2018.12.07	1.3	1.0	1.3
2018.11.14	1.3	1.3	1.5
2018.09.11	1.5	1.4	1.5
2018.06.13	1.4	1.6	1.6
2018.03.14	1.6	1.6	1.7
2017.12.13	1.7	1.7	1.6
2017.09.13	1.6	1.9	1.6
2017.06.14	1.5	1.0	1.4
2017.03.15	1.1		1.2
2016.12.13	1.2		1.4
2016.09.13	1.4		1.4
2016.06.14	1.4		1.2
2016.03.15	1.2		1.1
2015.12.15	1.1		1.0
2015.09.15	0.8		0.8
2015.06.16	0.8		0.9
2015.03.17	0.9		0.6
2014.12.12	0.7		0.4
2014.09.12	0.4		0.2
2014.06.13	0.2		-0.5
2014.03.14	-0.4		-0.8
2013.12.13	-0.8		-1.0
2013.09.13	-1.1		-1.0
2013.06.14	-1.0		-0.8
2013.03.14	-0.8		-0.7
2012.12.14	-0.6		-0.6
2012.09.14	-0.7		-0.5
2012.06.15	-0.5		-0.2
2012.03.15	-0.2		0.2
2011.12.15	0.2		0.5
2011.09.15	0.4		0.3
2011.06.16	0.2		0.3
2011.03.15	0.2		-0.2
2010.12.15	-0.1		-0.6
2010.09.15	-0.6		-1.2
2010.06.15	-1.2		-2.0
2010.03.15	-2.1		-2.1
2009.12.14	-2.2		-1.8
2009.09.14	-1.9		-1.2
2009.06.15	-1.3		0.0
2009.03.16	-0.1		0.8
2008.12.16	0.6		1.2
2008.09.12	1.2		1.6
2008.06.13	1.6		1.7
2008.03.17	1.8		1.9
2007.12.12	1.9		1.7
2007.09.13	1.8		1.4
2007.08.13	1.4		1.6
2007.03.14	1.6		
