Date	ActualValue	ForecastValue	PreviousValue
2020.06.29	-4.4	-12.6	-8.6
2020.05.28	-8.6	-8	-7.5
2020.04.29	-7.9	0.7	-0.3
2020.03.30	-0.7	3	3.5
2020.02.27	3.8	1.8	2.9
2020.01.30	3	0.7	2.1
2020.01.08	1.9	1	0.7
2019.11.28	0.7	2.2	1.1
2019.10.30	1.6		1.4
2019.09.27	1.6		2.3
2019.08.29	2.2		1.4
2019.07.30	1.7		3.2
2019.06.27	3.3		5.3
2019.05.28	5.3		5.2
2019.04.29	5.2		6.9
2019.03.28	7		9
2019.02.27	8.9		10.7
2019.01.30	10.9		13
2019.01.08	12.3		11.2
2018.11.29	11.3		9.7
2018.10.30	9.5		11.6
2018.09.27	11.6		10.5
2018.08.30	10.3		9.6
2018.07.30	9.7		10.1
2018.06.28	9.9		9.3
2018.05.30	9.3		9.9
2018.04.27	10.4		11.6
2018.03.27	11.5		12.6
2018.02.27	12.6		12.4
2018.01.30	12.4		13
2018.01.08	13.4		11.1
2017.11.29	11.1		8.7
2017.10.30	8.6		10.5
2017.09.28	10.5		8.1
2017.08.30	8.3		7.5
2017.07.28	7.5		7.1
2017.06.29	7.2		8.2
2017.05.30	8.2		8.2
2017.04.27	8.2		9.6
2017.03.30	9.8		9
2017.02.27	9		8.3
2017.01.30	8.3		5.4
2017.01.06	4.9		4.9
2016.11.29	4.8		3.5
2016.10.28	3.2		0
2016.09.29	0		-0.8
2016.08.30	-0.8		0.2
2016.07.28	0.2		0.6
2016.06.29	0.7		-0.7
2016.05.30	-0.7		-2.8
2016.04.28	-2.4		-4.6
2016.03.30	-4.4		-5.6
2016.02.26	-5.5		-4.1
2016.01.28	-4.2		-3.2
2016.01.07	-3		-0.7
2015.11.27	-0.7		-2.3
2015.10.29	-2.4		-3.3
2015.09.29	-3.3		-2.4
2015.08.28	-2.4		-0.1
2015.07.30	0		-2.9
2015.06.29	0		-0.6
2015.05.28	-0.5		-2.7
2015.04.29	-2.9		-4.6
2015.03.30	-4.4		-5.8
2015.02.26	-5.5		-5.9
2015.01.29	-5.7		-5.1
2015.01.08	-4.9		-1.6
2014.11.27	-1.5		0.3
2014.10.30	0.2		-1.9
2014.09.29	-1.8		
