Date	ActualValue	ForecastValue	PreviousValue
2020.05.08	27.2		32.3
2020.05.01	32.3		26
2020.04.24	26		22.6
2020.04.17	22.6		22.4
2020.04.10	22.4		18.3
2020.04.03	18.3		23.9
2020.03.27	23.9		32.9
2020.03.20	32.9		8.2
2020.03.13	8.2		-42.3
2020.03.06	-42.3		-56.4
2020.02.28	-56.4		-27.2
2020.02.21	-27.2		-26.2
2020.02.14	-26.2		-21.9
2020.02.07	-21.9		-36
2020.01.31	-36		-44.7
2020.01.24	-44.7		-31.4
2020.01.17	-31.4		-12.2
2020.01.10	-12.2		-25.3
2020.01.06	-25.3		-33.5
2019.12.30	-33.5		-42.1
2019.12.20	-42.1		-43.7
2019.12.13	-43.7		-47.8
2019.12.06	-47.8		-39.6
2019.12.02	-39.6		-35
2019.11.22	-35		-35
2019.11.15	-35		-26.6
2019.11.08	-26.6		-19.7
2019.11.01	-19.7		-18.2
2019.10.25	-18.2		-6.6
2019.10.18	-6.6		11
2019.10.11	11		13.9
2019.10.04	13.9		12.8
2019.09.27	12.8		23.9
2019.09.20	23.9		32.6
2019.09.13	32.6		27.7
2019.09.06	27.7		33.6
2019.08.30	33.6		31.2
2019.08.23	31.2		24.7
2019.08.16	24.7		10.6
2019.08.09	10.6		-4.2
2019.08.02	-4.2		-9.4
2019.07.26	-9.4		-11.4
2019.07.19	-11.4		-3.7
2019.07.12	-3.7		-1.2
2019.07.08	-1.2		-10.1
2019.06.28	-10.1		-16.6
2019.06.21	-16.6		-45.2
2019.06.14	-45.2		-44.4
2019.06.07	-44.4		-55.6
2019.05.31	-55.6		-55.2
2019.05.24	-55.2		-61.6
2019.05.17	-61.6		-91.7
2019.05.10	-91.7		-99.6
2019.05.03	-99.6		-94.4
2019.04.26	-94.4		-87.1
2019.04.19	-87.1		-71.5
2019.04.12	-71.5		-62.7
2019.04.05	-62.7		-62.1
2019.03.29	-62.1		-59.2
2019.03.22	-59.2		-58.8
2019.03.15	-58.8		-51.3
2019.03.08	-51.3		-39.7
2019.03.05	-39.7		-37.5
2019.03.01	-37.5		-30.7
2019.02.26	-30.7		-31.4
2019.02.22	-31.4		-33.3
2019.02.19	-33.3		-39.7
2019.02.15	-39.7		-46.4
2019.02.12	-46.4		-61.3
2019.02.08	-61.3		-88.6
2019.02.05	-88.6		-99.1
