Date	ActualValue	ForecastValue	PreviousValue
2020.06.07	-2.2	-3.4	-3.4
2020.05.17	-3.4	-3.1	-7.3
2020.03.08	-7.1	-6.3	-6.3
2020.02.16	-6.3	0.9	0.5
2019.12.08	1.8	0.2	0.2
2019.11.13	0.2	0.5	1.8
2019.09.08	1.3	1.8	1.8
2019.08.08	1.8	1.7	2.8
2019.06.09	2.2	2.1	2.1
2019.05.19	2.1	0.0	1.6
2019.03.07	1.9	1.4	1.4
2019.02.13	1.4	-2.1	-2.6
2018.12.09	-2.5	1.2	-1.2
2018.11.13	-1.2	0.4	3.0
2018.09.09	3.0	-0.8	1.9
2018.08.09	1.9	0.7	-0.9
2018.06.07	-0.6	0.9	-0.6
2018.05.15	-0.6	1.0	0.6
2018.03.07	1.6	0.7	0.5
2018.02.13	0.5	0.7	2.2
2017.12.07	2.5	0.0	1.4
2017.11.14	1.4	0.0	2.6
2017.09.07	2.5	0.0	4.0
2017.08.13	4.0	0.3	1.5
2017.06.07	1.0	0.5	2.2
2017.05.17	2.2	0.5	1.2
2017.03.07	1.2		1.0
2017.02.12	1.0		1.4
2016.12.07	1.3		2.2
2016.11.13	2.2		0.7
2016.09.07	0.7		0.2
2016.08.14	0.2		2.0
2016.06.07	1.9		1.7
2016.05.17	1.7		-1.7
2016.03.07	-1.1		-1.4
2016.02.14	-1.4		1.3
2015.12.07	1.0		-0.8
2015.11.15	-0.8		-0.7
2015.09.07	-1.2		-1.6
2015.08.16	-1.6		4.5
2015.06.07	3.9		2.4
2015.05.19	2.4		1.1
2015.03.08	1.5		-2.3
2015.02.15	2.2		-1.9
2014.12.07	2.2		-1.6
2014.11.16	-1.6		-7.1
2014.09.07	-7.3		-6.8
2014.08.12	6.1		6.7
2014.06.08	6.1		5.9
2014.05.14	5.9		0.7
2014.03.09	0.3		1.1
2014.02.16	1.0		1.0
2013.12.08	1.0		1.9
2013.11.13	1.9		3.8
2013.09.08	3.8		2.6
2013.08.11	2.6		4.1
2013.06.09	3.8		3.5
2013.05.15	3.5		0.2
2013.03.07	1.0		-0.4
2013.02.13	-0.4		-3.5
2012.12.09	-3.8		-3.5
2012.11.11	-3.5		0.7
2012.09.09	0.3		4.7
2012.08.12	1.4		1.4
2012.06.07	1.4		4.1
2012.05.16	4.1		-0.7
2012.03.07	0.1		-2.3
2012.02.12	-2.3		-2.3
2011.12.08	-2.3		6.0
2011.11.13	6.0		-2.1
2011.09.08	-2.1		-3.6
2011.08.14	-1.3		-3.5
2011.06.08	-1.3		-1.3
2011.05.18	-3.7		-3.7
2011.03.09	-3.7		-1.1
2011.02.13	-1.1		4.5
2010.12.08	4.5		3.9
2010.11.14	3.9		1.5
2010.09.09	1.5		0.4
2010.08.15	0.4		5.0
2010.06.09	5.0		4.2
2010.05.19	9.1		3.8
2010.03.10	4.9		6.3
2010.02.14	6.3		1.3
2009.12.08	0.0		2.7
2009.11.15	2.0		-11.7
2009.08.16	3.7		-14.2
2009.06.10	4.8		-14.4
2009.05.19	-15.2		-12.1
2009.03.11	-15.2		-1.8
2009.02.15	-12.7		-12.7
2008.12.08	-12.7		-0.4
2008.11.16	-0.4		-3.0
2008.09.11	-3.0		-2.4
2008.08.12	-2.4		4.0
2008.06.10	4.0		3.3
2008.05.15	3.3		3.5
2008.03.11	3.5		3.7
2008.02.13	3.7		1.5
2007.12.06	1.5		2.6
2007.11.12	2.6		-1.2
2007.10.16	-1.2		3.3
2007.06.10	3.3		2.4
2007.05.16	2.4		5.5
2007.03.11	5.5		4.8
2007.02.14	4.8		
