Date	ActualValue	ForecastValue	PreviousValue
2020.06.30	-34	-7	-8
2020.03.31	-8	-4	0
2019.12.12	0	9	5
2019.09.30	5	9	7
2019.06.30	7	13	12
2019.03.31	12	18	19
2018.12.13	19	16	19
2018.09.30	19	16	21
2018.07.01	21	23	24
2018.04.01	24	23	26
2017.12.14	25	25	22
2017.10.01	22	21	17
2017.07.02	17	12	12
2017.04.02	12		10
2016.12.13	10		6
2016.10.02	6		6
2016.06.30	6		6
2016.03.31	6		12
2015.12.13	12		12
2015.09.30	12		15
2015.06.30	15		12
2015.03.31	12		12
2014.12.14	12		13
2014.09.30	13		12
2014.06.30	12		17
2014.03.31	17		16
2013.12.15	16		12
2013.09.30	12		4
2013.06.30	4		-8
2013.03.31	-8		-12
2012.12.13	-12		-3
2012.09.30	-3		-1
2012.07.01	-1		-4
2012.04.01	-4		-4
2011.12.14	-4		2
2011.10.02	2		-9
2011.06.30	-9		6
2011.03.31	6		5
2010.12.14	5		8
2010.09.28	8		1
2010.06.30	1		-14
2010.03.31	-14		-24
2009.12.13	-24		-33
2009.09.30	-33		-58
2009.03.31	-58		-24
2008.12.14	-24		-3
2008.09.30	-3		5
2008.06.30	5		11
2008.03.31	11		19
2007.12.13	19		23
2007.09.30	23		23
2007.07.01	23		23
2007.04.01	23		
