Date	ActualValue	ForecastValue	PreviousValue
2020.04.06	-2.1	-2.5	-2.1
2020.03.04	-2.1	-0.8	-0.9
2020.02.05	-0.9	1.6	-3.4
2020.01.09	-2.8	3.0	4.3
2019.12.04	4.3	1.6	1.2
2019.11.05	1.2	0.2	0.0
2019.10.03	0.0	0.4	0.3
2019.09.04	0.3	0.6	-1.4
2019.08.05	-1.4	0.0	-3.9
2019.07.03	-3.9	0.2	0.1
2019.06.06	0.0	0.0	2.6
2019.05.06	2.5	-0.2	4.1
2019.04.03	1.4	-0.3	2.8
2019.03.05	2.8	-0.3	2.0
2019.02.05	2.1	-0.3	-0.2
2019.01.09	-0.2	-0.2	-0.5
2018.12.05	-0.6	-0.1	-2.4
2018.11.05	-2.4	-0.2	-2.4
2018.10.03	-1.8		-1.1
2018.09.05	-1.1		-3.3
2018.08.06	-3.2		-0.9
2018.07.04	-1.0		1.5
2018.06.06	1.5		1.0
2018.05.03	1.0		1.2
2018.04.05	1.2		2.8
2018.03.05	2.8		0.7
2018.02.05	0.7		-1.9
2018.01.17	-2.2		-0.9
2017.12.05	-0.9		-0.3
2017.11.06	-0.3		0.8
2017.10.04	0.8		-0.8
2017.09.05	-0.8		-0.8
2017.08.03	-0.8		2.1
2017.07.05	2.1		3.2
2017.06.06	3.2		-0.2
2017.05.04	-0.2		0.4
2017.04.05	0.4		2.0
2017.03.03	2.0		-0.1
2017.02.03	-0.1		0.7
2017.01.12	0.7		3.2
2016.12.05	2.7		0.7
2016.11.03	0.7		5.1
2016.10.05	5.1		3.2
2016.09.05	3.2		2.1
2016.08.03	2.0		3.7
2016.07.05	3.7		1.1
2016.06.03	1.0		-0.8
2016.05.04	-0.8		-1.3
2016.04.05	-1.3		0.5
2016.03.03	0.4		-2.3
2016.02.02	-2.3		-1.8
2016.01.12	-1.8		-5.6
2015.12.04	-5.6		7.1
2015.11.03	6.9		5.5
2015.10.02	5.5		-5.2
2015.09.02	-5.2		-5.5
2015.08.04	-11.2		-3.1
2015.07.02	-3.1		-4.9
2015.06.03	-4.7		-7.4
2015.05.04	-7.4		4.6
2015.04.02	4.6		4.2
2015.03.03	1.8		1.0
2015.02.03	-0.9		-4.4
2015.01.07	-4.4		-1.6
2014.12.02	-1.6		-0.8
2014.11.04	-0.8		-1.3
2014.10.02	-1.3		-3.3
2014.09.02	-3.3		-2.4
2014.08.04	-2.4		-0.9
2014.07.02	-0.9		-2.2
2014.06.04	-2.2		-3.7
2014.05.02	-4.0		-0.1
2014.04.02	-0.1		0.9
2014.03.04	0.9		1.2
2014.02.04	1.2		1.0
2014.01.09	1.0		-0.3
2013.12.03	-0.4		1.4
2013.11.04	1.3		1.0
2013.10.02	0.9		0.7
2013.09.03	0.7		0.6
2013.08.05	0.6		-3.7
2013.07.02	-3.7		-1.6
2013.06.05	-1.6		12.6
2013.05.02	12.6		7.4
2013.04.02	7.4		1.1
2013.03.04	1.0		0.3
2013.02.04	0.3		1.0
2013.01.10	1.0		0.9
2012.12.04	1.0		1.4
2012.11.02	1.3		3.4
2012.10.02	3.5		0.5
2012.09.04	0.5		-0.4
2012.08.02	-0.5		-2.4
2012.07.03	-2.4		-4.2
2012.06.01	-4.2		-4.5
2012.05.02	-4.5		-1.7
2012.04.04	-1.7		0.0
2012.03.02	0.0		1.1
2012.02.02	1.2		-0.8
2012.01.12	-0.8		-1.1
2011.12.01	-1.0		-3.5
2011.11.01	-3.5		-1.3
2011.10.03	-1.3		-1.4
2011.09.01	-1.2		-0.2
2011.08.01	-0.1		-1.2
2011.07.04	-1.2		0.4
2011.06.01	0.3		1.6
2011.05.02	1.6		4.8
2011.04.04	4.7		2.7
2011.03.01	2.7		3.8
2011.02.01	3.8		2.0
2011.01.13	2.0		4.5
2010.12.01	4.5		2.9
2010.11.01	3.5		2.8
2010.10.04	2.9		-1.4
2010.09.01	-1.4		-0.8
2010.08.02	-0.8		-1.6
2010.07.01	-1.2		2.8
2010.06.02	2.5		5.4
2010.05.03	4.9		1.8
2010.04.06	1.8		3.8
2010.03.01	3.8		0.4
2010.02.01	0.4		2.6
2010.01.13	2.6		10.5
2009.12.03	10.5		4.7
2009.11.03	4.6		6.8
2009.10.05	6.8		4.3
2009.09.03	4.3		1.0
2009.08.04	1.0		0.2
2009.07.02	0.2		2.8
2009.06.04	2.7		2.6
2009.05.05	2.5		1.0
2009.04.02	1.0		-4.6
2009.03.04	-4.6		-4.3
2009.02.04	-4.3		-7.4
2009.01.07	-7.4		-7.2
2008.12.03	-7.2		-7.4
2008.11.04	-7.4		-4.9
2008.10.03	-4.9		-3.3
2008.09.03	-3.3		1.8
2008.08.04	1.8		0.0
2008.07.03	0.0		1.0
2008.06.05	1.0		-0.3
2008.05.05	-0.3		2.0
2008.04.03	2.0		0.9
2008.03.04	0.9		
