Date	ActualValue	ForecastValue	PreviousValue
2020.03.18	0.5	0.4	0.8
2019.12.18	0.7	0.4	0.1
2019.09.18	0.5	0.7	0.6
2019.06.19	0.6	0.7	0.6
2019.03.20	0.6	0.2	0.3
2018.12.19	0.3	0.6	1.0
2018.09.19	1.0		0.5
2018.06.20	0.5		0.6
2018.03.14	0.6		0.6
2017.12.20	0.6		1.0
2017.09.20	0.8		0.6
2017.06.14	0.5		0.4
2017.03.15	0.4		0.8
2016.12.21	1.1		0.7
2016.09.14	0.9		0.9
2016.06.15	0.7		0.9
2016.03.16	0.9		0.9
2015.12.16	0.9		0.3
2015.09.16	0.4		0.2
2015.06.17	0.2		0.8
2015.03.18	0.8		1.0
2014.12.17	0.9		0.7
2014.09.17	0.7		1.0
2014.06.18	1.0		0.9
2014.03.19	1.0		1.4
2013.12.18	1.4		0.2
2013.09.18	0.3		0.3
2013.06.19	0.4		1.5
2013.03.20	1.5		0.2
2012.12.19	0.2		0.6
2012.09.19	0.3		1.1
2012.06.20	1.0		0.3
2012.03.21	0.4		0.8
2011.12.21	0.7		0.1
2011.09.21	0.1		0.8
2011.07.13	0.9		0.2
2011.03.23	0.5		-0.2
2010.12.22	-0.2		0.2
2010.09.22	0.1		0.6
2010.06.23	0.6		0.8
2010.03.24	0.9		0.2
2009.12.22	0.2		0.1
2009.09.22	0.2		-1.0
2009.06.25	-0.8		-0.9
2009.03.26	-1.0		-0.4
2008.12.22	-0.4		-0.2
2008.09.25	-0.2		-0.3
2008.06.26	-0.3		1.0
2008.03.27	1.0		0.5
2007.12.20	0.5		0.7
2007.09.27	0.7		1.0
2007.06.28	1.2		0.8
2007.03.29	0.8		
