Date	ActualValue	ForecastValue	PreviousValue
2020.02.04	4.0	3.8	4.1
2019.11.05	4.2	4.0	3.9
2019.08.05	3.9	4.1	4.2
2019.04.30	4.2	4.4	4.3
2019.02.06	4.3	3.7	4.0
2018.11.06	3.9	4.2	4.4
2018.07.31	4.5		4.4
2018.05.01	4.4		4.5
2018.02.06	4.5		4.6
2017.10.31	4.6		4.8
2017.08.01	4.8		4.9
2017.05.02	4.9		5.2
2017.01.31	5.2		4.9
2016.11.01	4.9		5.0
2016.08.16	5.1		5.2
2016.05.03	5.7		5.4
2016.02.02	5.3		6.0
2015.11.03	6.0		5.9
2015.08.04	5.9		5.8
2015.05.05	5.8		5.8
2015.02.03	5.7		5.4
2014.11.04	5.4		5.6
2014.08.05	5.6		6.0
2014.05.06	5.9		6.0
2014.02.04	6.0		6.2
2013.11.05	6.2		6.4
2013.08.06	6.4		6.2
2013.05.08	6.2		6.9
2013.02.06	6.9		7.3
2012.11.07	7.3		6.8
2012.08.08	6.8		6.7
2012.05.02	6.7		6.3
2012.02.08	6.4		6.6
2011.11.02	6.6		6.5
2011.08.03	6.5		6.6
2011.05.04	6.5		6.8
2011.02.02	6.7		6.4
2010.11.03	6.4		6.8
2010.08.04	6.9		6.0
2010.05.05	6.0		7.3
2010.02.03	7.1		6.5
2009.11.04	6.5		6.0
2009.08.05	6.0		5.0
2009.05.06	5.0		4.6
2009.02.04	4.7		4.2
2008.11.05	4.2		3.9
2008.08.06	3.9		3.6
2008.05.07	3.7		3.4
2008.02.06	3.4		3.5
2007.11.07	3.5		3.6
2007.08.08	3.6		
