Date	ActualValue	ForecastValue	PreviousValue
2020.05.20	2.1	1.2	2.0
2020.04.22	1.1	2.2	1.5
2020.03.25	1.3	2.4	1.7
2020.02.19	2.2	1.8	1.7
2020.01.15	2.2	1.2	1.3
2019.12.18	0.7		1.3
2019.11.13	1.3	1.5	1.3
2019.10.16	1.3	1.2	0.8
2019.09.18	0.7	1.2	1.4
2019.08.14	0.9	1.3	0.9
2019.07.17	1.2	1.4	1.5
2019.06.19	1.4	1.0	1.6
2019.05.22	1.4	1.1	1.0
2019.04.17	0.6	2.1	1.7
2019.03.20	1.7	2.6	2.2
2019.02.13	2.5	2.7	2.7
2019.01.16	2.8	3.1	2.7
2018.12.19	2.7	3.3	3.0
2018.11.14	3.5	3.1	3.1
2018.10.17	3.2	2.1	3.4
2018.09.19	3.1	2.2	3.2
2018.08.15	3.0	2.3	3.5
2018.07.18	3.0	4.0	3.5
2018.06.13	3.9	4.4	4.2
2018.05.23	4.2	5.0	4.2
2018.04.18	4.4	5.5	4.7
2018.03.20	4.9	5.8	5.0
2018.02.13	5.2	5.7	5.0
2018.01.16	5.1	5.6	5.4
2017.12.12	4.5	5.8	4.8
2017.11.14	5.4	5.3	4.8
2017.10.17	5.0	5.0	4.5
2017.09.12	5.1	4.5	5.1
2017.08.15	4.9	4.3	5.0
2017.07.18	4.7	4.6	5.3
2017.06.13	5.6		4.1
2017.05.16	4.1		5.8
2017.04.11	5.8		6.2
2017.03.21	6.2		7.2
2017.02.14	7.2		6.7
2017.01.17	6.7		6.9
2016.12.13	6.9		7.7
2016.11.15	7.7		8.4
2016.10.18	8.4		8.3
2016.09.13	8.3		8.7
2016.08.16	8.7		8.1
2016.07.19	8.1		8.1
2016.06.14	8.2		9.0
2016.05.17	9.0		7.6
2016.04.12	7.6		7.9
2016.03.22	7.9		6.7
2016.02.16	6.7		7.7
2016.01.19	7.7		7.0
2015.12.15	7.0		6.1
2015.11.17	6.1		5.2
2015.10.13	5.2		5.2
2015.09.15	5.2		5.7
2015.08.18	5.7		5.7
2015.07.14	5.7		5.5
2015.06.16	5.5		9.6
2015.05.19	9.6		7.2
2015.04.14	7.2		8.4
2015.03.24	8.4		9.8
2015.02.17	9.8		10.0
2015.01.13	10.0		10.4
2014.12.16	10.4		12.1
2014.11.18	12.1		11.7
2014.10.14	11.7		11.7
2014.09.16	11.7		10.2
2014.08.19	10.2		10.5
2014.07.15	10.5		9.9
2014.06.17	9.9		8.0
2014.05.20	8.0		9.1
2014.04.15	9.1		6.8
2014.03.25	6.8		5.5
2014.02.18	5.5		5.4
2014.01.14	5.4		5.5
2013.12.17	5.5		3.8
2013.11.12	3.8		3.8
2013.10.15	3.8		3.3
2013.09.17	3.3		3.1
2013.08.13	3.1		2.9
2013.07.16	2.9		2.6
2013.06.18	2.6		2.7
2013.05.21	2.7		1.9
2013.04.16	1.9		2.2
2013.03.19	2.2		3.3
2013.02.12	3.3		2.1
2013.01.15	2.1		1.5
2012.12.18	1.5		1.7
2012.11.13	1.7		1.8
2012.10.16	1.7		2.0
2012.09.18	2.0		2.3
2012.08.14	2.3		2.3
2012.07.17	2.3		1.4
2012.06.19	1.4		-0.4
2012.05.22	-0.4		0.3
2012.04.17	1.0		0.2
2012.03.13	0.0		0.1
2012.02.14	0.1		-0.3
2012.01.17	-0.3		-0.4
2011.12.13	-0.4		-1.4
2011.11.15	-1.4		-1.3
2011.10.11	-1.3		-1.5
2011.09.13	-1.5		-2.0
2011.08.16	-2.0		-1.6
2011.07.12	-2.2		-0.3
2011.06.14	-0.3		0.9
2011.05.17	0.9		0.7
2011.04.12	0.5		0.5
2011.03.15	0.5		3.8
2011.02.15	3.8		4.0
2011.01.18	4.0		5.5
2010.12.14	5.5		6.1
2010.11.16	6.1		8.3
2010.10.12	8.3		8.4
2010.09.14	8.4		9.9
2010.08.10	9.9		11.0
2010.07.13	11.0		10.1
2010.06.15	10.1		9.7
2010.05.13	9.7		7.4
2010.04.13	7.3		6.2
2010.03.16	6.2		2.2
2010.02.16	2.9		0.6
2010.01.12	0.5		-2.2
2009.12.15	-2.2		-4.1
2009.11.10	-4.1		-5.6
2009.10.13	-5.6		-8.3
2009.09.15	-8.3		-10.7
2009.08.11	-10.7		-12.5
2009.07.14	-12.7		-13.0
2009.06.09	-13.0		-13.6
2009.05.12	-13.6		-12.3
2009.04.15	-12.3		-11.5
2009.03.17	-11.5		-10.2
2009.02.17	-10.2		-8.6
2009.01.13	-8.6		-7.4
2008.12.09	-7.4		-5.1
2008.11.11	-5.1		-3.4
2008.10.14	-3.4		-0.3
2008.09.16	-0.3		0.6
2008.08.12	0.6		3.7
2008.07.08	3.7		4.9
2008.06.12	4.9		5.2
2008.05.13	5.2		6.7
2008.04.15	6.3		8.0
2008.03.14	8.0		
