Date	ActualValue	ForecastValue	PreviousValue
2020.06.30	2.1	-64	-41.7
2020.05.27	-41.7	-107.5	-83.9
2020.04.28	-81.7	-68.4	-78.8
2020.03.31	-78.8	8.5	7
2020.02.25	7	11.6	11.1
2020.01.28	11.1	11.4	13.5
2019.12.31	13.5	11.3	4.7
2019.11.26	4.7	3.8	1.8
2019.10.29	1.8	13.8	6.3
2019.10.01	6.3	-5.8	0.2
2019.08.27	0.2	2.3	4.7
2019.07.30	4.7	-2	3.2
2019.06.25	3.2		-0.3
2019.05.29	-0.3		5.7
2019.04.30	5.7		-4.4
2019.03.26	-4.4		2
2019.02.26	2		-4.8
2019.01.29	-4.8		-5
2019.01.02	-5		11.4
2018.11.27	11.4		14.1
2018.10.30	14.1		25.6
2018.09.25	25.6		21.5
2018.08.28	21.5		21.1
2018.07.31	21.1		22.4
2018.06.26	22.4		18.5
2018.05.30	18.5		14.5
2018.05.01	14.5		13.4
2018.03.27	13.5		17.5
2018.02.27	17.5		22.2
2018.01.30	22.2		18.1
2017.12.27	18.1		20.4
2017.11.28	20.4		18.6
2017.10.31	18.6		12.4
2017.09.26	12.4		15.1
2017.08.29	15.1		10.5
2017.08.01	10.5		10.1
2017.06.27	10.1		7.7
2017.05.31	7.7		9
2017.04.25	9		13.2
2017.03.28	13.2		15.6
2017.02.28	15.6		21.2
2017.01.31	21.2		19.2
2016.12.28	19.4		12.6
2016.11.29	12.6		3
2016.11.01	3		4.7
2016.09.27	4.7		-5
2016.08.30	-5		-1.3
2016.07.26	-1.3		-7.7
2016.06.28	-7.7		-7.1
2016.06.01	-7.1		-3.7
2016.04.26	-3.7		-3.8
2016.03.29	-3.8		-19.2
2016.03.01	-19.2		-10.4
2016.01.26	-10.4		2.3
2015.12.29	3.3		3.6
2015.12.01	3.6		5.6
2015.10.27	5.6		3.6
2015.09.29	3.6		2.1
2015.09.01	2.1		7.9
2015.07.28	7.9		4.1
2015.06.30	4.1		1.1
2015.05.27	1.1		-1
2015.04.28	-1		-4.6
2015.03.31	-4.6		1.7
2015.02.24	1.7		-2.8
2015.01.27	-2.8		12.1
2014.12.30	12.7		17.3
2014.11.25	17.3		18
2014.10.28	18		27.5
2014.09.30	27.5		
