Date	ActualValue	ForecastValue	PreviousValue
2020.07.06	43.1	30.7	31.8
2020.06.03	31.8	35.8	30
2020.05.05	30	51.6	47
2020.04.03	47	53.7	55.6
2020.03.04	55.6	54.1	53.1
2020.02.05	53.1	55.2	54.8
2020.01.07	55.2	56.3	55.5
2019.12.04	55.5	57.8	53.7
2019.11.05	53.7	55	50.4
2019.10.03	50.4	52.7	53.1
2019.09.05	53.1	56.5	56.2
2019.08.05	56.2	54.4	55
2019.07.03	55	53.8	58.1
2019.06.05	58.1	56.5	53.7
2019.05.03	53.7	54.6	55.9
2019.04.03	55.9	55.7	55.2
2019.03.05	55.2	59.6	57.8
2019.02.05	57.8	57.6	56.6
2019.01.07	56.3	57	58.4
2018.12.06	58.4	56.7	59.7
2018.11.05	59.7	56.4	62.4
2018.10.03	62.4	56.3	56.7
2018.09.06	56.7	56.5	56.1
2018.08.03	56.1	56.5	53.6
2018.07.05	53.6	56.8	54.1
2018.06.05	54.1	57	53.6
2018.05.03	53.6	56.5	56.6
2018.04.04	56.6	56.1	55
2018.03.05	55	54.8	61.6
2018.02.05	61.6	54.3	56.3
2018.01.05	56.3	54	55.3
2017.12.05	55.3	58.9	57.5
2017.11.03	57.5	54.8	56.8
2017.10.04	56.8	54.8	56.2
2017.09.06	56.2	54.7	53.6
2017.08.03	53.6		55.8
2017.07.06	55.8		57.8
2017.06.05	57.8		51.4
2017.05.03	51.4		51.6
2017.04.05	51.6		55.2
2017.03.03	55.2		54.7
2017.02.03	54.7		53.8
2017.01.05	53.8		58.2
2016.12.05	58.2		53.1
2016.11.03	53.1		57.2
2016.10.05	57.2		50.7
2016.09.06	50.7		51.4
2016.08.03	51.4		52.7
2016.07.06	52.7		49.7
2016.06.03	49.7		53
2016.05.04	53		50.3
2016.04.05	50.3		49.7
2016.03.03	49.7		52.1
2016.02.03	52.1		55.7
2016.01.06	55.7		55
2015.12.03	55		59.2
2015.11.04	59.2		58.3
2015.10.05	58.3		56
2015.09.03	56		59.6
2015.08.05	59.6		52.7
2015.07.06	52.7		55.3
2015.06.03	55.3		56.7
2015.05.05	56.7		56.6
2015.04.06	56.6		56.4
2015.03.04	56.4		51.6
2015.02.04	51.6		56
2015.01.06	56		56.7
2014.12.03	56.7		59.6
2014.11.05	59.6		58.5
2014.10.03	58.5		57.1
2014.09.04	57.1		56
2014.08.05	56		54.4
2014.07.03	54.4		52.4
2014.06.04	52.4		51.3
2014.05.05	51.3		53.6
2014.04.03	53.6		47.5
2014.03.05	47.5		56.4
2014.02.05	56.4		55.8
2014.01.06	55.8		52.5
2013.12.04	52.5		56.2
2013.11.05	56.2		
