Date	ActualValue	ForecastValue	PreviousValue
2020.07.06	61.6	44	41.9
2020.06.03	41.9	18.5	32.9
2020.05.05	32.9	58.3	52.9
2020.04.03	52.9	56.6	63.1
2020.03.04	63.1	56.3	56.2
2020.02.05	56.2	58	55.3
2020.01.07	54.9	58.2	57.1
2019.12.04	57.1	58.9	55.6
2019.11.05	55.6	57.8	53.7
2019.10.03	53.7	60.3	60.3
2019.09.05	60.3	60.5	54.1
2019.08.05	54.1	61.1	55.8
2019.07.03	55.8	61.5	58.6
2019.06.05	58.6	61.5	58.1
2019.05.03	58.1	61.7	59
2019.04.03	59	61.3	65.2
2019.03.05	65.2	61.3	57.7
2019.02.05	57.7	61.4	62.7
2019.01.07	62.7	61.2	62.5
2018.12.06	62.5	61.3	61.5
2018.11.05	61.5	61	61.6
2018.10.03	61.6	60.7	60.4
2018.09.06	60.4	60.9	57
2018.08.03	57	61.2	63.2
2018.07.05	63.2	60.9	60.5
2018.06.05	60.5	60.7	60
2018.05.03	60	61	59.5
2018.04.04	59.5	62	64.8
2018.03.05	64.8	58.7	62.7
2018.02.05	62.7	59.9	54.5
2018.01.05	54.3	60.3	58.7
2017.12.05	58.7	58.6	62.8
2017.11.03	62.8	55	63
2017.10.04	63	52.4	57.1
2017.09.06	57.1	56.6	55.1
2017.08.03	55.1		60.5
2017.07.06	60.5		57.7
2017.06.05	57.7		63.2
2017.05.03	63.2		58.9
2017.04.05	58.9		61.2
2017.03.03	61.2		58.6
2017.02.03	58.6		61.6
2017.01.05	61.6		57
2016.12.05	57		57.7
2016.11.03	57.7		60
2016.10.05	60		51.4
2016.09.06	51.4		60.3
2016.08.03	60.3		59.9
2016.07.06	59.9		54.2
2016.06.03	54.2		59.9
2016.05.04	59.9		56.7
2016.04.05	56.7		55.5
2016.03.03	55.5		56.5
2016.02.03	56.5		58.2
2016.01.06	58.2		57.5
2015.12.03	57.5		62
2015.11.04	62		56.7
2015.10.05	56.7		63.4
2015.09.03	63.4		63.8
2015.08.05	63.8		58.3
2015.07.06	58.3		57.9
2015.06.03	57.9		59.2
2015.05.05	59.2		57.8
2015.04.06	57.8		56.7
2015.03.04	56.7		59.5
2015.02.04	59.5		58.9
2015.01.06	58.9		61.4
2014.12.03	61.4		59.1
2014.11.05	59.1		61
2014.10.03	61		63.8
2014.09.04	63.8		64.9
2014.08.05	64.9		61.2
2014.07.03	61.2		60.5
2014.06.04	60.5		58.2
2014.05.05	58.2		53.4
2014.04.03	53.4		51.3
2014.03.05	51.3		50.9
2014.02.05	50.9		49.4
2014.01.06	49.4		55.2
2013.12.04	55.2		56.5
2013.11.05	56.5		
