Date	ActualValue	ForecastValue	PreviousValue
2020.04.02	-39.932	-46.933	-45.482
2020.03.06	-45.338	-45.839	-48.613
2020.02.05	-48.88	-44.952	-43.691
2020.01.07	-43.086	-45.283	-46.939
2019.12.05	-47.199	-52.193	-51.1
2019.11.05	-52.45	-58.869	-55.036
2019.10.04	-54.896	-59.206	-54.035
2019.09.04	-53.989	-59.155	-55.508
2019.08.02	-55.154	-56.687	-55.344
2019.07.03	-55.52	-50.253	-51.224
2019.06.06	-50.791	-52.288	-51.906
2019.05.09	-50.002	-53.075	-49.285
2019.04.17	-49.382	-53.403	-51.134
2019.03.27	-51.149	-52.89	-59.9
2019.03.06	-59.769	-51.186	-50.297
2019.02.06	-49.313	-49.963	-55.699
2018.12.06	-55.488	-48.157	-54.555
2018.11.02	-54.019	-47.388	-53.309
2018.10.05	-53.237	-47.697	-50.037
2018.09.05	-50.082	-49.328	-45.739
2018.08.03	-46.348	-51.085	-43.186
2018.07.06	-43.053	-52.295	-46.081
2018.06.06	-46.199	-52.245	-47.21
2018.05.03	-48.956	-50.987	-57.743
2018.04.05	-57.591	-48.315	-56.665
2018.03.07	-56.601	-46.007	-53.908
2018.02.06	-53.118	-44.568	-50.435
2018.01.05	-50.497	-45.192	-48.914
2017.12.05	-48.731	-44.906	-44.89
2017.11.03	-43.495	-44.942	-42.765
2017.10.05	-42.395	-44.611	-43.558
2017.09.06	-43.689	-44.776	-43.543
2017.08.04	-43.642	-45.083	-46.391
2017.07.06	-46.507	-44.732	-47.585
2017.06.02	-47.617	-44.958	-45.283
2017.05.04	-43.706	-45.266	-43.76
2017.04.04	-43.557		-48.173
2017.03.07	-48.5		-44.3
2017.02.07	-44.3		-45.7
2017.01.06	-45.2		-42.4
2016.12.06	-42.6		-36.2
2016.11.04	-36.44		-40.46
2016.10.05	-40.7		-39.5
2016.09.02	-39.47		-44.66
2016.08.05	-44.5		-41
2016.07.06	-41.14		-37.38
2016.06.03	-37.4		-35.5
2016.05.04	-40.4		-47
2016.04.05	-47.06		-45.68
2016.03.04	-45.68		-44.7
2016.02.05	-43.36		-42.23
2016.01.06	-42.4		-44.6
2015.12.04	-43.89		-42.46
2015.11.04	-40.8		-48
2015.10.06	-48.33		-41.81
2015.09.03	-41.86		-45.21
2015.08.05	-43.84		-40.94
2015.07.07	-41.87		-40.7
2015.06.03	-40.88		-50.57
2015.05.05	-51.37		-35.89
2015.04.02	-35.4		-41.8
2015.03.06	-42.68		-46.56
2015.02.05	-45.6		-39
2015.01.07	-39.75		-43.4
2014.12.05	-42.25		-43.03
2014.11.04	-43.6		-40.1
2014.10.03	-39.99		-40.55
2014.09.04	-40.3		-41.54
2014.08.06	-40.81		-44.66
