Date	ActualValue	ForecastValue	PreviousValue
2020.07.02	18.0	19.7	21.2
2020.06.05	21.2	100.3	22.8
2020.05.08	22.8	11.2	8.7
2020.04.03	8.7	7.1	7.0
2020.03.06	7.0	6.9	6.9
2020.02.07	6.9	6.7	6.7
2020.01.10	6.7	6.8	6.9
2019.12.06	6.9	6.9	7.0
2019.11.01	7.0	7.2	6.9
2019.10.04	6.9	7.2	7.2
2019.09.06	7.2	6.8	7.0
2019.08.02	7.0	7.1	7.2
2019.07.05	7.2	7.2	7.1
2019.06.07	7.1	7.5	7.3
2019.05.03	7.3	7.0	7.3
2019.04.05	7.3	6.9	7.3
2019.03.08	7.3	8.2	8.1
2019.02.01	8.1	7.7	7.6
2019.01.04	7.6	7.7	7.6
2018.12.07	7.6	7.4	7.4
2018.11.02	7.4	7.4	7.5
2018.10.05	7.5	7.1	7.4
2018.09.07	7.4	7.4	7.5
2018.08.03	7.5	8.0	7.8
2018.07.06	7.8	7.7	7.6
2018.06.01	7.6	7.9	7.8
2018.05.04	7.8	7.8	8.0
2018.04.06	8.0	7.9	8.2
2018.03.09	8.2	8.1	8.2
2018.02.02	8.2	8.2	8.1
2018.01.05	8.1	7.7	8.0
2017.12.08	8.0	8.2	7.9
2017.11.03	7.9	8.4	8.3
2017.10.06	8.3	8.6	8.6
2017.09.01	8.6	8.5	8.6
2017.08.04	8.6		8.6
2017.07.07	8.6		8.4
2017.06.02	8.4		8.6
2017.05.05	8.6		8.9
2017.04.07	8.9		9.2
2017.03.10	9.2		9.4
2017.02.03	9.4		9.2
2017.01.06	9.2		9.3
2016.12.02	9.3		9.5
2016.11.04	9.5		9.7
2016.10.07	9.7		9.7
2016.09.02	9.7		9.7
2016.08.05	9.7		9.6
2016.07.08	9.6		9.7
2016.06.03	9.7		9.7
2016.05.06	9.7		9.8
2016.04.01	9.8		9.7
2016.03.04	9.7		9.9
2016.02.05	9.9		9.9
2016.01.08	9.9		9.9
2015.12.04	9.9		9.8
2015.11.06	9.8		10.0
2015.10.02	10.0		10.3
2015.09.04	10.3		10.4
2015.08.07	10.4		10.5
2015.07.02	10.5		10.7
2015.06.05	10.7		10.8
2015.05.08	10.8		10.9
2015.04.03	10.9		11.0
2015.03.06	11.0		11.3
2015.02.06	11.3		11.2
2015.01.09	11.2		11.4
2014.12.05	11.4		11.5
2014.11.07	11.5		11.8
2014.10.03	11.8		12.0
2014.09.05	12.0		12.2
2014.08.01	12.2		12.0
2014.07.03	12.0		12.1
2014.06.06	12.1		12.3
2014.05.02	12.3		12.6
2014.04.04	12.6		12.6
2014.03.07	12.6		12.7
2014.02.07	12.7		13.1
2014.01.10	13.1		13.1
2013.12.06	13.1		13.7
2013.11.08	13.7		13.7
2013.10.22	13.7		13.6
2013.09.06	13.6		13.8
2013.08.02	13.8		14.2
2013.07.05	14.2		13.8
2013.06.07	13.8		14.0
2013.05.03	14.0		13.8
2013.04.05	13.8		14.3
2013.03.08	14.3		14.5
2013.02.01	14.5		14.4
2013.01.04	14.4		14.4
2012.12.07	14.4		14.4
2012.11.02	14.4		14.8
2012.10.05	14.8		14.6
2012.09.07	14.6		14.8
2012.08.03	14.8		14.8
2012.07.06	14.8		14.8
2012.06.01	14.8		14.6
2012.05.04	14.6		14.6
2012.04.06	14.6		15.0
2012.03.09	15.0		15.2
2012.02.03	15.2		15.2
2012.01.06	15.2		15.5
2011.12.02	15.5		15.8
2011.11.04	15.8		16.4
2011.10.07	16.4		16.1
2011.09.02	16.1		15.9
2011.08.05	15.9		16.1
2011.07.08	16.1		15.8
2011.06.03	15.8		16.1
2011.05.06	16.1		15.9
2011.04.01	15.9		16.0
2011.03.04	16.0		16.2
2011.02.04	16.2		16.6
2011.01.07	16.6		16.9
2010.12.03	16.9		16.6
2010.11.05	16.6		16.8
2010.10.08	16.8		16.5
2010.09.03	16.5		16.4
2010.08.06	16.4		16.4
2010.07.02	16.4		16.6
2010.06.04	16.6		17.1
2010.05.07	17.1		17.1
2010.04.02	17.1		17.0
2010.03.05	17.0		16.7
2010.02.05	16.7		17.1
2010.01.08	17.1		17.1
2009.12.04	17.1		17.1
2009.11.06	17.1		16.7
2009.10.02	16.7		16.7
2009.09.04	16.7		16.4
2009.08.07	16.4		16.5
2009.07.02	16.5		16.5
2009.06.05	16.5		15.9
2009.05.08	15.9		15.8
2009.04.03	15.8		15.2
2009.03.06	15.2		14.2
2009.02.06	14.2		13.6
2009.01.09	13.6		12.6
2008.12.05	12.6		11.8
2008.11.07	11.8		11.0
2008.10.03	11.0		10.8
2008.09.05	10.8		
