Date,Value
2008-02-20,0.9%
2008-03-19,-2.3%
2008-04-20,1.0%
2008-05-20,-0.8%
2008-06-22,-1.6%
2008-07-20,1.0%
2008-08-20,-3.4%
2008-09-21,-3.5%
2008-10-20,0.4%
2008-11-18,-0.5%
2008-12-21,-5.2%
2009-01-21,1.8%
2009-02-18,-1.1%
2009-03-18,-3.5%
2009-04-22,-3.2%
2009-05-20,0.9%
2009-06-21,5.4%
2009-07-20,5.7%
2009-08-23,-6.9%
2009-09-20,0.3%
2009-10-20,2.9%
2009-11-22,3.7%
2009-12-20,5.5%
2010-01-20,3.3%
2010-02-21,-3.4%
2010-03-21,-1.9%
2010-04-21,-2.7%
2010-05-23,8.4%
2010-06-20,-3.2%
2010-07-14,-1.2%
2010-08-15,-2.6%
2010-09-14,0.3%
2010-10-17,0.9%
2010-11-14,-0.6%
2010-12-14,0.2%
2011-01-16,0.8%
2011-02-15,-1.9%
2011-03-14,0.2%
2011-04-13,3.4%
2011-05-15,-3.5%
2011-06-15,-7.6%
2011-07-17,1.3%
2011-08-14,8.6%
2011-09-14,3.3%
2011-10-16,-1.5%
2011-11-14,1.1%
2011-12-14,-0.7%
2012-01-17,-2.9%
2012-02-14,1.3%
2012-03-14,0.0%
2012-04-16,4.0%
2012-05-14,-0.7%
2012-06-17,2.4%
2012-07-16,-0.6%
2012-08-13,-0.8%
2012-09-16,3.6%
2012-10-14,4.7%
2012-11-14,-2.8%
2012-12-12,0.0%
2013-01-15,2.2%
2013-02-17,-2.4%
2013-03-17,0.0%
2013-04-15,-0.6%
2013-05-14,-1.6%
2013-06-16,0.0%
2013-07-14,4.0%
2013-08-18,-3.5%
2013-09-16,0.8%
2013-10-14,-0.1%
2013-11-13,-0.7%
2013-12-16,1.8%
2014-01-14,1.7%
2014-02-16,-3.5%
2014-03-16,0.1%
2014-04-16,-0.3%
2014-05-14,0.0%
2014-06-16,0.3%
2014-07-14,1.7%
2014-08-17,-1.3%
2014-09-14,-1.8%
2014-10-14,2.9%
2014-11-16,-1.6%
2014-12-14,-0.6%
2015-01-18,3.0%
2015-02-15,-1.5%
2015-03-15,2.9%
2015-04-15,0.5%
2015-05-17,-1.5%
2015-06-15,-1.3%
2015-07-14,3.8%
2015-08-17,-1.3%
2015-09-14,-1.6%
2015-10-14,5.5%
2015-11-15,-3.6%
2015-12-14,1.0%
2016-01-17,-0.5%
2016-02-14,0.5%
2016-03-14,-0.1%
2016-04-17,2.2%
2016-05-16,-2.5%
2016-06-15,-1.1%
2016-07-13,3.1%
2016-08-15,-1.3%
2016-09-14,0.1%
2016-10-17,2.5%
2016-11-15,-2.4%
2016-12-13,-0.6%
2017-01-16,0.3%
2017-02-14,0.6%
2017-03-14,-2.7%
2017-04-18,1.9%
2017-05-15,0.3%
2017-06-18,2.9%
2017-07-17,1.2%
2017-08-14,-2.0%
2017-09-17,0.0%
2017-10-16,-0.5%
2017-11-16,0.0%
2017-12-17,0.1%
2018-01-15,4.5%
