Date,Value
2018-12-13,52.2
2019-01-03,52.7
2019-01-23,51.0
2019-02-04,51.0
2019-02-20,49.3
2019-03-04,51.0
2019-03-21,49.8
2019-04-02,49.5
2019-04-17,50.5
2019-05-02,50.1
2019-05-22,52.3
2019-06-04,51.5
2019-06-20,53.3
2019-07-02,52.6
2019-07-23,51.9
2019-08-04,52.3
2019-08-21,49.2
2019-09-03,49.1
2019-09-22,52.5
2019-10-02,52.4
2019-10-23,50.8
2019-11-04,50.1
2019-11-21,49.5
2019-12-03,49.7
2019-12-15,49.5
2020-01-05,49.8
2020-01-23,48.9
2020-02-04,50.6
2020-02-20,48.4
2020-03-03,49.0
2020-03-23,39.8
2020-04-02,38.5
2020-04-22,19.6
2020-05-04,19.5
2020-05-20,25.5
2020-06-02,26.9
2020-06-22,53.2
2020-07-02,53.1
2020-07-23,58.5
