Date,Value
1988-02-01,11.46B
1988-03-01,10.62B
1988-04-01,11.04B
1988-05-01,10.65B
1988-06-01,11.03B
1988-07-01,10.93B
1988-08-01,10.74B
1988-09-01,11.18B
1988-10-01,11.42B
1988-11-01,10.83B
1988-12-01,11.34B
1989-01-01,11.48B
1989-02-01,11.53B
1989-03-01,11.54B
1989-04-01,11.44B
1989-05-01,11.77B
1989-06-01,11.80B
1989-07-01,11.49B
1989-08-01,11.19B
1989-09-01,11.49B
1989-10-01,11.58B
1989-11-01,11.63B
1989-12-01,11.58B
1990-01-01,12.00B
1990-02-01,11.49B
1990-03-01,12.23B
1990-04-01,12.05B
1990-05-01,11.71B
1990-06-01,11.82B
1990-07-01,11.82B
1990-08-01,11.62B
1990-09-01,11.82B
1990-10-01,11.22B
1990-11-01,11.71B
1990-12-01,11.67B
1991-01-01,11.62B
1991-02-01,11.90B
1991-03-01,11.27B
1991-04-01,11.10B
1991-05-01,11.26B
1991-06-01,11.40B
1991-07-01,11.53B
1991-08-01,12.10B
1991-09-01,11.92B
1991-10-01,12.01B
1991-11-01,12.30B
1991-12-01,12.21B
1992-01-01,11.43B
1992-02-01,12.22B
1992-03-01,12.14B
1992-04-01,12.40B
1992-05-01,12.38B
1992-06-01,12.44B
1992-07-01,12.97B
1992-08-01,13.37B
1992-09-01,12.66B
1992-10-01,13.32B
1992-11-01,13.16B
1992-12-01,13.47B
1993-01-01,13.64B
1993-02-01,13.60B
1993-03-01,13.90B
1993-04-01,14.29B
1993-05-01,14.41B
1993-06-01,14.56B
1993-07-01,14.49B
1993-08-01,14.57B
1993-09-01,15.02B
1993-10-01,15.01B
1993-11-01,15.58B
1993-12-01,15.59B
1994-01-01,15.65B
1994-02-01,15.30B
1994-03-01,15.18B
1994-04-01,16.40B
1994-05-01,16.57B
1994-06-01,17.02B
1994-07-01,17.53B
1994-08-01,17.03B
1994-09-01,18.09B
1994-10-01,17.91B
1994-11-01,18.29B
1994-12-01,18.49B
