Date,Value
2002-08-01,13.00
2002-10-01,-8.50
2003-02-01,-21.80
2003-03-01,-22.80
2003-04-01,-19.40
2003-05-01,-15.30
2003-06-01,-26.70
2003-07-01,-17.80
2003-08-01,-15.00
2003-09-01,-6.30
2003-10-01,-0.40
2003-11-01,-2.00
2003-12-01,6.70
2004-01-01,14.80
2004-02-01,18.80
2004-03-01,20.70
2004-04-01,12.90
2004-05-01,4.60
2004-06-01,1.40
2004-07-01,7.40
2004-08-01,9.80
2004-09-01,20.10
2004-10-01,13.00
2004-11-01,13.10
2004-12-01,4.00
2005-01-01,3.20
2005-02-01,8.70
2005-03-01,8.90
2005-04-01,3.90
2005-05-01,1.30
2005-06-01,-12.50
2005-07-01,-5.40
2005-08-01,-3.50
2005-09-01,11.60
2005-10-01,10.10
2005-11-01,12.30
2005-12-01,15.50
2006-01-01,18.80
2006-02-01,30.10
2006-03-01,32.70
2006-04-01,26.30
2006-05-01,29.60
2006-06-01,29.80
2006-07-01,22.20
2006-08-01,21.80
2006-09-01,18.30
2006-10-01,20.10
2006-11-01,20.10
2006-12-01,22.10
2007-01-01,29.10
2007-02-01,29.50
2007-03-01,31.10
2007-04-01,27.50
2007-05-01,34.70
2007-06-01,40.80
2007-07-01,42.00
2007-08-01,34.70
2007-09-01,26.30
2007-10-01,18.10
2007-11-01,15.30
2007-12-01,14.00
2008-01-01,11.90
2008-02-01,8.20
2008-03-01,4.30
2008-04-07,4.1
2008-05-05,3.5
2008-06-09,5.2
2008-07-07,-9.3
2008-08-04,-15.3
2008-09-08,-20.2
2008-10-06,-27.8
2008-11-10,-36.4
2008-12-08,-42.3
2009-01-05,-34.4
2009-02-09,-36.1
2009-03-09,-42.7
2009-04-06,-35.3
2009-05-04,-34.3
2009-06-08,-27.0
2009-07-06,-31.3
2009-08-10,-17.0
2009-09-07,-14.6
2009-10-05,-12.6
2009-11-09,-7.0
2009-12-07,-5.5
2010-01-04,-3.7
2010-02-08,-8.2
2010-03-08,-7.5
2010-04-06,2.5
2010-05-10,-6.4
2010-06-07,-4.1
2010-07-05,-1.3
2010-08-09,8.5
2010-09-06,7.6
2010-10-04,8.8
2010-11-08,14.0
2010-12-06,9.7
2011-01-10,10.6
2011-02-07,16.7
2011-03-07,17.1
2011-04-04,14.2
2011-05-09,10.9
2011-06-06,3.5
2011-07-04,5.3
2011-08-08,-13.5
2011-09-05,-15.4
2011-10-10,-18.5
2011-11-07,-21.2
2011-12-05,-24.0
2012-01-09,-21.1
2012-02-06,-11.1
2012-03-05,-8.2
2012-04-10,-14.7
2012-05-07,-24.5
2012-06-04,-28.9
2012-07-09,-29.6
2012-08-06,-30.3
2012-09-10,-23.2
2012-10-08,-22.2
2012-11-05,-18.8
2012-12-10,-16.8
2013-01-07,-7.0
2013-02-04,-3.9
2013-03-04,-10.6
2013-04-08,-17.3
2013-05-06,-15.6
2013-06-10,-11.6
2013-07-08,-12.6
2013-08-05,-4.9
2013-09-09,6.5
2013-10-07,6.1
2013-11-04,9.3
2013-12-09,8.0
2014-01-06,11.9
2014-02-10,13.3
2014-03-10,13.9
2014-04-07,14.1
2014-05-05,12.8
2014-06-09,8.5
2014-07-07,10.1
2014-08-04,2.7
2014-09-08,-9.8
2014-10-06,-13.7
2014-11-10,-11.9
2014-12-08,-2.5
2015-01-05,0.9
2015-02-09,12.4
2015-03-09,18.6
2015-04-07,20.0
2015-05-04,19.6
2015-06-08,17.1
2015-07-06,18.5
2015-08-10,18.4
2015-09-07,13.6
2015-10-05,11.7
2015-11-09,15.1
2015-12-07,15.7
2016-01-11,9.6
2016-02-08,6.0
2016-03-07,5.5
2016-04-04,5.7
2016-05-09,6.2
2016-06-06,9.9
2016-07-04,1.7
2016-08-08,4.2
2016-09-05,5.6
2016-10-10,8.5
2016-11-07,13.1
2016-12-05,10.0
2017-01-09,18.2
2017-02-06,17.4
2017-03-06,20.7
2017-04-10,23.9
2017-05-08,27.4
2017-06-06,28.4
2017-07-10,28.3
2017-08-07,27.7
2017-09-04,28.2
2017-10-09,29.7
2017-11-06,34.0
2017-12-04,31.1
2018-01-08,32.9
2018-02-05,31.9
2018-03-05,24.0
2018-04-09,19.6
2018-05-07,19.2
2018-06-04,9.3
2018-07-09,12.1
2018-08-06,14.7
2018-09-10,12.0
2018-10-08,11.4
2018-11-05,8.8
2018-12-10,-0.3
2019-01-07,-1.5
2019-02-04,-3.7
2019-03-04,-2.2
2019-04-08,-0.3
2019-05-06,5.3
2019-05-16,22.5
2019-06-11,-3.3
2019-07-08,-5.8
2019-08-05,-13.7
2019-09-09,-11.1
2019-10-07,-16.8
2019-11-04,-4.5
2019-12-09,0.7
2020-01-06,7.6
2020-02-10,5.2
2020-03-09,-17.1
2020-04-06,-42.9
2020-05-04,-41.8
2020-06-08,-24.8
2020-07-06,-18.2
