Date,Value
1996-02-01,13.90
1996-03-01,8.80
1996-04-01,7.50
1996-05-01,12.10
1996-06-01,9.40
1996-07-01,10.00
1996-08-01,11.80
1996-09-01,11.30
1996-10-01,14.20
1996-11-01,17.90
1996-12-01,19.10
1997-01-01,19.50
1997-02-01,17.60
1997-03-01,19.00
1997-04-01,20.50
1997-05-01,23.70
1997-06-01,24.90
1997-07-01,23.70
1997-08-01,23.40
1997-09-01,24.90
1997-10-01,25.10
1997-11-01,24.80
1997-12-01,25.80
1998-01-01,26.80
1998-02-01,27.30
1998-03-01,30.70
1998-04-01,32.10
1998-05-01,30.70
1998-06-01,32.90
1998-07-01,34.90
1998-08-01,32.10
1998-09-01,35.40
1998-10-01,33.50
1998-11-01,30.20
1998-12-01,32.40
1999-01-01,31.30
1999-02-01,26.00
1999-03-01,27.80
1999-04-01,27.30
1999-05-01,22.90
1999-06-01,25.40
1999-07-01,24.30
1999-08-01,22.00
1999-09-01,22.40
1999-10-01,24.80
1999-11-01,28.60
1999-12-01,28.30
2000-01-01,27.50
2000-02-01,28.90
2000-03-01,31.30
2000-04-01,32.50
2000-05-01,31.40
2000-06-01,31.80
2000-07-01,29.80
2000-08-01,32.10
2000-09-01,32.30
2000-10-01,29.10
2000-11-01,30.30
2000-12-01,24.10
2001-01-01,23.80
2001-02-01,27.30
2001-03-01,21.20
2001-04-01,18.90
2001-05-01,22.60
2001-06-01,17.10
2001-07-01,18.70
2001-08-01,18.00
2001-09-01,13.50
2001-10-01,9.10
2001-11-01,0.10
2001-12-01,-9.30
2002-01-01,-8.20
2002-02-01,1.70
2002-03-01,-0.20
2002-04-01,2.60
2002-05-01,6.80
2002-06-01,4.40
2002-07-01,1.80
2002-08-01,0.30
2002-09-01,-5.70
2002-10-01,-3.00
2002-11-01,-5.70
2002-12-01,-5.80
2003-01-01,-6.00
2003-02-01,-4.30
2003-03-01,-5.90
2003-04-01,-8.70
2003-05-01,-3.40
2003-06-01,-4.20
2003-07-01,-1.90
2003-08-01,1.20
2003-09-01,2.90
2003-10-01,4.00
2003-11-01,6.90
2003-12-01,6.90
2004-01-01,8.60
2004-02-01,6.80
2004-03-01,8.70
2004-04-01,4.90
2004-05-01,7.40
2004-06-01,6.80
2004-07-01,8.20
2004-08-01,10.00
2004-09-01,6.90
2004-10-01,9.20
2004-11-01,10.30
2004-12-01,10.50
2005-01-01,7.50
2005-02-01,9.60
2005-03-01,5.10
2005-04-01,5.80
2005-05-01,6.30
2005-06-01,8.00
2005-07-01,7.80
2005-08-01,9.60
2005-09-01,9.20
2005-10-01,9.60
2005-11-01,12.50
2005-12-01,12.80
2006-01-01,12.10
2006-02-01,13.10
2006-03-01,10.80
2006-04-01,12.70
2006-05-01,16.00
2006-06-01,17.30
2006-07-01,15.90
2006-08-01,15.70
2006-09-01,16.70
2006-10-01,14.90
2006-11-01,16.90
2006-12-01,16.70
2007-01-01,16.80
2007-02-01,16.30
2007-03-01,16.40
2007-04-01,18.30
2007-05-01,18.90
2007-06-01,18.20
2007-07-01,17.30
2007-08-01,17.00
2007-09-01,19.40
2007-10-01,15.90
2007-11-01,14.90
2007-12-01,12.10
2008-01-01,10.40
2008-02-01,10.20
2008-03-01,9.50
2008-04-01,8.30
2008-05-01,6.90
2008-06-01,8.20
2008-07-01,5.70
2008-08-01,3.10
2008-09-01,-0.20
2008-10-01,-2.70
2008-11-01,-7.20
2008-12-01,-11.10
2009-01-01,-17.80
2009-02-01,-20.70
2009-03-01,-22.40
2009-04-01,-26.10
2009-05-01,-24.80
2009-06-01,-23.30
2009-07-01,-20.00
2009-08-01,-17.70
2009-09-01,-12.40
2009-10-01,-8.90
2009-11-01,-8.60
2009-12-01,-5.80
2010-01-01,-4.10
2010-02-01,-1.50
2010-03-01,0.00
2010-04-01,1.10
2010-05-01,5.70
2010-06-01,2.30
2010-07-01,2.90
2010-08-01,5.70
2010-09-01,5.20
2010-10-01,8.00
2010-11-01,8.60
2010-12-01,9.40
2011-01-01,10.10
2011-02-01,9.40
2011-03-01,11.30
2011-04-01,11.20
2011-05-01,10.20
2011-06-01,9.20
2011-07-01,9.60
2011-08-01,8.60
2011-09-01,4.80
2011-10-01,0.60
2011-11-01,0.70
2011-12-01,-0.60
2012-01-01,-2.10
2012-02-01,-2.00
2012-03-01,-1.40
2012-04-01,0.40
2012-05-01,-2.10
2012-06-01,-4.20
2012-07-01,-5.90
2012-08-01,-8.90
2012-09-01,-9.90
2012-10-01,-12.20
2012-11-01,-11.50
2012-12-01,-10.80
2013-01-01,-9.40
2013-02-01,-7.40
2013-03-01,-8.30
2013-04-01,-6.40
2013-05-01,-11.20
2013-06-01,-9.50
2013-07-01,-8.50
2013-08-01,-6.90
2013-09-01,-4.00
2013-10-01,-2.70
2013-11-01,-2.10
2013-12-01,0.60
2014-01-01,1.60
2014-02-01,3.80
2014-03-01,3.60
2014-04-01,5.40
