Date,Value
2008-02-12,-41.4
2008-03-11,-35.0
2008-04-15,-44.8
2008-05-20,-43.6
2008-06-17,-52.7
2008-07-15,-63.7
2008-08-19,-55.7
2008-09-16,-40.9
2008-10-14,-62.7
2008-11-11,54.0
2008-12-09,-46.1
2009-01-20,-30.8
2009-02-17,-8.7
2009-03-17,-6.5
2009-04-21,11.8
2009-05-19,28.5
2009-06-16,42.7
2009-07-14,39.5
2009-08-18,54.9
2009-09-15,59.6
2009-10-13,56.9
2009-11-10,51.8
2009-12-15,48.0
2010-01-19,46.4
2010-02-16,40.2
2010-03-16,37.9
2010-04-20,46.0
2010-05-18,37.6
2010-06-15,18.8
2010-07-13,10.7
2010-08-17,15.8
2010-09-14,4.4
2010-10-19,1.8
2010-11-16,13.8
2010-12-14,15.5
2011-01-18,25.4
2011-02-15,29.5
2011-03-15,31.0
2011-04-12,19.7
2011-05-17,13.6
2011-06-21,-5.9
2011-07-19,-7.0
2011-08-23,-40.0
2011-09-20,-44.6
2011-10-18,-51.2
2011-11-15,-59.1
2011-12-13,-54.1
2012-01-17,-32.5
2012-02-14,-8.1
2012-03-13,11.0
2012-04-17,13.1
2012-05-15,-2.4
2012-06-19,-20.1
2012-07-17,-22.3
2012-08-14,-21.2
2012-09-18,-3.8
2012-10-16,-1.4
2012-11-13,-2.6
2012-12-11,7.6
2013-01-22,31.2
2013-02-19,42.4
2013-03-19,33.4
2013-04-16,24.9
2013-05-14,27.6
2013-06-18,30.6
2013-07-16,32.8
2013-08-13,44.0
2013-09-17,58.6
2013-10-15,59.1
2013-11-19,60.2
2013-12-17,68.3
2014-01-21,73.3
2014-02-18,68.5
2014-03-18,61.5
2014-04-15,61.2
2014-05-13,55.2
2014-06-17,58.4
2014-07-15,48.1
2014-08-12,23.7
2014-09-16,14.2
2014-10-14,4.1
2014-11-18,11.0
2014-12-16,31.8
2015-01-20,45.2
2015-02-17,52.7
2015-03-17,62.4
2015-04-21,64.8
2015-05-19,61.2
2015-06-16,53.7
2015-07-14,42.7
2015-08-11,47.6
2015-09-15,33.3
2015-10-13,30.1
2015-11-17,28.3
2015-12-15,33.9
2016-01-19,22.7
2016-02-16,13.6
2016-03-22,10.6
2016-04-19,21.5
2016-05-24,16.8
2016-06-21,20.2
2016-07-19,-14.7
2016-08-16,4.6
2016-09-13,5.4
2016-10-11,12.3
2016-11-15,15.8
2016-12-13,18.1
2017-01-17,23.2
2017-02-14,17.1
2017-03-14,25.6
2017-04-11,26.3
2017-05-16,35.1
2017-06-13,37.7
2017-07-18,35.6
2017-08-22,29.3
2017-09-19,31.7
2017-10-17,26.7
2017-11-14,30.9
2017-12-12,29.0
2018-01-23,31.8
2018-02-20,29.3
2018-03-20,13.4
2018-04-17,1.9
2018-05-15,2.4
2018-06-12,-12.6
2018-07-10,-18.7
2018-08-14,-11.1
2018-09-11,-7.2
2018-10-16,-19.4
2018-11-13,-22.0
2018-12-11,-21.0
2019-01-22,-20.9
2019-02-19,-16.6
2019-03-19,-2.5
2019-04-16,4.5
2019-05-14,-1.6
2019-06-18,-20.2
2019-07-16,-20.3
2019-08-13,-43.6
2019-09-17,-22.4
2019-10-15,-23.5
2019-11-12,-1.0
2019-12-10,11.2
2020-01-21,25.6
2020-02-18,10.4
2020-03-17,-49.5
2020-04-21,25.2
2020-05-19,46.0
2020-06-16,58.6
2020-07-14,59.6
