Date,Value
1985-03-01,-0.30%
1985-04-01,0.10%
1985-05-01,0.80%
1985-06-01,0.20%
1985-07-01,-0.60%
1985-08-01,0.70%
1985-09-01,-0.60%
1985-10-01,-0.30%
1985-11-01,0.10%
1985-12-01,-0.20%
1986-01-01,-0.40%
1986-02-01,-0.10%
1986-03-01,-0.20%
1986-04-01,-0.70%
1986-05-01,0.10%
1986-06-01,-0.80%
1986-07-01,0.10%
1986-08-01,-1.00%
1986-09-01,-0.50%
1986-10-01,1.10%
1986-11-01,-0.40%
1986-12-01,-0.50%
1987-01-01,0.80%
1987-02-01,0.30%
1987-03-01,0.20%
1987-04-01,0.80%
1987-05-01,0.20%
1987-06-01,0.50%
1987-07-01,1.90%
1987-08-01,1.10%
1987-09-01,0.80%
1987-10-01,1.40%
1987-11-01,1.10%
1987-12-01,0.90%
1988-01-01,1.00%
1988-02-01,0.90%
1988-03-01,2.30%
1988-04-01,-1.10%
1988-05-01,1.80%
1988-06-01,-0.30%
1988-07-01,0.80%
1988-08-01,0.90%
1988-09-01,0.70%
1988-10-01,0.80%
1988-11-01,0.20%
1988-12-01,1.50%
1989-01-01,0.30%
1989-02-01,0.40%
1989-03-01,0.00%
1989-04-01,4.00%
1989-05-01,-2.50%
1989-06-01,-0.40%
1989-07-01,0.60%
1989-08-01,-0.50%
1989-09-01,1.30%
1989-10-01,0.40%
1989-11-01,-0.50%
1989-12-01,1.00%
1990-01-01,0.80%
1990-02-01,-0.40%
1990-03-01,0.10%
1990-04-01,0.30%
1990-05-01,0.60%
1990-06-01,1.40%
1990-07-01,0.80%
1990-08-01,0.60%
1990-09-01,-0.20%
1990-10-01,-0.50%
1990-11-01,1.40%
1990-12-01,-0.90%
1991-01-01,0.20%
1991-02-01,-0.20%
1991-03-01,-0.20%
1991-04-01,-1.20%
1991-05-01,-0.20%
1991-06-01,0.30%
1991-07-01,-1.80%
1991-08-01,1.00%
1991-09-01,-1.80%
1991-10-01,-1.00%
1991-11-01,-0.90%
1991-12-01,0.20%
1992-01-01,-2.40%
1992-02-01,-1.40%
1992-03-01,-0.80%
1992-04-01,-2.00%
1992-05-01,-1.30%
1992-06-01,-2.00%
1992-07-01,0.10%
1992-08-01,-0.90%
1992-09-01,-2.30%
1992-10-01,1.70%
1992-11-01,-2.70%
1992-12-01,-1.70%
1993-01-01,-0.80%
1993-02-01,1.10%
1993-03-01,-0.10%
1993-04-01,-1.00%
1993-05-01,-0.60%
1993-06-01,-0.10%
1993-07-01,-1.20%
1993-08-01,-0.70%
1993-09-01,-0.40%
1993-10-01,0.00%
1993-11-01,-1.20%
1993-12-01,-0.30%
1994-01-01,-0.70%
1994-02-01,0.40%
1994-03-01,0.20%
1994-04-01,1.30%
1994-05-01,0.40%
1994-06-01,0.10%
1994-07-01,1.30%
1994-08-01,1.20%
1994-09-01,0.50%
1994-10-01,-0.40%
1994-11-01,1.00%
1994-12-01,0.70%
1995-01-01,0.60%
1995-02-01,-1.70%
1995-03-01,1.40%
1995-04-01,0.60%
1995-05-01,0.60%
1995-06-01,-1.10%
1995-07-01,-0.30%
1995-08-01,-0.90%
1995-09-01,1.60%
1995-10-01,-0.40%
1995-11-01,0.40%
1995-12-01,0.80%
1996-01-01,1.20%
1996-02-01,-0.60%
1996-03-01,1.10%
1996-04-01,0.30%
1996-05-01,0.50%
1996-06-01,0.80%
1996-07-01,0.20%
1996-08-01,0.90%
1996-09-01,-0.10%
1996-10-01,0.50%
1996-11-01,1.40%
1996-12-01,0.90%
1997-01-01,0.30%
1997-02-01,1.40%
1997-03-01,0.10%
1997-04-01,1.40%
1997-05-01,-2.50%
1997-06-01,1.70%
1997-07-01,0.00%
1997-08-01,-0.20%
1997-09-01,-0.40%
1997-10-01,-1.10%
1997-11-01,-0.70%
1997-12-01,-1.70%
1998-01-01,-0.70%
1998-02-01,-0.10%
1998-03-01,-2.40%
1998-04-01,-2.70%
1998-05-01,0.40%
1998-06-01,-0.90%
1998-07-01,-1.00%
1998-08-01,0.10%
1998-09-01,-1.20%
1998-10-01,1.00%
1998-11-01,-0.70%
1998-12-01,-0.50%
1999-01-01,-0.10%
1999-02-01,0.50%
1999-03-01,0.00%
1999-04-01,1.00%
1999-05-01,-0.40%
1999-06-01,0.60%
1999-07-01,-0.10%
1999-08-01,0.70%
1999-09-01,1.30%
1999-10-01,1.00%
1999-11-01,0.20%
1999-12-01,0.70%
2000-01-01,0.10%
2000-02-01,0.00%
2000-03-01,1.10%
2000-04-01,0.70%
2000-05-01,1.20%
2000-06-01,0.10%
2000-07-01,1.30%
2000-08-01,0.00%
2000-09-01,1.50%
2000-10-01,-1.00%
2000-11-01,1.00%
2000-12-01,0.30%
2001-01-01,0.90%
2001-02-01,-2.30%
2001-03-01,-0.50%
2001-04-01,-1.40%
2001-05-01,-1.10%
2001-06-01,-1.10%
2001-07-01,-0.50%
2001-08-01,-1.30%
2001-09-01,-1.80%
2001-10-01,-1.70%
2001-11-01,-0.60%
