Date,Value
2001-02-01,0.20%
2001-03-01,1.40%
2001-04-01,2.30%
2001-05-01,-4.00%
2001-06-01,-1.80%
2001-07-01,-2.90%
2001-08-01,-2.60%
2001-09-01,-1.50%
2001-10-01,-3.20%
2001-11-01,-0.20%
2001-12-01,0.60%
2002-01-01,-6.60%
2002-02-01,0.50%
2002-03-01,-5.10%
2002-04-01,-1.30%
2002-05-01,1.80%
2002-06-01,-1.70%
2002-07-01,2.00%
2002-08-01,1.30%
2002-09-01,-0.20%
2002-10-01,4.90%
2002-11-01,0.80%
2002-12-01,-1.70%
2003-01-01,-0.60%
2003-02-01,-1.60%
2003-03-01,-0.70%
2003-04-01,-2.40%
2003-05-01,-1.60%
2003-06-01,-1.30%
2003-07-01,1.30%
2003-08-01,-3.90%
2003-09-01,1.60%
2003-10-01,-2.40%
2003-11-01,-1.60%
2003-12-01,0.70%
2004-01-01,0.00%
2004-02-01,1.20%
2004-03-01,5.30%
2004-04-01,0.20%
2004-05-01,3.90%
2004-06-01,5.00%
2004-07-01,-3.00%
2004-08-01,0.30%
2004-09-01,-0.20%
2004-10-01,-1.10%
2004-11-01,-1.60%
2004-12-01,-1.50%
2005-01-01,-3.00%
2005-02-01,0.30%
2005-03-01,-4.10%
2005-04-01,-0.80%
2005-05-01,-2.50%
2005-06-01,-1.60%
2005-07-01,1.00%
2005-08-01,-2.30%
2005-09-01,0.80%
2005-10-01,1.60%
2005-11-01,2.00%
2005-12-01,-0.50%
2006-01-01,0.50%
2006-02-01,-2.40%
2006-03-01,-1.00%
2006-04-01,-1.60%
2006-05-01,-1.50%
2006-06-01,-1.30%
2006-07-01,-1.70%
2006-08-01,-1.30%
2006-09-01,-4.30%
2006-10-01,-6.00%
2006-11-01,-2.40%
2006-12-01,-0.70%
2007-01-01,-1.90%
2007-02-01,0.60%
2007-03-01,1.30%
2007-04-01,0.10%
2007-05-01,1.10%
2007-06-01,0.40%
2007-07-01,0.10%
2007-08-01,-0.10%
2007-09-01,1.60%
2007-10-01,3.20%
2007-11-01,0.60%
2007-12-01,-0.60%
2008-01-01,2.20%
2008-02-28,3.6%
2008-03-27,0.0%
2008-04-29,-1.6%
2008-05-29,-2.7%
2008-06-26,-3.2%
2008-07-28,-1.8%
2008-08-28,-0.5%
2008-09-29,-4.0%
2008-10-30,-2.3%
2008-11-27,-3.8%
2008-12-25,-0.5%
2009-01-29,-4.6%
2009-02-26,-5.9%
2009-03-30,-3.5%
2009-04-30,-0.4%
2009-05-28,-1.3%
2009-06-29,0.3%
2009-07-30,0.2%
2009-08-27,-2.0%
2009-10-01,2.6%
2009-10-29,1.0%
2009-11-26,1.6%
