Date,Value
1998-07-01,-50.00
1998-08-01,-49.00
1998-09-01,-45.00
1998-10-01,-54.00
1998-11-01,-57.00
1998-12-01,-52.00
1999-01-01,-48.00
1999-02-01,-47.00
1999-03-01,-49.00
1999-04-01,-39.00
1999-05-01,-36.00
1999-06-01,-27.00
1999-07-01,-26.00
1999-08-01,-14.00
1999-09-01,-16.00
1999-10-01,-12.00
1999-11-01,-9.00
1999-12-01,-7.00
2000-01-01,-3.00
2000-02-01,0.00
2000-03-01,-3.00
2000-04-01,4.00
2000-05-01,7.00
2000-06-01,12.00
2000-07-01,15.00
2000-08-01,15.00
2000-09-01,14.00
2000-10-01,18.00
2000-11-01,17.00
2000-12-01,21.00
2001-01-01,15.00
2001-02-01,1.00
2001-03-01,-10.00
2001-04-01,-12.00
2001-05-01,-20.00
2001-06-01,-24.00
2001-07-01,-28.00
2001-08-01,-29.00
2001-09-01,-37.00
2001-10-01,-50.00
2001-11-01,-51.00
2001-12-01,-51.00
2002-01-01,-56.00
2002-02-01,-52.00
2002-03-01,-52.00
2002-04-01,-47.00
2002-05-01,-36.00
2002-06-01,-28.00
2002-07-01,-25.00
2002-08-01,-16.00
2002-09-01,-10.00
2002-10-01,-21.00
2002-11-01,-19.00
2002-12-01,-16.00
2003-01-01,-11.00
2003-02-01,-21.00
2003-03-01,-14.00
2003-04-01,-17.00
2003-05-01,-11.00
2003-06-01,-7.00
2003-07-01,-6.00
2003-08-01,-5.00
2003-09-01,2.00
2003-10-01,5.00
2003-11-01,10.00
2003-12-01,11.00
2004-01-01,3.00
2004-02-01,4.00
2004-03-01,15.00
2004-04-01,21.00
2004-05-01,23.00
2004-06-01,31.00
2004-07-01,27.00
2004-08-01,28.00
2004-09-01,30.00
2004-10-01,26.00
2004-11-01,19.00
2004-12-01,21.00
2005-01-01,15.00
2005-02-01,17.00
2005-03-01,9.00
2005-04-01,18.00
2005-05-01,18.00
2005-06-01,23.00
2005-07-01,20.00
2005-08-01,16.00
2005-09-01,16.00
2005-10-01,20.00
2005-11-01,15.00
2005-12-01,27.00
2006-01-01,32.00
2006-02-01,33.00
2006-03-01,34.00
2006-04-01,25.00
2006-05-01,34.00
2006-06-01,35.00
2006-07-01,39.00
2006-08-01,35.00
2006-09-01,30.00
2006-10-01,30.00
2006-11-01,34.00
2006-12-01,34.00
2007-01-01,34.00
2007-02-01,35.00
2007-03-01,30.00
2007-04-01,28.00
2007-05-01,28.00
2007-06-01,29.00
2007-07-01,31.00
2007-08-01,28.00
2007-09-01,30.00
2007-10-01,24.00
2007-11-01,21.00
2007-12-01,23.00
2008-01-01,21.00
2008-02-01,17.00
2008-03-01,9.00
2008-04-01,8.00
2008-05-01,1.00
2008-06-01,-2.00
2008-07-01,-2.00
2008-08-01,-10.00
2008-09-01,-16.00
2008-10-01,-14.00
2008-11-01,-25.00
2008-12-01,-42.00
2009-01-01,-64.00
2009-02-01,-76.00
2009-03-01,-74.00
2009-04-01,-78.00
2009-05-01,-76.00
2009-06-01,-69.00
2009-07-01,-50.00
2009-08-01,-43.00
2009-09-01,-42.00
2009-10-01,-33.00
2009-11-01,-35.00
2009-12-01,-28.00
2010-01-01,-27.00
2010-02-01,-19.00
2010-03-01,-13.00
2010-04-01,-8.00
2010-05-01,0.00
2010-06-01,4.00
2010-07-01,9.00
2010-08-01,12.00
2010-09-01,22.00
2010-10-01,17.00
2010-11-01,19.00
2010-12-01,16.00
2011-01-01,7.00
2011-02-01,11.00
2011-03-01,14.00
2011-04-01,15.00
2011-05-01,-13.00
2011-06-01,-9.00
2011-07-01,-3.00
2011-08-01,1.00
2011-09-01,6.00
2011-10-01,8.00
2011-11-01,6.00
2011-12-01,1.00
2012-01-01,-5.00
2012-02-01,-5.00
2012-03-01,-11.00
2012-04-01,2.00
2012-05-01,1.00
2012-06-01,2.00
2012-07-01,-3.00
2012-08-01,-2.00
2012-09-01,-4.00
2012-10-01,-5.00
2012-11-01,-17.00
2012-12-01,-19.00
2013-01-01,-18.00
2013-02-01,-17.00
2013-03-01,-13.00
2013-04-01,-11.00
2013-05-01,-4.00
2013-06-01,7.00
2013-07-01,15.00
2013-08-01,13.00
2013-09-01,16.00
2013-10-01,12.00
2013-11-01,12.00
2013-12-01,14.00
2014-01-01,17.00
2014-02-01,19.00
2014-03-01,18.00
2014-04-01,18.00
2014-05-01,25.00
2014-06-01,19.00
2014-07-01,19.00
2014-08-01,19.00
2014-09-17,10
2014-10-16,8
2014-11-12,13
2014-12-07,10
2015-01-19,9
2015-02-19,11
2015-03-18,16
2015-04-19,12
2015-05-21,13
2015-06-17,14
2015-07-20,14
2015-08-19,17
2015-09-14,9
2015-10-14,7
2015-11-10,3
2015-12-06,9
2016-01-19,6
2016-02-18,7
2016-03-22,6
2016-04-19,10
2016-05-25,2
2016-06-20,3
2016-07-20,3
2016-08-18,1
2016-09-14,5
2016-10-16,10
2016-11-10,14
2016-12-06,16
2017-01-19,18
2017-01-20,18
2017-02-16,20
2017-03-23,25
2017-04-19,26
2017-05-23,24
2017-06-19,26
2017-07-18,26
2017-08-20,27
2017-09-14,25
2017-10-16,31
2017-11-09,27
2017-12-06,27
2018-01-21,35
2018-02-18,29
2018-03-19,28
2018-04-19,21
2018-05-23,22
2018-06-19,26
2018-07-18,25
2018-08-16,30
2018-09-12,26
2018-10-14,28
2018-11-07,26
2018-12-05,23
2019-01-20,18
2019-02-18,13
2019-03-19,10
2019-04-17,8
2019-05-21,12
2019-06-17,6
2019-07-17,3
2019-08-18,-4
2019-09-11,-7
2019-10-09,-5
2019-11-06,-9
2019-12-12,-6
2020-01-15,-6
2020-02-16,-5
2020-03-16,-20
2020-04-15,-30
2020-05-19,-44
2020-06-16,-46
2020-07-14,-44
