Date,Value
1997-04-01,9.00
1997-05-01,14.00
1997-06-01,14.00
1997-07-01,14.00
1997-08-01,15.00
1997-09-01,15.00
1997-10-01,12.00
1997-11-01,3.00
1997-12-01,10.00
1998-01-01,8.00
1998-02-01,5.00
1998-03-01,7.00
1998-04-01,8.00
1998-05-01,3.00
1998-06-01,2.00
1998-07-01,0.00
1998-08-01,-1.00
1998-09-01,-1.00
1998-10-01,2.00
1998-11-01,8.00
1998-12-01,6.00
1999-01-01,11.00
1999-02-01,8.00
1999-03-01,12.00
1999-04-01,10.00
1999-05-01,10.00
1999-06-01,12.00
1999-07-01,19.00
1999-08-01,6.00
1999-09-01,10.00
1999-10-01,11.00
1999-11-01,7.00
1999-12-01,9.00
2000-01-01,7.00
2000-02-01,5.00
2000-03-01,2.00
2000-04-01,7.00
2000-05-01,0.00
2000-06-01,-3.00
2000-07-01,-1.00
2000-08-01,5.00
2000-09-01,2.00
2000-10-01,3.00
2000-11-01,4.00
2000-12-01,0.00
2001-01-01,-3.00
2001-02-01,4.00
2001-03-01,2.00
2001-04-01,1.00
2001-05-01,4.00
2001-06-01,12.00
2001-07-01,19.00
2001-08-01,11.00
2001-09-01,18.00
2001-10-01,-15.00
2001-11-01,-1.00
2001-12-01,8.00
2002-01-01,14.00
2002-02-01,13.00
2002-03-01,18.00
2002-04-01,16.00
2002-05-01,20.00
2002-06-01,18.00
2002-07-01,13.00
2002-08-01,3.00
2002-09-01,14.00
2002-10-01,10.00
2002-11-01,8.00
2002-12-01,12.00
2003-01-01,6.00
2003-02-01,7.00
2003-03-01,4.00
2003-04-01,4.00
2003-05-01,9.00
2003-06-01,6.00
2003-07-01,14.00
2003-08-01,12.00
2003-09-01,16.00
2003-10-01,14.00
2003-11-01,19.00
2003-12-01,14.00
2004-01-01,14.00
2004-02-01,13.00
2004-03-01,12.00
2004-04-01,15.00
2004-05-01,11.00
2004-06-01,10.00
2004-07-01,11.00
2004-08-01,11.00
2004-09-01,10.00
2004-10-01,14.00
2004-11-01,13.00
2004-12-01,11.00
2005-01-01,13.00
2005-02-01,16.00
2005-03-01,11.00
2005-04-01,6.00
2005-05-01,4.00
2005-06-01,7.00
2005-07-01,5.00
2005-08-01,4.00
2005-09-01,5.00
2005-10-01,5.00
2005-11-01,4.00
2005-12-01,8.00
2006-01-01,7.00
2006-02-01,12.00
2006-03-01,12.00
2006-04-01,15.00
2006-05-01,13.00
2006-06-01,8.00
2006-07-01,8.00
2006-08-01,9.00
2006-09-01,5.00
2006-10-01,7.00
2006-11-01,6.00
2006-12-01,7.00
2007-01-01,6.00
2007-02-01,10.00
2007-03-01,12.00
2007-04-01,10.00
2007-05-01,13.00
2007-06-01,12.00
2007-07-01,14.00
2007-08-01,11.00
2007-09-01,8.00
2007-10-01,7.00
2007-11-01,8.00
2007-12-01,6.00
2008-01-01,5.00
2008-02-11,-4
2008-04-07,-4
2008-04-28,-4
2008-05-11,-8
2008-06-09,-4
2008-07-07,-9
2008-08-11,-9
2008-09-08,-7
2008-10-13,-8
2008-10-27,-7
2008-11-10,-29
2008-12-08,-30
2009-01-26,-20
2009-02-09,-32
2009-02-11,-42
2009-03-09,-22
2009-04-13,-13
2009-05-10,-14
2009-06-08,-2
2009-07-13,4
2009-08-10,10
2009-09-07,18
2009-10-12,14
2009-11-09,16
2009-12-07,19
2010-02-01,8
2010-02-15,15
2010-03-08,19
2010-04-12,16
2010-05-09,13
2010-06-07,5
2010-07-12,4
2010-08-09,2
2010-09-13,11
2010-10-11,10
2010-11-08,8
2010-12-13,6
2011-01-31,-3
2011-02-07,4
2011-03-07,14
2011-04-11,9
2011-05-08,7
2011-06-13,6
2011-07-11,0
2011-08-08,2
2011-09-12,-8
2011-10-10,-2
2011-11-07,2
2011-12-12,2
2012-01-30,3
2012-02-13,4
2012-03-12,1
2012-04-09,3
2012-05-06,4
2012-06-11,-2
2012-07-09,-3
2012-08-13,4
2012-09-10,-2
2012-10-08,0
2012-11-12,-1
2012-12-10,-9
2013-01-28,3
2013-02-11,3
2013-03-11,1
2013-04-08,2
2013-05-12,-2
2013-06-10,-1
2013-07-08,0
2013-08-12,-3
2013-09-09,6
2013-10-07,12
2013-11-11,5
2013-12-09,5
2014-01-27,6
2014-02-10,8
2014-03-10,7
2014-04-07,4
2014-05-11,6
