Date,Value
2008-02-20,0.0%
2008-03-18,0.0%
2008-03-24,8.1%
2008-04-20,3.5%
2008-05-21,8.3%
2008-06-22,5.9%
2008-07-20,3.3%
2008-08-20,3.8%
2008-09-18,2.5%
2008-10-20,2.6%
2008-11-20,1.1%
2008-12-18,-0.7%
2009-01-25,-3.9%
2009-02-22,-2.2%
2009-03-19,-1.9%
2009-04-22,-5.0%
2009-05-20,-1.6%
2009-06-21,-2.4%
2009-07-20,-2.1%
2009-08-20,-2.0%
2009-09-20,0.1%
2009-10-20,-2.3%
2009-11-19,-0.4%
2009-12-20,1.6%
2010-01-25,1.8%
2010-02-18,2.6%
2010-03-18,1.1%
2010-04-22,6.3%
2010-05-20,1.9%
2010-06-21,3.4%
2010-07-20,4.5%
2010-08-19,2.7%
2010-09-20,2.0%
2010-10-20,4.1%
2010-11-18,4.6%
2010-12-20,3.8%
2011-01-25,2.0%
2011-02-20,5.6%
2011-03-20,5.3%
2011-04-20,1.5%
2011-05-19,6.0%
2011-06-21,5.1%
2011-07-20,4.5%
2011-08-18,7.3%
2011-09-20,4.7%
2011-10-20,5.2%
2011-11-20,7.9%
2011-12-20,3.2%
2012-01-24,5.9%
2012-02-21,3.1%
2012-03-20,4.0%
2012-04-23,5.2%
2012-05-20,3.7%
2012-06-21,3.9%
2012-07-19,4.6%
2012-08-20,0.1%
2012-09-20,1.9%
2012-10-18,1.5%
2012-11-20,-0.9%
2012-12-20,3.9%
2013-01-23,4.6%
2013-02-21,0.4%
2013-03-20,4.7%
2013-04-21,3.6%
2013-05-20,4.0%
2013-06-23,2.4%
2013-07-18,5.4%
2013-08-20,4.7%
2013-09-19,6.6%
2013-10-20,5.2%
2013-11-20,3.2%
2013-12-19,6.9%
2014-01-23,4.7%
2014-02-23,9.2%
2014-03-20,5.9%
2014-04-22,8.1%
2014-05-20,3.2%
2014-06-22,7.5%
2014-07-20,7.0%
2014-08-20,4.5%
2014-09-18,4.2%
2014-10-20,4.4%
2014-11-20,6.7%
2014-12-18,5.2%
2015-01-25,4.5%
2015-02-22,6.2%
2015-03-19,5.8%
2015-04-22,5.2%
2015-05-20,7.1%
2015-06-21,7.1%
2015-07-20,6.5%
2015-08-20,9.7%
2015-09-20,10.5%
2015-10-20,7.3%
2015-11-19,7.8%
2015-12-20,8.5%
2016-01-25,7.4%
2016-02-21,8.9%
2016-03-20,7.3%
2016-04-20,4.8%
2016-05-19,9.1%
2016-06-21,5.9%
2016-07-20,4.1%
2016-08-18,5.6%
2016-09-20,1.9%
2016-10-20,8.2%
2016-11-20,10.2%
2016-12-20,4.1%
2017-01-24,8.5%
2017-02-21,7.1%
2017-03-20,5.3%
2017-04-25,7.1%
2017-05-18,6.4%
2017-06-21,7.6%
2017-07-20,8.3%
2017-08-20,7.2%
2017-09-20,6.4%
2017-10-19,4.9%
2017-11-20,2.9%
2017-12-19,9.1%
2018-01-23,6.3%
2018-02-21,4.6%
2018-03-20,7.0%
2018-04-22,7.2%
2018-05-20,7.0%
2018-06-21,3.7%
2018-07-19,5.7%
2018-08-20,3.2%
2018-09-20,7.7%
2018-10-18,7.8%
2018-11-20,6.3%
2018-12-19,6.1%
2019-01-23,4.5%
2019-02-21,6.9%
2019-03-20,6.4%
2019-04-22,5.1%
2019-05-20,4.5%
2019-06-23,6.6%
2019-07-18,6.6%
2019-08-20,5.0%
2019-09-19,6.0%
2019-10-20,4.8%
2019-11-20,2.5%
2019-12-19,4.5%
2020-01-23,3.4%
2020-02-23,3.7%
2020-03-19,2.5%
2020-04-22,-8.2%
2020-05-20,-49.4%
2020-06-21,-21.1%
2020-07-20,-9.2%
