Date,Value
2003-11-01,7.60%
2003-12-01,8.50%
2004-01-01,9.60%
2004-02-01,8.90%
2004-03-01,9.80%
2004-04-01,8.70%
2004-05-01,11.20%
2004-06-01,8.70%
2004-07-01,11.90%
2004-08-01,11.40%
2004-09-01,7.60%
2004-10-01,11.10%
2004-11-01,9.00%
2004-12-01,9.10%
2005-01-01,7.40%
2005-02-01,8.00%
2005-03-01,8.00%
2005-04-01,10.10%
2005-05-01,9.10%
2005-06-01,6.90%
2005-07-01,10.10%
2005-08-01,8.20%
2005-09-01,9.50%
2005-10-01,10.50%
2005-11-01,9.90%
2005-12-01,8.60%
2006-01-01,8.10%
2006-02-01,7.50%
2006-03-01,7.80%
2006-04-01,9.60%
2006-05-01,7.60%
2006-06-01,11.70%
2006-07-01,11.00%
2006-08-01,7.90%
2006-09-01,9.80%
2006-10-01,8.30%
2006-11-01,7.20%
2006-12-01,9.00%
2007-01-01,10.40%
2007-02-01,9.20%
2007-03-01,10.00%
2007-04-01,9.70%
2007-05-01,7.40%
2007-06-01,7.20%
2007-07-01,7.60%
2007-08-01,6.10%
2007-09-01,8.20%
2007-10-01,8.10%
2007-11-01,7.60%
2007-12-01,9.60%
2008-01-01,6.90%
2008-02-01,8.10%
2008-03-01,10.50%
2008-04-01,4.40%
2008-05-01,5.50%
2008-06-01,8.30%
2008-07-01,2.20%
2008-08-01,6.60%
2008-09-01,5.70%
2008-10-01,3.60%
2008-11-01,6.40%
2008-12-01,1.40%
2009-01-01,1.90%
2009-02-01,3.30%
2009-03-01,-1.40%
2009-04-01,1.40%
2009-05-01,3.10%
2009-06-01,1.60%
2009-07-01,2.30%
2009-08-01,2.70%
2009-09-01,1.20%
2009-10-01,2.50%
2009-11-01,2.20%
2009-12-01,2.30%
2010-01-01,4.20%
2010-02-01,3.50%
2010-03-01,3.20%
2010-04-01,5.70%
2010-05-01,3.40%
2010-06-01,2.40%
2010-07-01,4.50%
2010-08-01,4.60%
2010-09-01,1.80%
2010-10-01,5.20%
2010-11-01,4.90%
2010-12-01,6.40%
2011-01-01,6.30%
2011-02-01,6.00%
2011-03-01,5.90%
2011-04-01,6.10%
2011-05-01,9.90%
2011-06-01,6.30%
2011-07-01,8.60%
2011-08-01,7.90%
2011-09-01,8.00%
2011-10-01,7.20%
2011-11-01,7.40%
2011-12-01,6.10%
2012-01-01,5.80%
2012-02-01,4.90%
2012-03-01,8.90%
2012-04-01,6.40%
2012-05-01,1.90%
2012-06-01,6.50%
2012-07-01,6.10%
2012-08-01,1.60%
2012-09-01,7.60%
2012-10-01,4.80%
2012-11-01,3.40%
2012-12-01,6.60%
2013-01-01,4.00%
2013-02-01,6.20%
2013-03-01,2.70%
2013-04-01,4.70%
2013-05-01,5.70%
2013-06-01,6.10%
2013-07-01,5.50%
2013-08-01,7.60%
2013-09-01,6.60%
2013-10-01,3.70%
2013-11-01,7.20%
2013-12-09,6.70%
2014-01-13,5.5%
2014-02-11,6.1%
2014-03-10,5.7%
2014-04-08,5.1%
2014-05-08,5.7%
2014-06-10,7.6%
2014-07-08,4.0%
2014-08-10,5.1%
2014-09-08,4.1%
2014-10-08,5.4%
2014-11-10,5.7%
2014-12-08,3.3%
2015-01-13,3.5%
2015-02-10,4.0%
2015-03-09,3.8%
2015-04-12,3.7%
2015-05-10,3.9%
2015-06-09,3.2%
2015-07-08,5.0%
2015-08-10,5.6%
2015-09-09,4.2%
2015-10-08,6.1%
2015-11-09,5.6%
2015-12-09,3.7%
2016-01-13,5.3%
2016-02-09,5.2%
2016-03-08,9.3%
2016-04-10,6.2%
2016-05-09,7.8%
2016-06-09,3.3%
2016-07-10,6.8%
2016-08-08,5.8%
2016-09-08,3.7%
2016-10-10,6.1%
2016-11-08,4.2%
2016-12-08,5.1%
2017-01-12,5.8%
2017-02-12,5.6%
2017-03-09,2.6%
2017-04-10,5.6%
2017-05-09,4.5%
2017-06-11,5.2%
2017-07-10,4.5%
2017-08-09,2.0%
2017-09-10,4.4%
2017-10-09,2.9%
2017-11-09,1.2%
2017-12-10,4.3%
2018-01-15,3.3%
2018-02-11,3.4%
2018-03-08,3.3%
2018-04-11,6.0%
2018-05-08,0.8%
2018-06-11,4.2%
2018-07-09,4.9%
2018-08-09,4.5%
2018-09-10,6.3%
2018-10-09,5.7%
2018-11-11,6.2%
2018-12-10,4.6%
2019-01-15,0.6%
2019-02-11,3.5%
2019-03-10,3.4%
2019-04-11,0.7%
2019-05-09,4.5%
2019-06-11,3.2%
2019-07-10,1.1%
2019-08-11,1.6%
2019-09-09,2.8%
2019-10-10,0.3%
2019-11-10,1.6%
2019-12-10,5.1%
2020-01-15,3.9%
2020-02-11,4.2%
2020-03-10,8.6%
2020-04-08,-1.8%
2020-05-10,-47.5%
2020-06-10,-6.0%
2020-07-09,8.0%
