Date,Value
1991-02-01,85.80
1991-03-01,87.80
1991-04-01,89.10
1991-05-01,92.60
1991-06-01,97.10
1991-07-01,97.40
1991-08-01,94.20
1991-09-01,94.70
1991-10-01,96.00
1991-11-01,101.00
1991-12-01,98.90
1992-01-01,100.60
1992-02-01,97.20
1992-03-01,96.80
1992-04-01,97.00
1992-05-01,96.60
1992-06-01,98.50
1992-07-01,96.10
1992-08-01,94.50
1992-09-01,94.40
1992-10-01,93.80
1992-11-01,91.30
1992-12-01,90.80
1993-01-01,89.60
1993-02-01,92.90
1993-03-01,94.20
1993-04-01,96.60
1993-05-01,99.90
1993-06-01,101.50
1993-07-01,101.80
1993-08-01,102.40
1993-09-01,101.40
1993-10-01,102.30
1993-11-01,104.40
1993-12-01,109.10
1994-01-01,109.90
1994-02-01,111.20
1994-03-01,114.70
1994-04-01,113.50
1994-05-01,109.70
1994-06-01,110.10
1994-07-01,110.00
1994-08-01,110.40
1994-09-01,107.70
1994-10-01,108.30
1994-11-01,109.20
1994-12-01,108.90
1995-01-01,108.70
1995-02-01,105.20
1995-03-01,99.70
1995-04-01,99.80
1995-05-01,96.30
1995-06-01,94.70
1995-07-01,93.50
1995-08-01,94.00
1995-09-01,92.90
1995-10-01,94.00
1995-11-01,93.00
1995-12-01,93.70
1996-01-01,94.50
1996-02-01,93.70
1996-03-01,94.30
1996-04-01,92.50
1996-05-01,95.60
1996-06-01,97.90
1996-07-01,99.10
1996-08-01,101.10
1996-09-01,103.00
1996-10-01,103.90
1996-11-01,105.50
1996-12-01,107.10
1997-01-01,108.00
1997-02-01,108.00
1997-03-01,108.90
1997-04-01,108.30
1997-05-01,107.90
1997-06-01,108.10
1997-07-01,108.70
1997-08-01,110.10
1997-09-01,110.50
1997-10-01,110.60
1997-11-01,112.30
1997-12-01,109.10
1998-01-01,107.70
1998-02-01,104.10
1998-03-01,101.10
1998-04-01,102.10
1998-05-01,101.60
1998-06-01,103.70
1998-07-01,100.50
1998-08-01,100.40
1998-09-01,98.30
1998-10-01,97.50
1998-11-01,93.00
1998-12-01,91.00
1999-01-01,95.20
1999-02-01,97.20
1999-03-01,99.90
1999-04-01,98.30
1999-05-01,103.70
1999-06-01,102.60
1999-07-01,101.80
1999-08-01,104.20
1999-09-01,106.40
1999-10-01,108.70
1999-11-01,114.30
1999-12-01,113.10
2000-01-01,112.70
2000-02-01,106.00
2000-03-01,102.40
2000-04-01,105.50
2000-05-01,107.30
2000-06-01,106.40
2000-07-01,107.40
2000-08-01,104.00
2000-09-01,103.20
2000-10-01,103.30
2000-11-01,102.90
2000-12-01,102.50
2001-01-01,101.10
2001-02-01,98.70
2001-03-01,96.80
2001-04-01,95.70
2001-05-01,87.80
2001-06-01,85.00
2001-07-01,86.60
2001-08-01,90.00
2001-09-01,92.20
2001-10-01,90.30
2001-11-01,83.40
2001-12-01,82.00
2002-01-01,83.50
2002-02-01,91.90
2002-03-01,97.70
2002-04-01,98.90
2002-05-01,102.60
2002-06-01,103.70
2002-07-01,102.10
2002-08-01,95.90
2002-09-01,93.90
2002-10-01,92.80
2002-11-01,94.50
2002-12-01,94.30
2003-01-01,94.90
