Date,Value
1977-05-01,-21.00
1977-06-01,-22.00
1977-07-01,-20.00
1977-08-01,-31.00
1977-09-01,-28.00
1977-10-01,-26.00
1977-11-01,-31.00
1977-12-01,-24.00
1978-01-01,-23.00
1978-02-01,-34.00
1978-03-01,-23.00
1978-04-01,-23.00
1978-05-01,-32.00
1978-06-01,-28.00
1978-07-01,-25.00
1978-08-01,-29.00
1978-09-01,-22.00
1978-10-01,-15.00
1978-11-01,-19.00
1978-12-01,-15.00
1979-01-01,-8.00
1979-02-01,-17.00
1979-03-01,-17.00
1979-04-01,-11.00
1979-05-01,-10.00
1979-06-01,-6.00
1979-07-01,-4.00
1979-08-01,-12.00
1979-09-01,-18.00
1979-10-01,-21.00
1979-11-01,-28.00
1979-12-01,-26.00
1980-01-01,-30.00
1980-02-01,-40.00
1980-03-01,-35.00
1980-04-01,-39.00
1980-05-01,-50.00
1980-06-01,-57.00
1980-07-01,-62.00
1980-08-01,-71.00
1980-09-01,-71.00
1980-10-01,-72.00
1980-11-01,-79.00
1980-12-01,-74.00
1981-01-01,-73.00
1981-02-01,-73.00
1981-03-01,-71.00
1981-04-01,-69.00
1981-05-01,-73.00
1981-06-01,-67.00
1981-07-01,-65.00
1981-08-01,-66.00
1981-09-01,-62.00
1981-10-01,-58.00
1981-11-01,-62.00
1981-12-01,-55.00
1982-01-01,-53.00
1982-02-01,-60.00
1982-03-01,-49.00
1982-04-01,-42.00
1982-05-01,-56.00
1982-06-01,-48.00
1982-07-01,-50.00
1982-08-01,-58.00
1982-09-01,-55.00
1982-10-01,-52.00
1982-11-01,-58.00
1982-12-01,-57.00
1983-01-01,-55.00
1983-02-01,-55.00
1983-03-01,-46.00
1983-04-01,-33.00
1983-05-01,-41.00
1983-06-01,-26.00
1983-07-01,-24.00
1983-08-01,-34.00
1983-09-01,-24.00
1983-10-01,-25.00
1983-11-01,-33.00
1983-12-01,-21.00
1984-01-01,-14.00
1984-02-01,-16.00
1984-03-01,-10.00
1984-04-01,-7.00
1984-05-01,-12.00
1984-06-01,-9.00
1984-07-01,-8.00
1984-08-01,-9.00
1984-09-01,-10.00
1984-10-01,-10.00
1984-11-01,-17.00
1984-12-01,-12.00
1985-01-01,-8.00
1985-02-01,-17.00
1985-03-01,-9.00
1985-04-01,-6.00
1985-05-01,-5.00
1985-06-01,1.00
1985-07-01,0.00
1985-08-01,-5.00
1985-09-01,-7.00
1985-10-01,-6.00
1985-11-01,-13.00
1985-12-01,-5.00
1986-01-01,-7.00
1986-02-01,-19.00
1986-03-01,-9.00
1986-04-01,-10.00
1986-05-01,-24.00
1986-06-01,-16.00
1986-07-01,-21.00
1986-08-01,-25.00
1986-09-01,-20.00
1986-10-01,-21.00
1986-11-01,-23.00
1986-12-01,-9.00
1987-01-01,-10.00
1987-02-01,-15.00
1987-03-01,2.00
1987-04-01,4.00
1987-05-01,1.00
1987-06-01,10.00
1987-07-01,3.00
1987-08-01,6.00
1987-09-01,11.00
1987-10-01,9.00
1987-11-01,10.00
1987-12-01,13.00
1988-01-01,18.00
1988-02-01,20.00
1988-03-01,20.00
1988-04-01,20.00
1988-05-01,14.00
1988-06-01,21.00
1988-07-01,13.00
1988-08-01,14.00
1988-09-01,17.00
1988-10-01,15.00
1988-11-01,11.00
1988-12-01,14.00
1989-01-01,14.00
1989-02-01,7.00
1989-03-01,3.00
1989-04-01,6.00
1989-05-01,1.00
1989-06-01,-5.00
1989-07-01,-6.00
1989-08-01,-5.00
1989-09-01,-4.00
1989-10-01,-8.00
