Date,Value
2012-04-25,0.0%
2012-05-24,-0.1%
2012-06-28,-0.2%
2012-07-25,-0.8%
2012-08-24,-0.5%
2012-09-27,-0.5%
2012-10-25,0.0%
2012-11-27,-0.1%
2012-12-21,0.0%
2013-01-25,0.0%
2013-02-27,0.3%
2013-03-27,0.2%
2013-04-25,0.6%
2013-05-23,0.6%
2013-06-27,0.3%
2013-07-25,1.4%
2013-08-23,1.5%
2013-09-26,1.3%
2013-10-25,1.5%
2013-11-27,1.5%
2013-12-20,1.9%
2014-01-28,2.8%
2014-02-26,2.7%
2014-03-28,2.7%
2014-04-29,3.1%
2014-05-22,3.1%
2014-06-27,3.0%
2014-07-25,3.1%
2014-08-15,3.2%
2014-09-30,3.2%
2014-10-24,3.0%
2014-11-26,3.0%
2014-12-23,2.6%
2015-01-27,2.7%
2015-02-26,2.7%
2015-03-31,3.0%
2015-04-28,2.4%
2015-05-28,2.4%
2015-06-30,2.9%
2015-07-28,2.6%
2015-08-28,2.6%
2015-09-30,2.4%
2015-10-27,2.3%
2015-11-27,2.3%
2015-12-23,2.1%
2016-01-28,1.9%
2016-02-25,1.9%
2016-03-31,2.1%
2016-04-27,2.1%
2016-05-26,2.0%
2016-06-30,2.0%
2016-07-27,2.2%
2016-08-26,2.2%
2016-09-30,2.1%
2016-10-27,2.3%
2016-11-25,2.3%
2016-12-23,2.2%
2017-01-26,2.2%
2017-02-22,2.0%
2017-03-31,1.9%
2017-04-28,2.1%
2017-05-25,2.0%
2017-06-30,2.0%
2017-07-26,1.7%
2017-08-24,1.7%
2017-09-29,1.5%
2017-10-25,1.5%
2017-11-23,1.5%
2017-12-22,1.7%
2018-01-26,1.5%
2018-02-22,1.4%
2018-03-29,1.4%
2018-04-27,1.2%
2018-05-25,1.2%
2018-06-29,1.2%
2018-08-10,1.3%
2018-09-28,1.2%
2018-11-09,1.5%
2018-12-10,1.5%
2018-12-21,1.5%
2019-02-11,1.3%
2019-03-29,1.4%
2019-04-10,2.0%
2019-05-10,1.8%
2019-06-10,1.3%
2019-06-28,1.8%
2019-08-09,1.2%
2019-09-30,1.3%
2019-10-10,1.1%
2019-11-11,1.0%
2019-12-10,0.7%
2019-12-20,1.1%
2020-01-13,0.6%
2020-02-11,1.1%
2020-03-11,0.6%
2020-03-31,1.1%
2020-04-09,0.3%
2020-05-13,-1.6%
2020-06-30,-1.7%
