Date,Value
1970-01-01,126.00
1970-02-01,126.00
1970-03-01,101.70
1970-04-01,101.70
1970-05-01,98.00
1970-06-01,98.00
1970-07-01,88.10
1970-08-01,88.10
1970-09-01,91.00
1970-10-01,91.00
1970-11-01,83.20
1970-12-01,83.20
1971-01-01,75.70
1971-02-01,75.70
1971-03-01,77.40
1971-04-01,77.40
1971-05-01,75.20
1971-06-01,75.20
1971-07-01,82.30
1971-08-01,82.30
1971-09-01,82.10
1971-10-01,82.10
1971-11-01,80.30
1971-12-01,80.30
1972-01-01,85.00
1972-02-01,85.00
1972-03-01,93.60
1972-04-01,93.60
1972-05-01,95.10
1972-06-01,95.10
1972-07-01,98.90
1972-08-01,98.90
1972-09-01,104.10
1972-10-01,104.10
1972-11-01,112.00
1972-12-01,112.00
1973-01-01,116.10
1973-02-01,116.10
1973-03-01,110.80
1973-04-01,110.80
1973-05-01,102.80
1973-06-01,102.80
1973-07-01,104.40
1973-08-01,104.40
1973-09-01,93.80
1973-10-01,93.80
1973-11-01,107.50
1973-12-01,107.50
1974-01-01,70.60
1974-02-01,70.60
1974-03-01,62.70
1974-04-01,62.70
1974-05-01,95.10
1974-06-01,95.10
1974-07-01,92.50
1974-08-01,92.50
1974-09-01,77.30
1974-10-01,77.30
1974-11-01,54.50
1974-12-01,54.50
1975-01-01,43.20
1975-02-01,43.20
1975-03-01,54.50
1975-04-01,54.50
1975-05-01,66.40
1975-06-01,66.40
1975-07-01,72.20
1975-08-01,72.20
1975-09-01,82.40
1975-10-01,82.40
1975-11-01,77.60
1975-12-01,77.60
1976-01-01,93.70
1976-02-01,93.70
1976-03-01,101.00
1976-04-01,101.00
1976-05-01,89.50
1976-06-01,89.50
1976-07-01,94.50
1976-08-01,94.50
1976-09-01,94.60
1976-10-01,94.60
1976-11-01,87.10
1976-12-01,87.10
1977-01-01,98.90
1977-02-01,98.90
1977-03-01,97.60
1977-04-01,97.60
1977-05-01,93.10
1977-06-01,93.10
1977-07-01,98.20
1977-08-01,97.50
1977-09-01,98.70
1977-10-01,96.70
1977-11-01,95.50
1977-12-01,98.90
1978-01-01,109.70
1978-02-01,107.80
1978-03-01,107.00
1978-04-01,104.70
1978-05-01,109.90
1978-06-01,105.50
1978-07-01,109.50
1978-08-01,105.40
1978-09-01,108.00
1978-10-01,106.60
1978-11-01,108.60
1978-12-01,96.50
1979-01-01,102.20
1979-02-01,99.50
1979-03-01,101.50
1979-04-01,96.40
1979-05-01,94.60
1979-06-01,96.00
1979-07-01,92.70
1979-08-01,81.40
1979-09-01,79.40
1979-10-01,87.80
1979-11-01,92.30
1979-12-01,90.20
1980-01-01,90.70
1980-02-01,85.90
1980-03-01,85.30
1980-04-01,80.80
1980-05-01,60.50
1980-06-01,50.10
1980-07-01,56.10
1980-08-01,65.40
1980-09-01,70.80
1980-10-01,80.30
1980-11-01,84.20
1980-12-01,87.20
1981-01-01,78.60
1981-02-01,74.40
1981-03-01,69.00
1981-04-01,77.80
1981-05-01,81.60
1981-06-01,86.90
1981-07-01,83.00
1981-08-01,83.50
1981-09-01,85.70
1981-10-01,77.60
1981-11-01,75.60
1981-12-01,66.90
1982-01-01,66.60
1982-02-01,64.90
1982-03-01,62.30
1982-04-01,56.70
1982-05-01,57.00
1982-06-01,61.40
1982-07-01,56.70
1982-08-01,63.20
1982-09-01,56.90
1982-10-01,58.10
1982-11-01,54.30
1982-12-01,57.40
1983-01-01,59.50
1983-02-01,59.00
1983-03-01,67.60
1983-04-01,79.40
1983-05-01,83.10
1983-06-01,87.70
1983-07-01,87.50
1983-08-01,89.00
1983-09-01,91.20
1983-10-01,91.10
1983-11-01,92.10
1983-12-01,96.70
1984-01-01,103.60
1984-02-01,103.90
1984-03-01,101.00
1984-04-01,101.10
1984-05-01,106.10
1984-06-01,104.80
1984-07-01,105.80
1984-08-01,100.40
1984-09-01,103.10
1984-10-01,100.00
1984-11-01,99.10
1984-12-01,105.50
1985-01-01,97.00
1985-02-01,102.00
1985-03-01,103.10
1985-04-01,96.10
1985-05-01,104.40
1985-06-01,99.60
1985-07-01,102.60
1985-08-01,103.20
1985-09-01,100.90
1985-10-01,96.00
1985-11-01,96.10
1985-12-01,98.10
1986-01-01,98.20
1986-02-01,96.90
1986-03-01,96.00
1986-04-01,95.10
1986-05-01,100.00
1986-06-01,100.20
1986-07-01,100.00
1986-08-01,97.50
1986-09-01,91.70
1986-10-01,89.70
1986-11-01,85.80
1986-12-01,89.70
1987-01-01,93.20
1987-02-01,85.40
1987-03-01,91.80
1987-04-01,95.80
1987-05-01,97.40
1987-06-01,103.00
1987-07-01,102.10
1987-08-01,105.80
1987-09-01,110.70
1987-10-01,115.70
1987-11-01,115.10
1987-12-01,100.80
1988-01-01,107.70
1988-02-01,109.90
1988-03-01,114.90
1988-04-01,112.70
1988-05-01,115.70
1988-06-01,120.20
1988-07-01,115.70
1988-08-01,113.50
1988-09-01,119.70
1988-10-01,110.70
1988-11-01,116.90
1988-12-01,112.90
1989-01-01,119.40
1989-02-01,115.80
1989-03-01,120.70
1989-04-01,117.40
1989-05-01,116.60
1989-06-01,116.70
1989-07-01,117.20
1989-08-01,120.40
1989-09-01,115.40
1989-10-01,116.30
1989-11-01,117.00
1989-12-01,115.10
1990-01-01,113.00
1990-02-01,106.50
1990-03-01,106.70
1990-04-01,110.60
1990-05-01,107.30
1990-06-01,107.30
1990-07-01,102.40
1990-08-01,101.70
1990-09-01,84.70
1990-10-01,85.60
1990-11-01,62.60
1990-12-01,61.70
1991-01-01,61.20
1991-02-01,55.10
1991-03-01,59.40
1991-04-01,81.10
1991-05-01,79.40
1991-06-01,76.40
1991-07-01,78.00
1991-08-01,77.70
1991-09-01,76.10
1991-10-01,72.90
1991-11-01,60.10
1991-12-01,52.70
1992-01-01,52.50
1992-02-01,50.20
1992-03-01,47.30
1992-04-01,56.50
1992-05-01,65.10
1992-06-01,71.90
1992-07-01,72.60
1992-08-01,61.20
1992-09-01,59.00
1992-10-01,57.30
1992-11-01,54.60
1992-12-01,65.60
1993-01-01,78.10
1993-02-01,76.70
1993-03-01,68.50
1993-04-01,63.20
1993-05-01,67.60
1993-06-01,61.90
1993-07-01,58.60
1993-08-01,59.20
1993-09-01,59.30
1993-10-01,63.80
1993-11-01,60.50
1993-12-01,71.90
1994-01-01,79.80
1994-02-01,82.60
1994-03-01,79.90
1994-04-01,86.70
1994-05-01,92.10
1994-06-01,88.90
1994-07-01,92.50
1994-08-01,91.30
1994-09-01,90.40
1994-10-01,89.50
1994-11-01,89.10
1994-12-01,100.40
1995-01-01,103.40
1995-02-01,101.40
1995-03-01,99.40
1995-04-01,100.20
1995-05-01,104.60
1995-06-01,102.00
1995-07-01,94.60
1995-08-01,101.40
1995-09-01,102.40
1995-10-01,97.30
1995-11-01,96.30
1995-12-01,101.60
1996-01-01,99.20
1996-02-01,88.40
1996-03-01,98.00
1996-04-01,98.40
1996-05-01,104.80
1996-06-01,103.50
1996-07-01,100.10
1996-08-01,107.00
1996-09-01,112.00
1996-10-01,111.80
1996-11-01,107.30
1996-12-01,109.50
1997-01-01,114.20
1997-02-01,118.70
1997-03-01,118.90
1997-04-01,118.50
1997-05-01,118.50
1997-06-01,127.90
1997-07-01,129.90
1997-08-01,126.30
1997-09-01,127.60
1997-10-01,130.20
1997-11-01,123.40
1997-12-01,128.10
1998-01-01,136.20
1998-02-01,128.30
1998-03-01,137.40
1998-04-01,133.80
1998-05-01,137.20
1998-06-01,136.30
1998-07-01,138.20
1998-08-01,137.20
1998-09-01,133.10
1998-10-01,126.40
1998-11-01,119.30
1998-12-01,126.40
1999-01-01,126.70
1999-02-01,128.90
1999-03-01,133.10
1999-04-01,134.00
1999-05-01,135.50
1999-06-01,137.70
1999-07-01,139.00
1999-08-01,136.20
1999-09-01,136.00
1999-10-01,134.20
1999-11-01,130.50
1999-12-01,137.00
2000-01-01,141.70
2000-02-01,144.70
2000-03-01,140.80
2000-04-01,137.10
2000-05-01,137.70
2000-06-01,144.70
2000-07-01,139.20
2000-08-01,143.00
2000-09-01,140.80
2000-10-01,142.50
2000-11-01,135.80
2000-12-01,132.60
2001-01-01,128.60
2001-02-01,115.70
2001-03-01,109.20
2001-04-01,116.90
2001-05-01,109.90
2001-06-01,116.10
2001-07-01,118.90
2001-08-01,116.30
2001-09-01,114.00
2001-10-01,97.00
2001-11-01,85.30
2001-12-01,84.90
2002-01-01,94.60
2002-02-01,97.80
2002-03-01,95.00
2002-04-01,110.70
2002-05-01,108.50
2002-06-01,110.30
2002-07-01,106.30
2002-08-01,97.40
2002-09-01,94.50
2002-10-01,93.70
2002-11-01,79.60
2002-12-01,84.90
2003-01-01,80.70
2003-02-01,78.80
2003-03-01,64.80
2003-04-01,61.40
2003-05-01,81.00
2003-06-01,83.60
2003-07-01,83.50
2003-08-01,77.00
2003-09-01,81.70
2003-10-01,77.00
2003-11-01,81.70
2003-12-01,92.50
2004-01-01,94.80
2004-02-01,97.70
2004-03-01,88.50
2004-04-01,88.50
2004-05-01,93.00
2004-06-01,93.10
2004-07-01,102.80
2004-08-01,105.70
2004-09-01,98.70
2004-10-01,96.70
2004-11-01,92.90
2004-12-01,92.60
2005-01-01,102.70
2005-02-01,105.10
2005-03-01,104.40
2005-04-01,103.00
2005-05-01,97.50
2005-06-01,103.10
2005-07-01,106.20
2005-08-01,103.60
2005-09-01,105.50
2005-10-01,87.50
2005-11-01,85.20
2005-12-01,98.30
2006-01-01,103.80
2006-02-01,106.80
2006-03-01,102.70
2006-04-01,107.50
2006-05-01,109.80
2006-06-01,104.70
2006-07-01,105.40
2006-08-01,107.00
2006-09-01,100.20
2006-10-01,105.90
2006-11-01,105.10
2006-12-01,105.30
2007-01-01,110.00
2007-02-01,110.20
2007-03-01,111.20
2007-04-01,108.20
2007-05-01,106.30
2007-06-01,108.50
2007-07-01,105.30
2007-08-01,111.90
2007-09-01,105.60
2007-10-01,99.50
2007-11-01,95.20
2007-12-01,87.80
2008-01-01,90.60
2008-02-26,75.0
2008-03-25,64.5
2008-04-29,62.3
2008-05-27,52.7
2008-06-24,50.4
2008-07-29,51.9
2008-08-26,56.9
2008-09-30,59.8
2008-10-28,38.0
2008-11-25,44.9
2008-12-30,38.0
2009-01-27,37.7
2009-02-24,25.0
2009-03-31,26.0
2009-04-28,39.2
2009-05-26,54.9
