Date,Value
2011-05-01,2.50%
2011-06-01,2.30%
2011-07-01,2.60%
2011-08-01,2.70%
2011-09-01,3.00%
2011-10-01,2.90%
2011-11-01,2.70%
2011-12-01,2.70%
2012-01-01,2.60%
2012-02-01,2.50%
2012-03-01,2.60%
2012-04-01,2.30%
2012-05-11,2.7%
2012-06-13,2.7%
2012-07-13,2.6%
2012-08-14,2.5%
2012-09-13,2.5%
2012-10-12,2.3%
2012-11-14,2.1%
2012-12-13,2.2%
2013-01-15,2.0%
2013-02-20,1.8%
2013-03-14,1.7%
2013-04-12,1.7%
2013-05-15,1.7%
2013-06-14,1.7%
2013-07-12,1.7%
2013-08-14,1.2%
2013-09-13,1.1%
2013-10-29,1.2%
2013-11-21,1.4%
2013-12-13,1.3%
2014-01-15,1.4%
2014-02-19,1.3%
2014-03-14,1.1%
2014-04-11,1.4%
2014-05-14,1.9%
2014-06-13,2.0%
2014-07-16,1.8%
2014-08-15,1.6%
2014-09-16,1.8%
2014-10-15,1.6%
2014-11-18,1.8%
2014-12-12,1.8%
2015-01-15,2.1%
2015-02-18,1.6%
2015-03-13,1.0%
2015-04-14,0.9%
2015-05-14,0.8%
2015-06-12,0.6%
2015-07-15,0.8%
2015-08-14,0.6%
2015-09-11,0.9%
2015-10-14,0.8%
2015-11-13,0.1%
2015-12-11,0.5%
2016-01-15,0.3%
2016-02-17,0.6%
2016-03-15,1.2%
2016-04-13,1.0%
2016-05-13,0.9%
2016-06-15,1.2%
2016-07-14,1.3%
2016-08-12,0.7%
2016-09-15,1.0%
2016-10-14,1.2%
2016-11-16,1.2%
2016-12-14,1.6%
2017-01-13,1.6%
2017-02-14,1.2%
2017-03-14,1.5%
2017-04-13,1.6%
2017-05-11,1.9%
2017-06-13,2.1%
2017-07-13,1.9%
2017-08-10,1.8%
2017-09-13,2.0%
2017-10-12,2.2%
2017-11-14,2.4%
2017-12-12,2.4%
2018-01-11,2.3%
2018-02-15,2.2%
2018-03-14,2.5%
2018-04-10,2.7%
2018-05-09,2.3%
2018-06-13,2.4%
2018-07-11,2.8%
2018-08-09,2.7%
2018-09-12,2.3%
2018-10-10,2.5%
2018-11-09,2.6%
2018-12-11,2.7%
2019-01-15,2.7%
2019-02-14,2.6%
2019-03-13,2.5%
2019-04-11,2.4%
2019-05-09,2.4%
2019-06-11,2.3%
2019-07-12,2.3%
2019-08-09,2.1%
2019-09-11,2.3%
2019-10-08,2.0%
2019-11-14,1.6%
2019-12-12,1.3%
2020-01-15,1.1%
2020-02-19,1.7%
2020-03-12,1.4%
2020-04-09,1.4%
2020-05-13,0.6%
2020-06-11,0.3%
2020-07-10,0.1%
