Date,Value
2012-07-01,53.20
2012-08-01,51.30
2012-09-01,51.90
2012-10-01,50.70
2012-11-01,52.50
2012-12-01,53.80
2013-01-01,53.30
2013-02-01,53.80
2013-03-01,54.50
2013-04-01,53.80
2013-05-01,53.80
2013-06-01,54.50
2013-07-01,55.80
2013-08-01,56.80
2013-09-01,56.00
2013-10-01,57.30
2013-11-01,49.60
2013-12-01,56.20
2014-01-01,56.10
2014-02-01,56.20
2014-03-01,54.10
2014-04-01,55.70
2014-05-01,55.60
2014-06-01,58.40
2014-07-01,61.00
2014-08-01,60.60
2014-09-01,59.70
2014-10-03,59.0
2014-11-05,57.2
2014-12-03,56.1
2015-01-06,53.5
2015-02-04,54.4
2015-03-04,57.2
2015-04-06,59.2
2015-05-05,57.0
2015-06-03,56.0
2015-07-06,54.6
2015-08-05,55.7
2015-08-25,55.0
2015-09-03,55.7
2015-10-05,55.0
2015-11-04,55.0
2015-12-03,55.9
2016-01-06,54.0
2016-02-03,53.2
2016-03-03,50.0
2016-04-05,51.3
2016-04-26,51.7
2016-05-04,52.4
2016-06-03,50.9
2016-07-06,51.2
2016-08-03,51.8
2016-09-03,51.5
2016-10-05,52.3
2016-11-03,54.9
2016-12-05,54.9
2016-12-19,53.7
2017-01-05,54.1
2017-02-03,55.8
2017-03-03,54.1
2017-04-05,53.0
2017-05-03,53.2
2017-06-05,53.6
2017-07-06,53.9
2017-08-03,54.6
2017-09-06,55.3
2017-09-22,54.6
2017-10-04,54.8
2017-10-24,55.7
2017-11-03,55.2
2017-12-05,54.5
2018-01-04,54.1
2018-01-24,53.8
2018-02-05,53.8
2018-02-21,55.9
2018-03-05,55.8
2018-04-04,54.2
2018-04-23,54.8
2018-05-03,54.9
2018-05-23,55.7
2018-06-05,56.6
2018-06-22,56.0
2018-07-05,56.2
2018-08-03,55.7
2018-08-23,55.0
2018-09-06,54.7
2018-09-21,53.4
2018-10-03,53.9
2018-10-24,54.8
2018-11-05,54.9
2018-11-23,54.4
2018-12-06,54.7
2019-01-04,54.4
2019-01-24,54.2
2019-02-05,54.4
2019-02-21,55.8
2019-03-05,55.5
2019-04-03,54.6
2019-04-18,52.8
2019-05-03,53.0
2019-05-23,50.9
2019-06-05,50.9
2019-06-21,50.6
2019-07-03,51.5
2019-07-24,51.6
2019-08-05,52.6
2019-08-22,50.9
2019-09-05,50.7
2019-09-23,51.0
2019-10-03,51.0
2019-10-24,51.2
2019-11-05,50.9
2019-11-22,51.9
2019-12-04,52.0
2019-12-16,52.2
2020-01-06,52.7
2020-01-24,53.1
2020-02-05,53.3
2020-02-21,49.6
2020-03-04,49.6
2020-03-24,40.5
2020-04-03,40.9
2020-04-23,27.4
2020-05-05,27.0
2020-05-21,36.4
2020-06-03,37.0
2020-06-23,46.8
2020-07-06,47.9
2020-07-24,50.0
