Date,Value
1975-02-01,86.67
1975-05-01,95.16
1975-08-01,99.36
1975-11-01,100.37
1976-02-01,102.01
1976-05-01,103.20
1976-08-01,102.10
1976-11-01,101.00
1977-02-01,102.65
1977-05-01,102.92
1977-08-01,101.83
1977-11-01,99.36
1978-02-01,100.55
1978-05-01,99.27
1978-08-01,97.17
1978-11-01,99.45
1979-02-01,94.98
1979-05-01,94.25
1979-08-01,90.23
1979-11-01,93.33
1980-02-01,92.15
1980-05-01,80.09
1980-08-01,94.61
1980-11-01,96.99
1981-02-01,95.89
1981-05-01,97.44
1981-08-01,99.00
1981-11-01,94.43
1982-02-01,94.98
1982-05-01,94.79
1982-08-01,94.79
1982-11-01,97.99
1983-02-01,100.09
1983-05-01,105.21
1983-08-01,107.67
1983-11-01,107.03
1984-02-01,107.31
1984-05-01,104.29
1984-08-01,99.91
1984-11-01,102.74
1985-02-01,103.11
1985-05-01,100.55
1985-08-01,101.10
1985-11-01,98.81
1986-02-01,100.40
1986-03-01,99.60
1986-04-01,100.90
1986-05-01,101.40
1986-06-01,102.40
1986-07-01,100.80
1986-08-01,99.50
1986-09-01,99.00
1986-10-01,98.60
1986-11-01,98.80
1986-12-01,97.80
1987-01-01,100.70
1987-02-01,100.30
1987-03-01,100.40
1987-04-01,100.60
1987-05-01,100.40
1987-06-01,100.30
1987-07-01,101.30
1987-08-01,102.20
1987-09-01,103.90
1987-10-01,102.50
1987-11-01,101.60
1987-12-01,98.90
1988-01-01,100.10
1988-02-01,100.50
1988-03-01,98.90
1988-04-01,101.00
1988-05-01,101.00
1988-06-01,101.40
1988-07-01,101.20
1988-08-01,99.80
1988-09-01,101.80
1988-10-01,100.80
1988-11-01,102.20
1988-12-01,102.10
1989-01-01,100.50
1989-02-01,101.50
1989-03-01,101.70
1989-04-01,100.80
1989-05-01,98.30
1989-06-01,97.70
1989-07-01,98.90
1989-08-01,99.30
1989-09-01,99.80
1989-10-01,101.90
1989-11-01,101.50
1989-12-01,100.00
1990-01-01,100.40
1990-02-01,99.40
1990-03-01,99.00
1990-04-01,99.80
1990-05-01,99.60
1990-06-01,99.80
1990-07-01,98.30
1990-08-01,97.60
1990-09-01,95.30
1990-10-01,93.00
1990-11-01,91.70
1990-12-01,92.00
1991-01-01,91.80
1991-02-01,91.40
1991-03-01,95.20
1991-04-01,99.50
1991-05-01,100.50
1991-06-01,99.80
1991-07-01,99.10
1991-08-01,100.30
1991-09-01,98.60
1991-10-01,99.40
1991-11-01,97.90
1991-12-01,95.50
1992-01-01,95.90
1992-02-01,96.90
1992-03-01,98.30
1992-04-01,99.50
1992-05-01,101.00
1992-06-01,101.20
1992-07-01,100.70
1992-08-01,98.70
1992-09-01,100.10
1992-10-01,98.60
1992-11-01,98.10
1992-12-01,100.60
1993-01-01,100.70
1993-02-01,100.80
1993-03-01,98.20
1993-04-01,96.90
1993-05-01,95.80
1993-06-01,94.10
1993-07-01,92.40
1993-08-01,93.50
1993-09-01,92.60
1993-10-01,94.10
1993-11-01,95.00
1993-12-01,98.80
1994-01-01,98.20
1994-02-01,99.80
1994-03-01,99.70
1994-04-01,99.50
1994-05-01,98.30
1994-06-01,98.90
1994-07-01,98.40
1994-08-01,98.30
1994-09-01,99.20
1994-10-01,99.40
1994-11-01,100.00
1994-12-01,104.00
1995-01-01,101.30
1995-02-01,102.00
1995-03-01,100.50
1995-04-01,99.90
1995-05-01,100.50
1995-06-01,100.00
1995-07-01,99.10
1995-08-01,100.00
1995-09-01,100.40
1995-10-01,101.60
1995-11-01,101.40
1995-12-01,102.10
1996-01-01,101.20
1996-02-01,99.70
1996-03-01,100.00
1996-04-01,100.30
1996-05-01,100.00
1996-06-01,99.80
1996-07-01,100.90
1996-08-01,99.50
1996-09-01,100.30
1996-10-01,100.50
1996-11-01,101.30
1996-12-01,99.20
1997-01-01,99.80
1997-02-01,101.10
1997-03-01,101.70
1997-04-01,100.00
1997-05-01,100.80
1997-06-01,101.10
1997-07-01,102.20
1997-08-01,103.50
1997-09-01,104.00
1997-10-01,102.70
1997-11-01,103.90
1997-12-01,103.60
1998-01-01,102.40
1998-02-01,102.30
1998-03-01,101.70
1998-04-01,101.20
1998-05-01,103.20
1998-06-01,102.00
1998-07-01,100.30
1998-08-01,101.20
1998-09-01,102.10
1998-10-01,99.50
1998-11-01,100.00
1998-12-01,101.00
1999-01-01,101.50
1999-02-01,100.60
1999-03-01,100.50
1999-04-01,100.40
1999-05-01,101.40
1999-06-01,100.00
1999-07-01,100.30
1999-08-01,100.60
1999-09-01,100.70
1999-10-01,102.40
1999-11-01,101.40
1999-12-01,103.20
2000-01-01,103.00
2000-02-01,103.60
2000-03-01,100.80
2000-04-01,101.20
2000-05-01,100.70
2000-06-01,100.50
2000-07-01,97.90
2000-08-01,101.10
2000-09-01,101.90
2000-10-01,101.10
2000-11-01,99.40
2000-12-01,99.60
2001-01-01,96.70
2001-02-01,96.50
2001-03-01,98.40
2001-04-01,97.80
2001-05-01,98.40
2001-06-01,99.50
2001-07-01,97.20
2001-08-01,98.50
2001-09-01,101.50
2001-10-01,96.30
2001-11-01,96.30
2001-12-01,99.40
2002-01-01,100.40
2002-02-01,100.80
2002-03-01,100.30
2002-04-01,103.70
2002-05-01,102.20
2002-06-01,102.30
2002-07-01,102.10
2002-08-01,99.50
2002-09-01,101.50
2002-10-01,101.00
2002-11-01,100.40
2002-12-01,101.90
2003-01-01,98.50
2003-02-01,99.20
2003-03-01,96.10
2003-04-01,94.70
2003-05-01,100.00
2003-06-01,100.10
2003-07-01,101.70
2003-08-01,100.60
2003-09-01,104.60
2003-10-01,101.90
2003-11-01,104.00
2003-12-01,105.30
2004-01-01,106.90
2004-02-01,105.80
2004-03-01,102.60
2004-04-01,102.50
2004-05-01,105.40
2004-06-01,104.50
2004-07-01,103.00
2004-08-01,105.90
2004-09-01,102.90
2004-10-01,104.50
2004-11-01,103.90
2004-12-01,107.70
2005-01-01,106.10
2005-02-01,103.60
2005-03-01,103.60
2005-04-01,102.50
2005-05-01,99.80
2005-06-01,100.80
2005-07-01,100.80
2005-08-01,101.10
2005-09-01,100.90
2005-10-01,100.00
2005-11-01,103.70
2005-12-01,101.20
2006-01-01,101.40
2006-02-01,101.10
2006-03-01,101.50
2006-04-01,98.00
2006-05-01,100.10
2006-06-01,98.50
2006-07-01,96.70
2006-08-01,98.10
2006-09-01,95.90
2006-10-01,99.40
2006-11-01,100.70
2006-12-01,99.70
2007-01-01,96.50
2007-02-01,98.90
2007-03-01,98.20
2007-04-01,97.30
2007-05-01,96.80
2007-06-01,97.20
2007-07-01,96.00
2007-08-01,97.60
2007-09-01,96.30
2007-10-01,97.30
2007-11-01,96.20
2007-12-01,94.40
2008-01-01,94.60
2008-02-01,91.80
2008-03-01,92.90
2008-04-01,89.60
2008-05-01,91.50
2008-06-01,89.30
2008-07-01,89.20
2008-08-01,88.20
2008-09-01,91.10
2008-10-01,92.90
2008-11-01,87.50
2008-12-01,87.80
2009-01-01,85.20
2009-02-01,84.10
2009-03-01,82.60
2009-04-01,81.00
2009-05-01,86.80
2009-06-01,88.90
2009-07-01,87.80
2009-08-01,86.50
2009-09-01,88.60
2009-10-01,88.80
2009-11-01,89.10
2009-12-01,88.30
2010-01-01,88.00
2010-02-01,89.30
2010-03-01,88.00
2010-04-01,86.80
2010-05-01,90.60
2010-06-01,92.20
2010-07-01,89.00
2010-08-01,88.10
2010-09-01,88.80
2010-10-01,89.00
2010-11-01,91.70
2010-12-01,93.20
2011-01-01,92.60
2011-02-01,94.10
2011-03-08,94.5
2011-04-12,91.9
2011-05-10,91.2
2011-06-14,90.9
2011-07-12,90.8
2011-08-09,89.9
2011-09-13,88.1
2011-10-11,88.9
2011-11-08,90.2
2011-12-13,92.0
2012-01-10,93.8
2012-02-14,93.9
2012-03-13,94.3
2012-04-10,92.5
2012-05-08,94.5
2012-06-12,94.4
2012-07-10,91.4
2012-08-14,91.2
2012-09-11,92.9
2012-10-09,92.8
2012-11-13,93.1
2012-12-11,87.5
2013-01-08,88.0
2013-02-12,88.9
2013-03-12,90.8
2013-04-09,89.5
2013-05-14,92.1
2013-06-11,94.4
2013-07-09,93.5
2013-08-13,94.1
2013-09-10,94.0
2013-10-08,93.9
2013-11-12,91.6
2013-12-10,92.5
2014-01-14,93.9
2014-02-11,94.1
2014-03-11,91.4
2014-04-08,93.4
2014-05-13,95.2
2014-06-10,96.6
2014-07-08,95.0
2014-08-12,95.7
2014-09-09,96.1
2014-10-14,95.3
2014-11-11,96.1
2014-12-09,98.1
2015-01-13,100.4
2015-02-10,97.9
2015-03-10,98.0
2015-04-14,95.2
2015-05-12,96.9
2015-06-09,98.3
2015-07-14,94.1
2015-08-11,95.4
2015-09-08,95.9
2015-10-13,96.1
2015-11-10,96.1
2015-12-08,94.8
2016-01-12,95.2
2016-02-09,93.9
2016-03-08,92.9
2016-04-12,92.6
2016-05-10,93.6
2016-06-14,93.8
2016-07-12,94.5
2016-08-09,94.6
2016-09-13,94.4
2016-10-11,94.1
2016-11-08,94.9
2016-12-13,98.4
2017-01-10,105.8
2017-02-14,105.9
2017-03-14,105.3
2017-04-11,104.7
2017-05-09,104.5
2017-06-13,104.5
2017-07-11,103.6
2017-08-08,105.2
2017-09-12,105.3
2017-10-10,103.0
2017-11-14,103.8
2017-12-12,107.5
2018-01-09,104.9
2018-02-13,106.9
2018-03-13,107.6
2018-04-10,104.7
2018-05-08,104.8
2018-06-12,107.8
2018-07-10,107.2
2018-08-14,107.9
2018-09-11,108.8
2018-10-09,107.9
2018-11-13,107.4
2018-12-11,104.8
2019-01-08,104.4
2019-02-12,101.2
2019-03-12,101.7
2019-04-09,101.8
2019-05-14,103.5
2019-06-11,105.0
2019-07-09,103.3
2019-08-13,104.7
2019-09-10,103.1
2019-10-08,101.8
2019-11-12,102.4
2019-12-10,104.7
2020-01-14,102.7
2020-02-11,104.3
2020-03-10,104.5
2020-04-07,96.4
2020-05-12,90.9
2020-06-09,94.4
2020-07-14,100.6
