Date,Value
1993-12-01,17.00
1994-01-01,13.00
1994-02-01,18.00
1994-03-01,7.00
1994-04-01,18.00
1994-05-01,19.00
1994-06-01,17.00
1994-07-01,23.00
1994-08-01,20.00
1994-09-01,20.00
1994-10-01,17.00
1994-11-01,20.00
1994-12-01,17.00
1995-01-01,19.00
1995-02-01,15.00
1995-03-01,12.00
1995-04-01,5.00
1995-05-01,-4.00
1995-06-01,-8.00
1995-07-01,-12.00
1995-08-01,-10.00
1995-09-01,-7.00
1995-10-01,-3.00
1995-11-01,-5.00
1995-12-01,-7.00
1996-01-01,-8.00
1996-02-01,-9.00
1996-03-01,-5.00
1996-04-01,-12.00
1996-05-01,-3.00
1996-06-01,7.00
1996-07-01,6.00
1996-08-01,4.00
1996-09-01,8.00
1996-10-01,-7.00
1996-11-01,0.00
1996-12-01,7.00
1997-01-01,7.00
1997-02-01,5.00
1997-03-01,-2.00
1997-04-01,9.00
1997-05-01,11.00
1997-06-01,16.00
1997-07-01,12.00
1997-08-01,4.00
1997-09-01,8.00
1997-10-01,15.00
1997-11-01,15.00
1997-12-01,8.00
1998-01-01,-6.00
1998-02-01,21.00
1998-03-01,8.00
1998-04-01,9.00
1998-05-01,8.00
1998-06-01,-1.00
1998-07-01,4.00
1998-08-01,6.00
1998-09-01,5.00
1998-10-01,-4.00
1998-11-01,5.00
1998-12-01,0.00
1999-01-01,3.00
1999-02-01,0.00
1999-03-01,1.00
1999-04-01,8.00
1999-05-01,8.00
1999-06-01,8.00
1999-07-01,7.00
1999-08-01,18.00
1999-09-01,1.00
1999-10-01,7.00
1999-11-01,11.00
1999-12-01,15.00
2000-01-01,13.00
2000-02-01,11.00
2000-03-01,14.00
2000-04-01,12.00
2000-05-01,12.00
2000-06-01,12.00
2000-07-01,9.00
2000-08-01,5.00
2000-09-01,9.00
2000-10-01,7.00
2000-11-01,-1.00
2000-12-01,-1.00
2001-01-01,-6.00
2001-02-01,-11.00
2001-03-01,-12.00
2001-04-01,-28.00
2001-05-01,-18.00
2001-06-01,-20.00
2001-07-01,-22.00
2001-08-01,-16.00
2001-09-01,-5.00
2001-10-01,-11.00
2001-11-01,-16.00
2001-12-01,-23.00
2002-01-01,-16.00
2002-02-01,3.00
2002-03-01,6.00
2002-04-01,8.00
2002-05-01,11.00
2002-06-01,5.00
2002-07-01,1.00
2002-08-01,-1.00
2002-09-01,-1.00
2002-10-01,-8.00
2002-11-01,-4.00
2002-12-01,-3.00
2003-01-01,-5.00
2003-02-01,7.00
2003-03-01,-11.00
2003-04-01,-13.00
2003-05-01,-16.00
2003-06-01,-15.00
2003-07-01,-3.00
2003-08-01,-7.00
2003-09-01,-6.00
2003-10-01,-12.00
2003-11-01,6.00
2003-12-01,3.00
2004-01-01,11.00
2004-02-01,10.00
2004-03-01,12.00
2004-04-01,23.00
2004-05-01,13.00
2004-06-01,14.00
2004-07-01,9.00
2004-08-01,7.00
2004-09-01,5.00
2004-10-01,5.00
2004-11-01,2.00
2004-12-01,-7.00
2005-01-01,7.00
2005-02-01,6.00
2005-03-01,10.00
2005-04-01,4.00
2005-05-01,3.00
2005-06-01,8.00
2005-07-01,4.00
2005-08-01,-4.00
2005-09-01,1.00
2005-10-01,1.00
2005-11-01,5.00
2005-12-01,2.00
2006-01-01,-1.00
2006-02-01,4.00
2006-03-01,0.00
2006-04-01,14.00
2006-05-01,8.00
2006-06-01,-9.00
2006-07-01,-2.00
2006-08-01,4.00
2006-09-01,-5.00
2006-10-01,4.00
2006-11-01,-3.00
2006-12-01,11.00
2007-01-01,-2.00
2007-02-01,-8.00
2007-03-01,-2.00
2007-04-01,-10.00
2007-05-01,-10.00
2007-06-01,-10.00
2007-07-01,-1.00
2007-08-01,-1.00
2007-09-01,1.00
2007-10-01,3.00
2007-11-01,0.00
2007-12-01,2.00
2008-01-01,-4.00
2008-02-26,-5
2008-03-25,6
2008-04-22,0
2008-05-27,-3
2008-06-24,-14
2008-07-22,-16
2008-08-26,-16
2008-09-23,-18
2008-10-28,-26
2008-11-25,-38
2008-12-23,-55
2009-01-27,-49
2009-02-24,-51
2009-03-24,-20
2009-04-28,-9
2009-05-26,4
2009-06-23,6
2009-07-28,14
2009-08-25,14
2009-09-22,14
2009-10-27,7
2009-11-24,1
2009-12-22,-4
2010-01-26,-2
2010-02-23,2
2010-03-23,6
2010-04-27,30
2010-05-25,26
2010-06-22,23
2010-07-27,16
2010-08-24,11
2010-09-28,-2
2010-10-26,5
2010-11-23,9
2010-12-28,25
2011-01-25,18
2011-02-22,25
2011-03-22,20
2011-04-26,10
2011-05-24,-6
2011-06-28,3
2011-07-26,-1
2011-08-23,-10
2011-09-27,-6
2011-10-25,-6
2011-11-22,0
2011-12-27,3
2012-01-24,12
2012-02-28,20
2012-03-27,7
2012-04-24,14
2012-05-22,4
2012-06-26,-3
2012-07-24,-17
2012-08-28,-9
2012-09-25,4
2012-10-23,-7
2012-11-27,9
2012-12-26,5
2013-01-22,-12
2013-02-26,6
2013-03-26,3
2013-04-23,-6
2013-05-28,-2
2013-06-25,8
2013-07-23,-11
2013-08-27,14
2013-09-24,0
2013-10-22,1
2013-11-26,13
2013-12-24,13
2014-01-28,12
2014-02-25,-6
2014-03-25,-7
2014-04-22,7
2014-05-27,7
2014-06-24,3
2014-07-22,7
2014-08-26,12
2014-09-23,14
2014-10-28,20
2014-11-25,4
2014-12-23,7
2015-01-27,6
2015-02-24,0
2015-03-24,-8
2015-04-28,-3
2015-05-26,1
2015-06-23,6
2015-07-28,13
2015-08-25,0
2015-09-22,-5
2015-10-27,-1
2015-11-24,-3
2015-12-22,6
2016-01-26,2
2016-02-23,-4
2016-03-22,22
2016-04-26,14
2016-05-24,-1
2016-06-28,-7
2016-07-26,10
2016-08-23,-11
2016-09-27,-8
2016-10-25,-4
2016-11-22,4
2016-12-27,8
2017-01-24,12
2017-02-28,17
2017-03-28,22
2017-04-25,20
2017-05-23,1
2017-06-27,7
2017-07-25,14
2017-08-22,14
2017-09-26,19
2017-10-24,12
2017-11-28,30
2017-12-26,20
2018-01-23,14
2018-02-27,28
2018-03-27,15
2018-04-24,-3
2018-05-22,16
2018-06-26,20
2018-07-24,20
2018-08-28,24
2018-09-25,29
2018-10-23,15
2018-11-28,14
2018-12-26,-8
2019-01-23,-2
2019-02-26,16
2019-03-26,10
2019-04-23,3
2019-05-29,5
2019-06-25,3
2019-07-23,-12
2019-08-27,1
2019-09-24,-9
2019-10-22,8
2019-11-26,-1
2019-12-24,-5
2020-01-28,20
2020-02-25,-2
2020-03-24,2
2020-04-28,-53
2020-05-27,-27
2020-06-23,0
2020-07-28,10
