Date	ActualValue	ForecastValue	PreviousValue
2020.08.02	53.5		51.5
2020.06.30	51.5		41.6
2020.05.31	41.6		35.8
2020.04.30	35.8		53.7
2020.03.31	53.7		44.3
2020.03.01	44.3		45.4
2020.02.02	45.4		48.3
2020.01.05	48.3		48.1
2019.12.01	48.1		51.6
2019.10.31	51.6		54.7
2019.09.30	54.7		53.1
2019.09.01	53.1		51.3
2019.07.31	51.3		49.4
2019.06.30	49.4		52.7
2019.06.02	52.7		54.8
2019.04.30	54.8		51.0
2019.03.31	51.0		54.0
2019.02.28	54.0		52.5
2019.01.31	52.5		49.5
2019.01.06	49.5		51.3
2018.12.02	51.3		58.3
2018.10.31	58.3		59.0
2018.09.30	59.0		56.7
2018.09.02	56.7		52.0
2018.07.31	52.0		57.4
2018.07.01	57.4		57.5
2018.05.31	57.5		58.3
2018.04.30	58.3		63.1
2018.04.02	63.1		57.5
2018.02.28	57.5		58.7
2018.01.31	58.7		56.2
2018.01.01	56.2		57.3
2017.11.30	57.3		51.1
2017.10.31	51.1		54.2
2017.10.01	54.2		59.8
2017.08.31	59.8		56.0
2017.07.31	56.0		55.0
2017.07.02	55.0		54.8
2017.05.31	54.8		59.2
2017.04.30	59.2		57.5
2017.04.02	57.5		59.3
2017.02.28	59.3		51.2
2017.01.31	51.2		55.4
2017.01.02	55.4		54.2
2016.11.30	54.2		50.9
2016.10.31	50.9		49.8
2016.10.02	49.8		46.9
2016.08.31	46.9		56.4
2016.07.31	56.4		51.8
2016.06.30	51.8		51.0
2016.05.31	51.0		53.4
2016.05.01	53.4		58.1
2016.03.31	58.1		53.5
2016.02.29	53.5		51.5
2016.01.31	51.5		51.9
2016.01.03	51.9		52.5
2015.11.30	52.5		50.2
2015.11.01	50.2		52.1
2015.09.30	52.1		51.7
2015.08.31	51.7		50.4
2015.08.02	50.4		44.2
2015.06.30	44.2		52.3
2015.05.31	52.3		48.0
2015.04.30	48.0		46.3
2015.03.31	46.3		45.4
2015.03.01	45.4		49.0
2015.02.01	49.0		46.9
2015.01.04	46.9		50.1
2014.11.30	50.1		49.4
2014.11.02	49.4		46.5
2014.09.30	46.5		47.3
2014.08.31	47.3		50.7
2014.07.31	50.7		48.9
2014.06.30	48.9		49.2
2014.06.01	49.2		44.8
2014.04.30	44.8		47.9
2014.03.31	47.9		48.6
2014.03.02	48.6		46.7
2014.02.02	46.7		47.6
2014.01.01	47.6		47.7
2013.12.01	47.7		53.2
2013.10.31	53.2		51.7
2013.09.30	51.7		46.4
2013.09.01	46.4		42.0
2013.07.31	42.0		49.6
2013.06.30	49.6		43.8
2013.06.02	43.8		36.7
2013.04.30	36.7		44.4
2013.04.01	44.4		45.6
2013.02.28	45.6		40.2
2013.01.31	40.2		44.3
2013.01.01	44.3		44.3
2012.12.02	43.6		45.2
2012.10.31	45.2		44.1
2012.09.30	44.1		45.3
2012.09.02	45.3		40.3
2012.07.31	40.3		47.2
2012.07.01	47.2		42.4
2012.05.31	42.4		43.9
2012.04.30	43.9		49.5
2012.04.01	49.5		51.3
2012.02.29	51.3		51.6
2012.01.31	51.6		50.2
2012.01.02	50.2		47.8
2011.11.30	47.8		47.4
2011.10.31	47.4		42.3
2011.10.02	42.3		43.3
2011.08.31	43.3		43.4
2011.07.31	43.4		52.9
2011.06.30	52.9		47.7
2011.05.31	47.7		48.4
2011.05.01	48.4		47.9
2011.03.31	47.9		51.1
2011.02.28	51.1		46.7
2011.01.31	46.7		46.3
2011.01.03	46.3		47.6
2010.11.30	47.6		49.4
2010.10.31	49.4		47.3
2010.09.30	47.3		51.7
2010.08.31	51.7		54.4
2010.08.01	54.4		52.9
2010.06.30	52.9		56.3
2010.05.31	56.3		59.8
2010.05.02	59.8		50.5
2010.03.31	50.2		53.8
2010.02.28	53.8		51.0
2010.01.31	51.0		48.5
2010.01.03	48.5		51.2
2009.11.30	51.2		51.7
2009.11.01	51.7		52.0
2009.09.30	52.0		51.7
2009.08.31	51.7		44.5
2009.08.02	44.5		38.4
2009.06.30	38.4		37.5
2009.05.31	37.5		30.1
2009.04.30	30.1		33.2
2009.03.31	33.4		31.7
2009.03.01	31.7		36.6
2009.02.01	36.6		
