Date	ActualValue	ForecastValue	PreviousValue
2020.10.02	8.9		16.3
2020.09.25	16.3		16.2
2020.09.18	16.2		-2.0
2020.09.11	-2.0		-0.2
2020.09.04	-0.2		-3.9
2020.08.28	-3.9		-3.3
2020.08.21	-3.3		-3.5
2020.08.14	-3.5		-1.0
2020.08.07	-1.0		-5.0
2020.07.31	-5.0		-0.2
2020.07.24	-0.2		4.3
2020.07.17	4.3		-0.7
2020.07.10	-0.7		-2.9
2020.07.06	-2.9		-4.8
2020.06.26	-4.8		-6.5
2020.06.19	-6.5		-36.6
2020.06.12	-36.6		-40.8
2020.06.05	-40.8		-40.5
2020.05.29	-40.5		-39.6
2020.05.22	-39.6		-35.4
2020.05.15	-35.4		-33.5
2020.05.08	-33.5		-37.7
2020.05.01	-37.7		-34.8
2020.04.24	-34.8		-35.6
2020.04.17	-35.6		-35.4
2020.04.10	-35.4		-31.7
2020.04.03	-31.7		-25.2
2020.03.27	-25.2		-28.7
2020.03.20	-28.7		-54.0
2020.03.13	-54.0		-52.0
2020.03.06	-52.0		-43.9
2020.02.28	-43.9		-37.5
2020.02.21	-37.5		-32.7
2020.02.14	-32.7		-43.3
2020.02.07	-43.3		-27.5
2020.01.31	-27.5		-19.3
2020.01.24	-19.3		-20.5
2020.01.17	-20.5		-27.2
2020.01.10	-27.2		-38.3
2020.01.06	-38.3		-46.2
2019.12.30	-46.2		-46.6
2019.12.20	-46.6		-36.8
2019.12.13	-36.8		-36.4
2019.12.06	-36.4		-45.4
2019.12.02	-45.4		-47.2
2019.11.22	-47.2		-40.8
2019.11.15	-40.8		-26.8
2019.11.08	-26.8		-40.3
2019.11.01	-40.3		-44.0
2019.10.25	-44.0		-47.6
2019.10.18	-47.6		-46.9
2019.10.11	-46.9		-52.3
2019.10.04	-52.3		-47.2
2019.09.27	-47.2		-40.1
2019.09.20	-40.1		-53.0
2019.09.13	-53.0		-59.3
2019.09.06	-59.3		-61.0
2019.08.30	-61.0		-62.8
2019.08.23	-62.8		-62.9
2019.08.16	-62.9		-55.5
2019.08.09	-55.5		-53.4
2019.08.02	-53.4		-48.0
2019.07.26	-48.0		-52.6
2019.07.19	-52.6		-54.0
2019.07.12	-54.0		-58.7
2019.07.08	-58.7		-66.3
2019.06.28	-66.3		-64.9
2019.06.21	-64.9		-63.2
2019.06.14	-63.2		-63.3
2019.06.07	-63.3		-66.4
2019.05.31	-66.4		-66.1
2019.05.24	-66.1		-64.0
2019.05.17	-64.0		-57.0
2019.05.10	-57.0		-59.0
2019.05.03	-59.0		-50.4
2019.04.26	-50.4		-46.9
2019.04.19	-46.9		-54.4
2019.04.12	-54.4		-55.7
2019.04.05	-55.7		-53.7
2019.03.29	-53.7		-51.9
2019.03.22	-51.9		-43.7
2019.03.15	-43.7		-40.7
2019.03.08	-40.7		-35.7
2019.03.05	-35.7		-37.1
2019.03.01	-37.1		-34.5
2019.02.26	-34.5		-35.6
2019.02.22	-35.6		-32.1
2019.02.19	-32.1		-36.1
2019.02.15	-36.1		-38.0
2019.02.12	-38.0		-37.8
2019.02.08	-37.8		-26.3
2019.02.05	-26.3		-31.3
2019.02.01	-31.3		-35.1
2018.12.21	-35.1		-45.5
2018.12.14	-45.5		-50.8
2018.12.10	-50.8		-53.9
2018.11.30	-53.9		-59.2
2018.11.26	-59.2		-59.8
2018.11.16	-59.8		-66.4
2018.11.09	-66.4		-70.4
2018.11.02	-70.4		-70.4
2018.10.26	-70.4		-71.5
2018.10.19	-71.5		-73.3
2018.10.12	-73.3		-71.7
2018.10.05	-71.7		-72.1
2018.09.28	-72.1		-68.0
2018.09.21	-68.0		-44.3
2018.09.14	-44.3		-44.0
2018.09.07	-44.0		-44.6
2018.08.31	-44.6		-50.2
2018.08.24	-50.2		-51.8
2018.08.17	-51.8		-54.5
2018.08.10	-54.5		-51.5
2018.08.03	-51.5		-45.5
2018.07.27	-45.5		-40.5
2018.07.20	-40.5		-41.0
2018.07.13	-41.0		-39.2
2018.07.09	-39.2		-41.0
2018.06.29	-41.0		-43.1
2018.06.22	-43.1		-15.2
2018.06.15	-15.2		-20.2
2018.06.08	-20.2		-23.2
2018.06.01	-23.2		-21.1
2018.05.25	-21.1		-23.1
2018.05.18	-23.1		-16.8
2018.05.11	-16.8		-5.7
2018.05.04	-5.7		-3.4
2018.04.27	-3.4		-10.2
2018.04.20	-10.2		-2.8
2018.04.13	-2.8		-0.1
2018.04.06	-0.1		8.1
2018.03.30	8.1		17.9
2018.03.23	17.9		-0.8
2018.03.16	-0.8		3.1
2018.03.09	3.1		9.6
2018.03.02	9.6		11.9
2018.02.23	11.9		9.1
2018.02.16	9.1		13.7
2018.02.09	13.7		13.2
2018.02.02	13.2		16.7
2018.01.26	16.7	27.0	10.1
2018.01.19	10.1	15.4	5.5
2018.01.12	5.5	-18.3	-20.0
2018.01.05	-20.0	-44.6	-13.6
2017.12.29	-13.6	-49.0	-12.7
2017.12.22	-12.7	43.3	40.7
2017.12.15	40.7	39.1	40.3
2017.12.08	40.3	34.5	38.9
2017.12.01	38.9	35.7	39.8
2017.11.27	39.8	42.2	44.0
2017.11.17	44.0	42.1	45.4
2017.11.13	45.4	48.3	51.6
2017.11.03	51.6	53.6	57.3
2017.10.27	57.3		61.8
2017.10.20	61.8		69.2
2017.10.13	69.2		71.8
2017.10.06	71.8		77.2
2017.09.29	77.2		72.5
2017.09.22	72.5		63.0
2017.09.15	63.0		64.9
2017.09.08	64.9		66.5
2017.09.01	66.5		60.5
2017.08.25	60.5		59.6
2017.08.18	59.6		58.0
2017.08.11	58.0		60.7
2017.08.04	60.7		56.4
2017.07.28	56.4		51.4
2017.07.21	51.4		36.8
2017.07.14	36.8		32.4
2017.07.07	32.4		19.7
2017.06.30	19.7		15.0
2017.06.23	15.0		-1.5
2017.06.16	-1.5		-0.1
2017.06.09	-0.1		3.1
2017.06.02	3.1		2.6
2017.05.26	2.6		6.3
2017.05.19	6.3		25.8
2017.05.12	25.8		42.7
2017.05.05	42.7		42.7
2017.04.28	42.7		43.3
2017.04.21	43.3		45.2
2017.04.14	45.2		49.6
2017.04.07	49.6		53.1
2017.03.31	53.1		45.0
2017.03.24	45.0		43.3
2017.03.17	43.3		51.0
2017.03.10	51.0		51.9
2017.03.03	51.9		33.5
2017.02.24	33.5		24.2
2017.02.17	24.2		16.7
2017.02.10	16.7		12.1
2017.02.03	12.1		10.3
2017.01.27	10.3		4.8
2017.01.20	4.8		-3.8
