Date	ActualValue	ForecastValue	PreviousValue
2020.03.04	0.5	0.4	0.6
2019.12.04	0.4	0.8	0.6
2019.09.04	0.5	1.1	0.5
2019.06.05	0.4	1.1	0.2
2019.03.06	0.2	0.2	0.3
2018.12.05	0.3	0.8	0.9
2018.09.05	0.9	0.1	1.1
2018.06.06	1.0	1.1	0.5
2018.03.07	0.4	0.5	0.7
2017.12.06	0.6	0.3	0.9
2017.09.06	0.8		0.3
2017.06.07	0.3		1.1
2017.03.01	1.1		-0.5
2016.12.07	-0.5		0.6
2016.09.07	0.5		1.0
2016.06.01	1.1		0.7
2016.03.02	0.6		1.1
2015.12.02	0.9		0.3
2015.09.02	0.2		0.9
2015.06.03	0.9		0.5
2015.03.04	0.5		0.3
2014.12.03	0.4		0.5
2014.09.03	0.5		1.1
2014.06.04	1.1		0.8
2014.03.05	0.8		0.6
2013.12.04	0.6		0.6
2013.09.04	0.7		0.6
2013.06.05	0.5		0.6
2013.03.06	0.6		0.5
2012.12.05	0.7		0.6
2012.09.05	0.6		1.3
2012.06.06	1.4		0.4
2012.03.07	0.6		1.0
2011.12.07	0.8		1.2
2011.09.07	1.4		-1.2
2011.06.01	-0.9		0.7
2011.03.02	0.8		0.2
2010.12.01	0.1		1.2
2010.09.01	1.1		0.5
2010.06.02	0.7		1.1
2010.03.03	0.6		0.2
2009.12.16	0.6		0.6
2009.09.02	0.3		0.4
2009.06.03	1.0		-0.6
2009.03.04	-1.0		0.1
2008.12.03	0.1		0.3
2008.09.03	0.3		0.6
2008.06.04	0.6		0.6
2008.03.05	0.7		1.0
2007.12.05	1.0		0.9
2007.09.04	0.7		1.6
2007.06.06	1.6		
