Date	ActualValue	ForecastValue	PreviousValue
2020.07.15	0.25		0.25
2020.06.03	0.25		0.25
2020.04.15	0.25		0.25
2020.03.27	0.25		0.75
2020.03.13	0.75		1.25
2020.03.04	1.25		1.75
2020.01.22	1.75		1.75
2019.12.04	1.75		1.75
2019.10.30	1.75		1.75
2019.09.04	1.75		1.75
2019.07.10	1.75		1.75
2019.05.29	1.75		1.75
2019.04.24	1.75		1.75
2019.03.06	1.75		1.75
2019.01.09	1.75		1.75
2018.12.05	1.75		1.75
2018.10.24	1.75		1.5
2018.09.05	1.5		1.5
2018.07.11	1.5		1.25
2018.05.30	1.25		1.25
2018.04.18	1.25		1.25
2018.03.07	1.25		1.25
2018.01.17	1.25	1.12	1.0
2017.12.06	1.0	1.08	1.0
2017.10.25	1.0	0.87	1.0
2017.09.06	1.0		0.75
2017.07.12	0.75		0.5
2017.05.24	0.5		0.5
2017.04.12	0.5		0.5
2017.03.01	0.5		0.5
2017.01.18	0.5		0.5
2016.12.07	0.5		0.5
2016.10.19	0.5		0.5
2016.09.07	0.5		0.5
2016.07.13	0.5		0.5
2016.05.25	0.5		0.5
2016.04.13	0.5		0.5
2016.03.09	0.5		0.5
2016.01.20	0.5		0.5
2015.12.02	0.5		0.5
2015.10.21	0.5		0.5
2015.09.09	0.5		0.5
2015.07.15	0.5		0.75
2015.05.27	0.75		0.75
2015.04.15	0.75		0.75
2015.03.04	0.75		0.75
2015.01.21	0.75		1.0
2014.12.03	1.0		1.0
2014.10.22	1.0		1.0
2014.09.03	1.0		1.0
2014.07.16	1.0		1.0
2014.06.04	1.0		1.0
2014.04.16	1.0		1.0
2014.03.05	1.0		1.0
2014.01.22	1.0		1.0
2013.12.04	1.0		1.0
2013.10.23	1.0		1.0
2013.09.04	1.0		1.0
2013.07.17	1.0		1.0
2013.05.29	1.0		1.0
2013.04.17	1.0		1.0
2013.03.06	1.0		1.0
2013.01.23	1.0		1.0
2012.12.04	1.0		1.0
2012.10.23	1.0		1.0
2012.09.05	1.0		1.0
2012.07.17	1.0		1.0
2012.06.05	1.0		1.0
2012.04.17	1.0		1.0
2012.03.08	1.0		1.0
2012.01.17	1.0		1.0
2011.12.06	1.0		1.0
2011.10.25	1.0		1.0
2011.09.07	1.0		1.0
2011.07.19	1.0		1.0
2011.05.31	1.0		1.0
2011.04.12	1.0		1.0
2011.03.01	1.0		1.0
2011.01.18	1.0		1.0
2010.12.07	1.0		1.0
2010.10.19	1.0		1.0
2010.09.08	1.0		0.75
2010.07.20	0.75		0.5
2010.06.01	0.5		0.25
2010.04.20	0.25		0.25
2010.03.02	0.25		0.25
2010.01.19	0.25		0.25
2009.12.08	0.25		0.25
2009.10.20	0.25		0.25
2009.09.10	0.25		0.25
2009.07.21	0.25		0.25
2009.06.04	0.25		0.25
2009.04.21	0.25		0.5
2009.03.03	0.5		1.0
2009.01.20	1.0		1.5
2008.12.09	1.5		2.25
2008.10.21	2.25		2.5
2008.10.08	2.5		3.0
2008.09.03	3.0		3.0
2008.07.15	3.0		3.0
2008.06.10	3.0		3.0
2008.04.22	3.0		3.5
2008.03.04	3.5		4.0
2008.01.22	4.0		4.25
2007.12.04	4.25		4.5
2007.10.16	4.5		4.5
2007.09.05	4.5		4.5
2007.07.10	4.5		4.25
2007.05.29	4.25		4.25
