Date	ActualValue	ForecastValue	PreviousValue
2021.12.10	81.4	81.9	82.0
2021.09.10	82.0	80.5	81.4
2021.06.11	81.7	77.9	79.7
2021.03.12	79.2	73.6	77.4
2020.12.11	76.5	67.9	70.7
2020.09.11	70.3	81.1	79.8
2020.06.12	79.8	78.3	81.4
2020.03.11	81.2	81.4	81.5
2019.12.11	81.7	81.4	83.3
2019.09.11	83.3	80.3	81.1
2019.06.07	80.9	79.6	81.8
2019.03.08	81.7	86.1	82.8
2018.12.12	82.6	86.1	84.1
2018.09.12	85.5	86.7	83.7
2018.06.08	86.1	86.5	85.6
2018.03.09	86.0	85.7	85.1
2017.12.08	85.0	86.0	84.3
2017.09.08	85.0		83.3
2017.06.09	83.3		81.8
2017.03.09	82.2		81.9
2016.12.08	81.9		80.0
2016.09.08	80.0		81.4
2016.06.09	81.4		80.9
2016.03.10	81.1		82.0
2015.12.10	82.0		81.4
2015.09.10	81.3		82.7
2015.06.11	82.7		83.6
2015.03.12	83.6		83.4
2014.12.11	83.4		82.7
2014.09.10	82.8		82.5
2014.06.12	82.1		82.0
2014.03.13	82.2		81.7
2013.12.12	81.7		80.6
2013.09.13	81.1		81.1
2013.06.13	81.1		80.7
2013.03.14	80.5		80.9
2012.12.13	81.1		81.0
2012.09.13	80.9		80.7
2012.06.14	80.5		80.5
2012.03.14	80.5		81.3
2011.12.15	80.0		78.4
2011.09.14	79.9		78.9
2011.06.14	78.9		76.8
2011.03.14	76.8		78.1
2010.12.13	76.2		76.0
2010.09.14	76.9		74.4
2010.06.11	74.8		71.3
2010.03.11	71.6		67.5
2009.12.14	68.7		67.4
2009.09.14	67.8		70.2
2009.06.11	69.9		74.9
2009.03.16	75.4		78.1
2008.12.12	78.5		78.9
2008.09.12	79.0		79.6
2008.06.11	79.2		
