Date	ActualValue	ForecastValue	PreviousValue
2020.05.08	-32.1		-29
2020.05.01	-29		-23.9
2020.04.24	-23.9		-23.8
2020.04.17	-23.8		-24.4
2020.04.10	-24.4		-21.9
2020.04.03	-21.9		-29.2
2020.03.27	-29.2		-9.6
2020.03.20	-9.6		-2
2020.03.13	-2		10.6
2020.03.06	10.6		14.6
2020.02.28	14.6		7.8
2020.02.21	7.8		9.7
2020.02.14	9.7		18.6
2020.02.07	18.6		34.6
2020.01.31	34.6		38.3
2020.01.24	38.3		32.9
2020.01.17	32.9		26.4
2020.01.10	26.4		11.9
2020.01.06	11.9		8.5
2019.12.30	8.5		11.2
2019.12.20	11.2		20.7
2019.12.13	20.7		21.5
2019.12.06	21.5		20.3
2019.12.02	20.3		28.9
2019.11.22	28.9		42.4
2019.11.15	42.4		54
2019.11.08	54		43.6
2019.11.01	43.6		33.4
2019.10.25	33.4		13
2019.10.18	13		5.3
2019.10.11	5.3		6.3
2019.10.04	6.3		4.6
2019.09.27	4.6		19.8
2019.09.20	19.8		11.5
2019.09.13	11.5		5.3
2019.09.06	5.3		10.9
2019.08.30	10.9		13
2019.08.23	13		14.2
2019.08.16	14.2		24.2
2019.08.09	24.2		21.7
2019.08.02	21.7		30.8
2019.07.26	30.8		21
2019.07.19	21		9.2
2019.07.12	9.2		6.3
2019.07.08	6.3		-14.8
2019.06.28	-14.8		-38.1
2019.06.21	-38.1		-32.8
2019.06.14	-32.8		-41.8
2019.06.07	-41.8		-39.4
2019.05.31	-39.4		-42.2
2019.05.24	-42.2		-47.6
2019.05.17	-47.6		-46.1
2019.05.10	-46.1		-46.7
2019.05.03	-46.7		-47.5
2019.04.26	-47.5		-49.2
2019.04.19	-49.2		-43.2
2019.04.12	-43.2		-44.3
2019.04.05	-44.3		-39.6
2019.03.29	-39.6		-47.8
2019.03.22	-47.8		-41.1
2019.03.15	-41.1		-40.4
2019.03.08	-40.4		-39.2
2019.03.05	-39.2		-36.4
2019.03.01	-36.4		-37.5
