Date	ActualValue	ForecastValue	PreviousValue
2020.06.08	193.453	200.597	166.477
2020.05.08	166.415	206.819	195.42
2020.04.08	195.174	212.745	210.574
2020.03.09	210.069	215.709	214.031
2020.02.10	213.224	217.686	195.892
2020.01.09	197.329	220.543	204.32
2019.12.09	201.318	212.639	200.674
2019.11.08	201.973	210.58	221.135
2019.10.08	221.202	204.264	226.871
2019.09.10	226.639	201.809	222.467
2019.08.09	222.013	199.329	245.455
2019.07.09	245.657	200.118	196.809
2019.06.10	202.337	192.517	233.41
2019.05.08	235.46	201.294	191.981
2019.04.08	192.527	212.19	166.29
2019.03.08	173.153	209.699	206.809
2019.02.08	207.968	209.699	213.63
2019.01.09	213.419	212.721	224.349
2018.12.10	215.941	218.29	206.753
2018.11.08	205.925	218.29	189.73
2018.10.09	188.683	222.117	198.843
2018.09.11	200.986	217.529	205.751
2018.08.09	206.314	217.769	246.2
2018.07.10	248.138	214.349	193.902
2018.06.08	195.613	220.121	216.775
2018.05.08	214.379	219.13	225.459
2018.04.10	225.213	218.204	231.026
2018.03.08	229.737	217.412	215.26
2018.02.08	216.21	215.782	216.275
2018.01.09	216.98	223.022	251.675
2017.12.08	252.184	210.512	222.695
2017.11.08	222.771	217.059	219.293
2017.10.10	217.118	215.05	225.918
2017.09.11	223.232		221.974
2017.08.09	222.3		212.9
2017.07.11	212.7		195
2017.06.08	194.7		213.5
2017.05.08	214.1		252.3
2017.04.10	253.7		214.3
2017.03.08	210.2		208.9
2017.02.08	207.4		207
2017.01.10	207		187.3
2016.12.08	184		192.3
2016.11.08	192.9		219.4
2016.10.11	220.6		184.2
2016.09.08	182.7		194.7
2016.08.09	198.4		218.3
2016.07.11	218.3		186.7
2016.06.08	188.6		191.4
2016.05.09	191.5		202.4
2016.04.08	204.3		219.1
2016.03.08	212.6		165.1
2016.02.05	166		173
2016.01.11	173		212
2015.12.08	211.9		197.7
2015.11.09	198.1		231.3
2015.10.08	230.7		214.3
2015.09.09	216.9		193.3
2015.08.11	193		202.3
2015.07.09	202.81		196.98
2015.06.08	201.7		183.3
2015.05.08	181.8		189.5
2015.04.10	189.7		156.3
2015.03.09	151.2		187.3
2015.02.09	187		180.6
2015.01.09	179.6		195.6
2014.12.08	193.2		183.6
2014.11.10	183.7		197.3
2014.10.08	197.4		192.4
2014.09.09	196.3		200.1
2014.08.11	199.8		198.2
2014.07.09	198.7		198.3
2014.06.09	197		194.8
2014.05.08	196.7		156.8
2014.04.08	156.6		192.1
2014.03.10	190.6		180.2
2014.02.10	180.5		189.7
2014.01.09	187.1		192.2
2013.12.09	197.8		198.3
2013.11.08	198.2		193.6
2013.10.08	195.9		180.3
2013.09.10	184		192.9
2013.08.09	193		199.6
2013.07.09	193.8		200.2
2013.06.10	204.6		174.9
2013.05.08	175.9		184
2013.04.09	181.1		183.2
2013.03.08	183.2		160.6
2013.02.08	159		198
2013.01.09	197.1		196.125
2012.12.10	201.4		204.1
2012.11.08	203.487		220.215
2012.10.09	224		224.9
2012.09.11	225.328		208.5
2012.08.09	208		222.7
2012.07.10	222.1		211.4
2012.06.08	217.4		244.9
2012.05.08	243.8		215.6
2012.04.11	214.8		205.3
2012.03.08	205.3		197.9
2012.02.08	198.1		199.9
2012.01.10	199.9		181.1
2011.12.08	185.6		207.6
2011.11.08	208.8		205.9
2011.10.11	208.8		184.7
2011.09.09	191.9		205
2011.08.09	205		201
2011.07.11	196.6		183.6
2011.06.08	194.1		179
2011.05.09	178.7		188.8
2011.04.08	184.7		181.9
2011.03.08	183.7		170.69
2011.02.08	170.6		171.5
2011.01.11	169		187.2
2010.12.08	198.2		167.9
2010.11.08	167.9		186.4
2010.10.08	185		183.3
2010.09.09	189.3		189.2
2010.08.10	189.2		192.8
2010.07.09	192.8		189.1
2010.06.08	189.1		201.7
2010.05.10	201.8		197.3
2010.04.12	200.9		196.7
2010.03.08	200.4		186.3
2010.02.08	185		174.5
2010.01.11	176.1		158.5
2009.12.08	165		157.3
2009.11.09	157.4		150.1
2009.10.08	149		150.4
2009.09.09	150.4		132.1
2009.08.11	132.1		140.7
2009.07.09	138		128.4
2009.06.08	128.4		117.4
2009.05.08	118		154.7
2009.04.08	146.5		134.6
2009.03.09	134.6		153.5
2009.02.09	153.5		177
2009.01.09	172		172
2008.12.08	178		211.8
2008.11.10	211.8		217.6
2008.10.08	218.6		211
2008.09.09	211		186.5
2008.08.11	186.5		217.8
2008.07.09	217.8		221.3
2008.06.09	227.7		213.9
2008.05.08	213.9		254.7
2008.04.08	254.7		255.6
2008.03.10	243		222.7
2008.02.08	222.7		187.5
2008.01.09	184.7		227.9
2007.12.10	233.3		219
2007.11.08	227.6		278.2
2007.10.09	281		232.7
2007.09.11	232.7		216
2007.08.10	216		226
2007.07.10	226		229.7
2007.06.08	235		211.9
2007.05.08	211.9		210.9
2007.04.11	210.9		
