Date	ActualValue	ForecastValue	PreviousValue
2020.02.28	0.1	0.2	0.3
2019.11.29	0.3	1.3	0.9
2019.08.30	0.9	-0.2	0.1
2019.05.31	0.1	0.5	0.1
2019.03.01	0.1	0.7	0.5
2018.11.30	0.5	0.6	0.7
2018.08.30	0.7	0.4	0.4
2018.05.31	0.3	0.5	0.4
2018.03.02	0.4	2.5	0.4
2017.12.01	0.4		1.0
2017.08.31	1.1		0.9
2017.05.31	0.9		0.7
2017.03.02	0.6		0.9
2016.11.30	0.9		-0.3
2016.08.31	-0.4		0.6
2016.05.31	0.6		0.1
2016.03.01	0.2		0.6
2015.12.01	0.6		-0.1
2015.09.01	-0.1		-0.2
2015.05.29	-0.1		0.6
2015.03.03	0.6		0.8
2014.11.28	0.7		0.9
2014.08.29	0.8		0.2
2014.05.30	0.3		0.7
2014.02.28	0.7		0.7
2013.11.29	0.7		0.4
2013.08.30	0.4		0.5
2013.05.31	0.6		
