Date	ActualValue	ForecastValue	PreviousValue
2020.06.30	-17.1	-21.0	-5.9
2020.05.29	-5.8	2.3	2.1
2020.04.30	2.1	2.4	1.9
2020.03.31	1.8	1.2	1.9
2020.02.28	1.9	1.6	1.6
2020.01.31	1.5	1.3	1.2
2019.12.23	1.2	1.2	1.5
2019.11.29	1.6	1.3	1.5
2019.10.31	1.3	1.3	1.4
2019.10.01	1.3	1.4	1.5
2019.08.30	1.5	1.6	1.4
2019.07.31	1.4		1.5
2019.06.28	1.5		1.4
2019.05.31	1.3		1.1
2019.04.30	1.1		1.6
2019.03.29	1.6		1.1
2019.03.01	1.1		1.7
2019.01.31	1.7		2.2
2018.12.21	2.2		2.0
2018.11.30	2.1		2.4
2018.10.31	2.5		2.4
2018.09.28	2.4		2.4
2018.08.30	2.4		2.7
2018.07.31	2.6		2.5
2018.06.29	2.5		2.9
2018.05.31	2.9		3.0
2018.05.01	3.0		2.7
2018.03.29	2.7		3.4
2018.03.02	3.3		3.5
2018.01.31	3.5		3.4
2017.12.22	3.4		3.3
2017.12.01	3.3		3.5
2017.10.31	3.5		3.9
2017.09.29	3.8		4.4
2017.08.31	4.3		4.7
2017.07.28	4.6		3.3
2017.06.30	3.3		3.2
2017.05.31	3.2		2.4
2017.04.28	2.5		2.3
2017.03.31	2.3		2.1
2017.03.02	2.0		1.9
2017.01.31	1.6		
