Date	ActualValue	ForecastValue	PreviousValue
2020.10.30	-2.2	-2.3	-2.2
2020.09.29	-2.3	-3.6	-2.4
2020.08.31	-2.3	-2.5	-3.3
2020.07.31	-3.1	-2.8	-4.9
2020.06.29	-4.9	-7.9	-6.0
2020.05.29	-6.0	-3.4	-3.0
2020.04.30	-2.4	-0.4	-0.3
2020.03.31	-0.3	1.0	0.5
2020.02.28	0.5	1.4	0.5
2020.01.31	0.3	0.5	-0.6
2020.01.06	-0.4	-0.5	-1.4
2019.11.29	-1.3	-0.6	-1.3
2019.10.31	-1.3	0.7	-1.0
2019.09.30	-1.0	-0.2	-1.7
2019.08.30	-1.7	-3.5	-1.7
2019.07.31	-1.7	-0.7	0.4
2019.06.28	0.6	1.8	1.7
2019.05.31	1.8	1.9	1.5
2019.04.30	1.5	1.5	1.2
2019.03.29	1.2	1.3	1.0
2019.02.28	1.0	1.6	2.0
2019.01.31	2.2	1.6	2.8
2019.01.04	2.8	5.4	5.2
2018.11.30	5.3	5.1	6.3
2018.10.31	6.2	4.1	5.7
2018.09.28	5.8	8.0	6.7
2018.08.31	6.6	5.9	5.3
2018.07.31	5.1	3.0	3.4
2018.06.29	3.1	2.3	2.3
2018.05.30	2.4	1.9	2.4
2018.04.30	2.3	2.1	2.3
2018.03.29	1.9	1.6	2.1
2018.02.28	2.0	2.8	2.3
2018.01.31	2.2	3.6	2.7
2018.01.04	2.7		1.7
2017.11.28	1.8		1.5
2017.10.31	1.5		2.3
2017.09.29	1.9		1.3
2017.08.29	1.3		3.1
2017.07.31	3.3		5.2
2017.06.30	4.9		6.3
2017.05.30	6.3		5.1
2017.04.28	5.1		3.6
2017.03.30	3.5		2.5
2017.02.28	2.3		2.3
2017.01.31	2.2		1.5
2017.01.05	1.4		0.8
2016.11.30	0.8		-0.4
2016.10.31	-0.5		-1.3
2016.09.30	-1.3		-1.3
2016.08.30	-1.3		-0.8
2016.07.29	-0.8		-0.9
2016.06.30	-1.1		-1.6
2016.05.30	-1.6		-2.0
2016.04.29	-2.1		-1.3
2016.03.29	-1.4		1.7
2016.02.29	1.7		0.9
2016.01.29	1.1		-0.3
2016.01.05	-0.2		-0.4
2015.11.27	-0.4		-0.4
2015.10.29	-0.4		-0.4
2015.09.29	-0.4		0.1
2015.08.28	0.1		-0.9
2015.07.28	-0.9		-1.3
2015.06.29	-1.3		-2.4
2015.05.28	-2.4		-1.8
2015.04.29	-1.8		-1.5
2015.03.30	-1.6		-2.1
2015.03.03	-2.2		-0.4
2015.02.03	-0.5		1.9
2015.01.06	1.9		2.5
2014.11.28	2.5		2.6
2014.10.29	2.5		2.6
2014.09.30	2.5		2.8
2014.08.29	2.9		3.1
2014.07.30	3.0		3.4
2014.06.27	3.4		3.9
2014.05.30	3.9		3.0
2014.04.30	2.7		2.1
2014.04.01	1.8		2.3
2014.03.03	2.3		1.3
2014.02.03	1.4		0.3
2014.01.06	0.3		0.8
2013.11.28	0.8		1.0
2013.10.29	1.0		1.7
2013.09.30	1.7		1.4
2013.08.29	1.4		0.5
2013.07.30	0.6		0.1
2013.06.28	0.0		-0.1
2013.05.30	0.0		0.9
2013.04.30	0.9		1.0
2013.03.28	1.0		-0.1
2013.02.28	-0.2		0.3
2013.01.31	0.2		-0.6
2013.01.04	-0.5		-0.1
2012.11.29	-0.2		-0.3
2012.10.30	-0.3		-0.3
2012.10.01	-0.3		0.3
2012.08.29	0.3		0.4
2012.07.31	0.4		0.7
2012.06.29	0.7		0.5
2012.05.30	0.4		1.0
2012.04.30	0.9		
