Date	ActualValue	ForecastValue	PreviousValue
2021.03.05	60.0	32.4	48.4
2021.02.05	48.4	60.0	46.7
2021.01.07	46.7	67.4	52.7
2020.12.07	52.7	38.0	54.5
2020.11.06	54.5	38.0	54.3
2020.10.07	54.3	52.6	67.8
2020.09.04	67.8	74.1	68.5
2020.08.07	68.5	73.1	58.2
2020.07.07	58.2	25.1	39.1
2020.06.05	39.1	10.3	22.8
2020.05.07	22.8	48.3	26.0
2020.04.07	26.0	54.1	54.1
2020.03.06	54.1	53.6	57.3
2020.02.07	57.3	53.3	51.9
2020.01.07	51.9	53.8	60.0
2019.12.05	60.0	53.8	48.2
2019.11.06	48.2	54.4	48.7
2019.10.04	48.7	54.3	60.6
2019.09.06	60.6	54.3	54.2
2019.08.07	54.2	54.8	52.4
2019.07.05	52.4	55.6	55.9
2019.06.06	55.9	56.7	55.9
2019.05.07	55.9	56.7	54.3
2019.04.04	54.3	57.3	50.6
2019.03.06	50.6	57.9	54.7
2019.02.06	54.7	59.0	59.7
2019.01.07	59.7	58.2	57.2
2018.12.06	57.2	58.2	61.8
2018.11.07	61.8	59.2	50.4
2018.10.04	50.4	62.6	61.9
2018.09.07	61.9	63.6	61.8
2018.08.07	61.8	64.8	63.1
2018.07.06	63.1	64.8	62.5
2018.06.06	62.5	62.8	71.5
2018.05.04	71.5	58.5	59.8
2018.04.06	59.8	58.9	59.6
2018.03.06	59.6	58.7	55.2
2018.02.06	55.2	59.9	60.4
2018.01.05	60.4	59.2	63.0
2017.12.07	63.0	59.9	63.8
2017.11.06	63.8	59.0	59.6
2017.10.06	59.6	58.1	56.3
2017.09.07	56.3		60.0
2017.08.04	60.0		61.6
2017.07.07	61.6		53.8
2017.06.06	53.8		62.4
2017.05.05	62.4		61.1
2017.04.07	61.1		55.0
2017.03.07	55.0		57.2
2017.02.07	57.2		60.8
2017.01.06	60.8		56.8
2016.12.06	56.8		59.7
2016.11.04	59.7		58.4
2016.10.07	58.4		52.3
2016.09.07	52.3		57.0
2016.08.05	57.0		51.7
2016.07.07	51.7		49.4
2016.06.07	49.4		53.1
2016.05.06	53.1		50.1
2016.04.06	50.1		53.4
2016.03.04	53.4		66.0
2016.02.05	66.0		49.9
2016.01.07	49.9		63.6
2015.12.04	63.6		53.1
2015.11.05	53.1		53.7
2015.10.06	53.7		58.0
2015.09.04	58.0		52.9
2015.08.07	52.9		55.9
2015.07.06	55.9		62.3
2015.06.04	62.3		58.2
2015.05.06	58.2		47.9
2015.04.06	47.9		49.7
2015.03.05	49.7		45.4
2015.02.04	45.4		55.4
2015.01.07	55.4		56.9
2014.12.04	56.9		51.2
2014.11.06	51.2		58.6
2014.10.06	58.6		50.9
2014.09.05	50.9		54.1
2014.08.07	54.1		46.9
2014.07.07	46.9		48.2
2014.06.05	48.2		54.1
2014.05.06	54.1		55.2
2014.04.04	55.2		57.2
2014.03.06	57.2		56.8
2014.02.06	56.8		46.3
2014.01.07	46.3		53.7
2013.12.05	53.7		62.8
2013.11.06	62.8		51.9
2013.10.04	51.9		51.0
2013.09.06	51.0		48.4
2013.08.07	48.4		55.3
2013.07.05	55.3		63.1
2013.06.06	63.1		52.2
2013.05.06	52.2		61.6
2013.04.05	61.6		51.1
2013.03.06	51.1		58.9
2013.02.06	58.9		52.8
2013.01.07	52.8		47.5
2012.12.06	47.5		58.3
2012.11.06	58.3		60.4
2012.10.04	60.4		62.5
2012.09.07	62.5		62.8
2012.08.07	62.8		49.0
2012.07.06	49.0		60.5
2012.06.07	60.5		52.7
2012.05.04	52.7		63.5
2012.04.05	63.5		66.5
2012.03.06	66.5		64.1
2012.02.06	64.1		63.5
2012.01.05	63.5		59.9
2011.12.06	59.9		54.4
2011.11.04	54.4		55.7
2011.10.06	55.7		56.4
2011.09.07	56.4		46.8
2011.08.05	46.8		59.9
2011.07.07	59.9		
