Date	ActualValue	ForecastValue	PreviousValue
2022.02.01	56.2	56.9	56.5
2022.01.04	56.5	57.5	57.2
2021.12.01	57.2	57.4	57.7
2021.11.01	57.7	57.2	57.0
2021.10.01	57.0	56.8	57.2
2021.09.01	57.2	56.4	56.2
2021.08.03	56.2	56.8	56.5
2021.07.02	56.5	57.2	57.0
2021.06.01	57.0	57.9	57.2
2021.05.03	57.2	56.8	58.5
2021.04.01	58.5	54.6	54.8
2021.03.01	54.8	56.2	54.4
2021.02.01	54.4	57.0	57.9
2021.01.04	57.9	55.7	55.8
2020.12.01	55.8	55.8	55.5
2020.11.02	55.5	55.6	56.0
2020.10.01	56.0	54.1	55.1
2020.09.01	55.1	50.4	52.9
2020.08.04	52.9	44.1	47.8
2020.07.02	47.8	115.2	40.6
2020.06.01	40.6	9.9	33.0
2020.05.01	33.0	41.5	46.1
2020.04.01	46.1	53.3	51.8
2020.03.02	51.8	50.1	50.6
2020.02.03	50.6	49.6	50.4
2020.01.02	50.4	51.9	51.4
2019.12.02	51.4	52.6	51.2
2019.11.01	51.2	51.3	51.0
2019.10.01	51.0	49.4	49.1
2019.09.03	49.1	51.4	50.2
2019.08.01	50.2	49.5	49.2
2019.07.02	49.2	49.0	49.1
2019.06.03	49.1	49.8	49.7
2019.05.01	49.7	51.5	50.5
2019.04.01	50.5	52.8	52.6
2019.03.01	52.6	53.3	53.0
2019.02.01	53.0	54.3	53.6
2019.01.02	53.6	54.5	54.9
2018.12.03	54.9	53.0	53.9
2018.11.01	53.9	54.1	54.8
2018.10.01	54.8	56.6	56.8
2018.09.04	56.8	57.1	56.9
2018.08.01	56.9	57.5	57.1
2018.07.03	57.1	55.4	56.2
2018.06.01	56.2	55.4	55.5
2018.05.01	55.5	55.6	55.7
2018.04.02	55.7	55.7	55.6
2018.03.01	55.6	55.8	55.9
2018.02.01	55.9	54.8	54.7
2018.01.02	54.7	54.5	54.4
2017.12.01	54.4	55.3	54.3
2017.11.01	54.3	56.0	55.0
2017.10.02	55.0	55.5	54.6
2017.09.01	54.6		55.5
2017.08.01	55.5		54.7
2017.07.04	54.7		55.1
2017.06.01	55.1		55.9
2017.05.01	55.9		55.5
2017.04.03	55.5		54.7
2017.03.01	54.7		53.5
2017.02.01	53.5		51.8
2017.01.03	51.8		51.5
2016.12.01	51.5		51.1
2016.11.01	51.1		50.3
2016.10.03	50.3		51.1
2016.09.01	51.1		51.9
2016.08.02	51.9		51.8
2016.07.04	51.8		52.1
2016.06.01	52.1		52.2
2016.05.02	52.2		51.5
2016.04.01	51.5		49.4
2016.03.01	49.4		49.3
2016.02.01	49.3		47.5
2016.01.04	47.5		48.6
2015.12.01	48.6		48.0
2015.11.02	48.0		48.6
2015.10.01	48.6		49.4
2015.09.01	49.4		50.8
2015.08.04	50.8		51.3
2015.07.02	51.3		49.8
2015.06.01	49.8		49.0
2015.05.01	49.0		48.9
2015.04.01	48.9		48.7
2015.03.02	48.7		51.0
2015.02.02	51.0		53.9
2015.01.02	53.9		55.3
2014.12.02	55.3		55.3
2014.11.03	55.3		53.5
2014.10.01	53.5		54.8
2014.09.02	54.8		54.3
2014.08.01	54.3		53.5
2014.07.02	53.5		52.2
2014.06.02	52.2		52.9
2014.05.01	52.9		53.3
2014.04.01	53.3		52.9
2014.03.03	52.9		51.7
2014.02.03	51.7		53.5
2014.01.02	53.5		55.3
2013.12.02	55.3		55.6
2013.11.01	55.6		54.2
2013.10.01	54.2		52.1
2013.09.03	52.1		52.0
2013.08.01	52.0		
