Date	ActualValue	ForecastValue	PreviousValue
2020.07.31	-13.5	-24.5	-24.3
2020.06.29	-24.3	-46.3	-36.6
2020.05.29	-36.7	-43.5	-22.7
2020.04.30	-22.7	0.1	-5.9
2020.03.31	-5.9	-0.2	1.7
2020.02.28	1.7	2.8	7.8
2020.01.31	7.9	5.5	9.1
2020.01.06	9.3	7.2	-5.1
2019.11.29	-5.0	-5.8	-5.3
2019.10.31	-5.3	-6.4	-6.1
2019.09.30	-6.0	-0.1	-8.9
2019.08.30	-9.0	-19.1	-9.4
2019.07.31	-9.2	0.2	-3.0
2019.06.28	-2.8	0.9	3.2
2019.05.31	3.2	6.5	-1.5
2019.04.30	-1.5	11.0	-2.1
2019.03.29	-0.6	1.1	-5.1
2019.02.28	-5.5	-12.7	-5.8
2019.01.31	-5.8	-1.1	-10.0
2019.01.04	-9.9	11.2	7.7
2018.11.30	7.7	15.3	14.5
2018.10.31	14.6	13.5	15.4
2018.09.28	15.5	21.3	22.2
2018.08.31	22.0	17.1	20.2
2018.07.31	20.1	10.6	15.1
2018.06.29	15.1	5.4	9.0
2018.05.30	8.9	6.5	10.0
2018.04.30	10.0	5.2	5.9
2018.03.29	5.9	11.9	7.8
2018.02.28	7.7	10.5	6.2
2018.01.31	6.2	17.5	13.9
2018.01.04	14.2		6.6
2017.11.28	6.6		6.2
2017.10.31	6.3		6.3
2017.09.29	6.1		4.2
2017.08.29	4.5		2.3
2017.07.31	2.2		8.4
2017.06.30	8.0		17.7
2017.05.30	17.7		16.7
2017.04.28	16.6		23.9
2017.03.30	23.7		23.0
2017.02.28	23.0		17.2
2017.01.31	17.2		4.4
2017.01.05	4.1		1.5
2016.11.30	1.5		-1.9
2016.10.31	-1.9		0.6
2016.09.30	0.6		-5.6
2016.08.30	-5.7		-8.9
2016.07.29	-9.0		-10.4
2016.06.30	-10.6		-12.5
2016.05.30	-12.5		-9.7
2016.04.29	-9.7		-14.7
2016.03.29	-15.1		-7.5
2016.02.29	-7.5		-14.5
2016.01.29	-14.1		-16.4
2016.01.05	-16.3		-17.9
2015.11.27	-17.5		-21.3
2015.10.29	-20.9		-24.8
2015.09.29	-24.7		-21.2
2015.08.28	-21.2		-17.3
2015.07.28	-17.5		-16.6
2015.06.29	-17.0		-20.7
2015.05.28	-20.9		-23.7
2015.04.29	-23.3		-21.9
2015.03.30	-21.8		-21.9
2015.03.03	-21.8		-13.0
2015.02.03	-13.0		-4.0
2015.01.06	-4.0		-2.3
2014.11.28	-2.3		-1.3
2014.10.29	-0.9		-0.6
2014.09.30	-0.6		2.5
2014.08.29	2.2		9.1
2014.07.30	9.2		7.7
2014.06.27	7.6		9.1
2014.05.30	9.1		6.5
2014.04.30	6.1		3.9
2014.04.01	3.9		0.1
2014.03.03	0.1		2.1
2014.02.03	2.1		-2.5
2014.01.06	-2.5		0.4
2013.11.28	0.4		2.3
2013.10.29	2.1		5.1
2013.09.30	5.0		7.7
2013.08.29	7.6		4.0
2013.07.30	4.0		-0.6
2013.06.28	-0.8		-2.0
2013.05.30	-1.9		
