Date	ActualValue	ForecastValue	PreviousValue
2020.04.30	50.8	-15.7	52
2020.03.31	52	4.4	35.7
2020.02.29	35.7	50.2	50
2020.01.31	50	50.5	50.2
2019.12.31	50.2	49.8	50.2
2019.11.30	50.2	49.7	49.3
2019.10.31	49.3	49.7	49.8
2019.09.30	49.8	49.6	49.5
2019.08.31	49.5	49.2	49.7
2019.07.31	49.7	49	49.4
2019.06.30	49.4	49.4	49.4
2019.05.31	49.4	50.2	50.1
2019.04.30	50.1	50.8	50.5
2019.03.31	50.5	49.6	49.2
2019.02.28	49.2	49.1	49.5
2019.01.31	49.5	49.1	49.4
2018.12.31	49.4	49.8	50
2018.11.30	50	50.5	50.2
2018.10.31	50.2	51	50.8
2018.09.30	50.8	50.8	51.3
2018.08.31	51.3	51.2	51.2
2018.07.31	51.2	52	51.5
2018.06.30	51.5	51.8	51.9
2018.05.31	51.9	51.5	51.4
2018.04.30	51.4	51.5	51.5
2018.03.31	51.5		50.3
2018.02.28	50.3		51.3
2018.01.31	51.3		51.6
2017.12.31	51.6		51.8
2017.11.30	51.8		51.6
2017.10.31	51.6		52.4
2017.09.30	52.4		51.7
2017.08.31	51.7		51.4
2017.07.31	51.4		51.7
2017.06.30	51.7		51.2
2017.05.31	51.2		51.2
2017.04.30	51.2		51.8
2017.03.31	51.8		51.6
2017.03.01	51.6		51.3
2017.02.01	51.3		51.4
2017.01.01	51.4		51.7
2016.12.01	51.7		51.2
2016.11.01	51.2		50.4
2016.10.01	50.4		50.4
2016.09.01	50.4		49.9
2016.08.01	49.9		50
2016.07.01	50		50.1
2016.06.01	50.1		50.1
2016.05.01	50.1		50.2
2016.04.01	50.2		49
2016.03.01	49		49.4
2016.02.01	49.4		49.7
2016.01.01	49.7		49.6
2015.12.01	49.6		49.8
2015.11.01	49.8		49.8
2015.10.01	49.8		49.7
2015.09.01	49.7		50
2015.08.01	50		50.2
2015.07.01	50.2		50.2
2015.06.01	50.2		50.1
2015.05.01	50.1		50.1
2015.04.01	50.1		49.9
2015.03.01	49.9		49.8
2015.02.01	49.8		50.3
2015.01.01	50.3		50.3
2014.12.01	50.3		50.8
2014.11.01	50.8		51.1
2014.10.01	51.1		51.1
2014.09.01	51.1		51.7
2014.08.01	51.7		51
2014.07.01	51		50.8
2014.06.01	50.8		50.4
2014.05.01	50.4		50.3
2014.04.01	50.3		50.2
2014.03.01	50.2		50.5
2014.02.01	50.5		51
2014.01.01	51		51.4
2013.12.01	51.4		51.4
2013.11.01	51.4		51.1
2013.10.01	51.1		51
2013.09.01	51		50.3
2013.08.01	50.3		50.1
2013.07.01	50.1		50.8
2013.06.01	50.8		50.6
2013.05.01	50.6		50.9
2013.04.01	50.9		50.1
2013.03.01	50.1		50.4
2013.02.01	50.4		50.6
2013.01.01	50.6		50.6
2012.12.01	50.6		50.2
2012.11.01	50.2		49.8
2012.10.01	49.8		49.2
2012.09.01	49.2		50.1
2012.08.01	50.1		50.2
2012.07.01	50.2		50.4
2012.06.01	50.4		53.3
2012.05.01	53.3		53.1
2012.04.01	53.1		51
2012.03.01	51		50.5
2012.02.01	50.5		50.3
2012.01.01	50.3		49
2011.12.01	49		50.4
2011.11.01	50.4		51.2
2011.10.01	51.2		50.9
2011.09.01	50.9		50.7
2011.08.01	50.7		50.9
2011.07.01	50.9		52
2011.06.01	52		52.9
2011.05.01	52.9		53.4
2011.04.01	53.4		52.2
2011.03.01	52.2		52.9
2011.02.01	52.9		53.9
2011.01.01	53.9		55.2
2010.12.01	55.2		54.7
2010.11.01	54.7		53.8
2010.10.01	53.8		51.7
2010.09.01	51.7		51.2
2010.08.01	51.2		52.1
2010.07.01	52.1		53.9
2010.06.01	53.9		55.7
2010.05.01	55.7		55.1
2010.04.01	55.1		52
2010.03.01	52		
