Date	ActualValue	ForecastValue	PreviousValue
2020.06.30	54.4	-209.3	53.6
2020.05.31	53.6	53	53.2
2020.04.30	53.2	-53.2	52.3
2020.03.31	52.3	37.8	29.6
2020.02.29	29.6	53.8	54.1
2020.01.31	54.1	53.5	53.5
2019.12.31	53.5	53.6	54.4
2019.11.30	54.4	53.6	52.8
2019.10.31	52.8	53.9	53.7
2019.09.30	53.7	54.2	53.8
2019.08.31	53.8	54.3	53.7
2019.07.31	53.7	54.5	54.2
2019.06.30	54.2	54.5	54.3
2019.05.31	54.3	54.5	54.3
2019.04.30	54.3	54.5	54.8
2019.03.31	54.8	54.1	54.3
2019.02.28	54.3	53.8	54.7
2019.01.31	54.7	54.1	53.8
2018.12.31	53.8	54.5	53.4
2018.11.30	53.4	54.3	53.9
2018.10.31	53.9	54.5	54.9
2018.09.30	54.9	54.8	54.2
2018.08.31	54.2	54.8	54
2018.07.31	54	55	55
2018.06.30	55	54.8	54.9
2018.05.31	54.9	54.8	54.8
2018.04.30	54.8	55.1	54.6
2018.03.31	54.6		54.4
2018.02.28	54.4		55.3
2018.01.31	55.3		55
2017.12.31	55		54.8
2017.11.30	54.8		54.3
2017.10.31	54.3		55.4
2017.09.30	55.4		53.4
2017.08.31	53.4		54.5
2017.07.31	54.5		54.9
2017.06.30	54.9		54.5
2017.05.31	54.5		54
2017.04.30	54		55.1
2017.03.31	55.1		54.2
2017.03.01	54.2		54.6
2017.02.01	54.6		54.5
2017.01.01	54.5		54.7
2016.12.01	54.7		54
2016.11.01	54		53.7
2016.10.01	53.7		53.5
2016.09.01	53.5		53.9
2016.08.01	53.9		53.7
2016.07.01	53.7		53.1
2016.06.01	53.1		53.5
2016.05.01	53.5		53.8
2016.04.01	53.8		52.7
2016.03.01	52.7		53.5
2016.02.01	53.5		54.4
2016.01.01	54.4		53.6
2015.12.01	53.6		53.1
2015.11.01	53.1		53.4
2015.10.01	53.4		53.4
2015.09.01	53.4		53.9
2015.08.01	53.9		53.8
2015.07.01	53.8		53.2
2015.06.01	53.2		53.4
2015.05.01	53.4		53.7
2015.04.01	53.7		53.9
2015.03.01	53.9		53.7
2015.02.01	53.7		54.1
2015.01.01	54.1		53.9
2014.12.03	53.9		53.8
2014.11.03	53.8		54
2014.10.03	54		54.4
2014.09.03	54.4		54.2
2014.08.03	54.2		55
2014.07.03	55		55.5
2014.06.03	55.5		54.8
2014.05.03	54.8		54.5
2014.04.03	54.5		55
2014.03.03	55		53.4
2014.02.03	53.4		54.6
2014.01.03	54.6		56
2013.12.03	56		56.3
2013.11.03	56.3		55.4
2013.10.03	55.4		53.9
2013.09.03	53.9		54.1
2013.08.03	54.1		53.9
2013.07.03	53.9		54.3
2013.06.03	54.3		54.5
2013.05.03	54.5		55.6
2013.04.03	55.6		54.5
2013.03.03	54.5		56.2
2013.02.03	56.2		56.1
2013.01.03	56.1		55.6
2012.12.03	55.6		55.5
2012.11.03	55.5		53.7
2012.10.03	53.7		56.3
2012.09.02	56.3		55.6
2012.08.02	55.6		56.7
2012.07.03	56.7		55.2
2012.06.03	55.2		56.1
2012.05.03	56.1		58
2012.04.03	58		48.4
2012.03.03	48.4		52.9
2012.02.03	52.9		56
2012.01.03	56		
