Date	ActualValue	ForecastValue	PreviousValue
2020.07.30	-1.80	-1.68	-2.25
2020.06.29	-2.26	-3.91	-2.41
2020.05.28	-2.43	-3.12	-1.99
2020.04.29	-1.81	-0.15	-0.28
2020.03.30	-0.28	-0.05	-0.06
2020.02.27	-0.04	-0.24	-0.19
2020.01.30	-0.23	-0.26	-0.32
2020.01.08	-0.25	-0.33	-0.21
2019.11.28	-0.23	-0.25	-0.20
2019.10.30	-0.19	-0.21	-0.23
2019.09.27	-0.22	-0.10	0.12
2019.08.29	0.11	-0.22	-0.11
2019.07.30	-0.12	-0.03	0.17
2019.06.27	0.17	0.36	0.30
2019.05.28	0.30	0.61	0.42
2019.04.29	0.42	0.61	0.54
2019.03.28	0.53	0.50	0.69
2019.02.27	0.69	0.57	0.69
2019.01.30	0.69	0.77	0.86
2019.01.08	0.82	0.99	1.04
2018.11.29	1.09	1.20	1.01
2018.10.30	1.01	1.39	1.21
2018.09.27	1.21	1.39	1.21
2018.08.30	1.22	1.25	1.30
2018.07.30	1.29	1.32	1.38
2018.06.28	1.39	1.20	1.44
2018.05.30	1.45	1.40	1.39
2018.04.27	1.35	1.40	1.44
2018.03.27	1.34	1.77	1.48
2018.02.27	1.48	1.73	1.56
2018.01.30	1.54	1.78	1.60
2018.01.08	1.66	1.54	1.49
2017.11.29	1.49	1.37	1.44
2017.10.30	1.44	1.23	1.34
2017.09.28	1.34	1.17	1.08
2017.08.30	1.09	1.13	1.04
2017.07.28	1.05	1.07	1.16
2017.06.29	1.15	1.02	0.90
2017.05.30	0.90	1.20	1.10
2017.04.27	1.09		0.83
2017.03.30	0.82		0.82
2017.02.27	0.82		0.76
2017.01.30	0.77		0.77
2017.01.06	0.79		0.41
2016.11.29	0.42		0.56
2016.10.28	0.55		0.44
2016.09.29	0.45		0.03
2016.08.30	0.02		0.38
2016.07.28	0.39		0.22
2016.06.29	0.22		0.26
2016.05.30	0.26		0.15
2016.04.28	0.13		0.12
2016.03.30	0.11		0.09
2016.02.26	0.07		0.29
2016.01.28	0.29		0.41
2016.01.07	0.41		0.40
2015.11.27	0.36		0.44
2015.10.29	0.44		0.36
2015.09.29	0.34		0.20
2015.08.28	0.21		0.41
2015.07.30	0.39		0.14
2015.06.29	0.14		0.28
2015.05.28	0.28		0.33
2015.04.29	0.32		0.23
2015.03.30	0.23		0.07
2015.02.26	0.07		0.16
2015.01.29	0.12		0.20
2015.01.08	0.15		0.18
2014.11.27	0.18		0.05
2014.10.30	0.06		0.07
2014.09.29	0.02		0.16
2014.08.28	0.16		0.17
2014.07.30	0.17		0.22
2014.06.27	0.21		0.37
2014.05.28	0.36		0.27
2014.04.29	0.28		0.39
2014.03.28	0.40		0.37
2014.02.27	0.36		0.19
2014.01.30	0.25		0.27
2014.01.09	0.20		0.18
2013.11.28	0.31		-0.01
2013.10.30	-0.08		-0.20
2013.09.27	-0.19		-0.20
2013.08.30	-0.20		-0.53
2013.07.30	-0.53		-0.68
2013.06.27	-0.67		-0.76
2013.05.30	-0.75		-0.93
2013.04.29	-1.04		-0.86
2013.03.27	-0.75		-0.73
2013.02.27	-0.72		-1.09
2013.01.30	-1.09		-1.12
2013.01.08	-1.11		-1.19
2012.11.29	-1.17		-1.62
2012.10.30	-1.61		-1.34
2012.09.27	-1.34		-1.21
2012.08.30	-1.18		-1.27
2012.07.30	-1.27		-0.94
2012.06.28	-0.95		-0.79
2012.05.30	-0.79		-0.28
2012.04.26	-0.28		-0.30
2012.03.29	-0.30		
