Date	ActualValue	ForecastValue	PreviousValue
2021.03.19	90.0		102.0
2021.03.12	102.0		126.0
2021.03.05	126.0		138.4
2021.02.26	138.4		140.0
2021.02.19	140.0		140.2
2021.02.12	140.2		137.0
2021.02.05	137.0		165.3
2021.01.29	165.3		163.5
2021.01.22	163.5		155.9
2021.01.15	155.9		143.0
2021.01.08	143.0		143.1
2021.01.04	143.1		143.9
2020.12.28	143.9		141.8
2020.12.18	141.8		156.4
2020.12.11	156.4		139.9
2020.12.04	139.9		138.3
2020.11.30	138.3		134.0
2020.11.20	134.0		135.3
2020.11.16	135.3		140.3
2020.11.06	140.3		155.6
2020.10.30	155.6		165.9
2020.10.23	165.9		168.6
2020.10.16	168.6		174.3
2020.10.09	174.3		188.1
2020.10.02	188.1		190.8
2020.09.25	190.8		178.6
2020.09.18	178.6		196.8
2020.09.11	196.8		196.7
2020.09.04	196.7		211.8
2020.08.28	211.8		196.9
2020.08.21	196.9		199.8
2020.08.14	199.8		180.6
2020.08.07	180.6		157.6
2020.07.31	157.6		125.0
2020.07.24	125.0		110.9
2020.07.17	110.9		103.6
2020.07.10	103.6		99.0
2020.07.06	99.0		118.4
2020.06.26	118.4		117.1
2020.06.19	117.1		95.6
2020.06.12	95.6		81.2
2020.06.05	81.2		75.2
2020.05.29	75.2		72.6
2020.05.22	72.6		78.1
2020.05.15	78.1		76.3
2020.05.08	76.3		79.7
2020.05.01	79.7		87.2
2020.04.24	87.2		86.6
2020.04.17	86.6		79.6
2020.04.10	79.6		74.2
2020.04.03	74.2		61.3
2020.03.27	61.3		32.5
2020.03.20	32.5		-12.7
2020.03.13	-12.7		-86.7
2020.03.06	-86.7		-114.0
2020.02.28	-114.0		-91.5
2020.02.21	-91.5		-85.7
2020.02.14	-85.7		-75.1
2020.02.07	-75.1		-58.9
2020.01.31	-58.9		-47.0
2020.01.24	-47.0		-48.2
2020.01.17	-48.2		-61.7
2020.01.10	-61.7		-74.3
2020.01.06	-74.3		-72.9
2019.12.30	-72.9		-65.7
2019.12.20	-65.7		-67.6
2019.12.13	-67.6		-69.0
2019.12.06	-69.0		-61.4
2019.12.02	-61.4		-62.5
2019.11.22	-62.5		-57.7
2019.11.15	-57.7		-60.7
2019.11.08	-60.7		-53.4
2019.11.01	-53.4		-51.1
2019.10.25	-51.1		-75.2
2019.10.18	-75.2		-75.4
2019.10.11	-75.4		-66.0
2019.10.04	-66.0		-60.7
2019.09.27	-60.7		-68.6
2019.09.20	-68.6		-49.8
2019.09.13	-49.8		-49.1
2019.09.06	-49.1		-38.8
2019.08.30	-38.8		-38.0
2019.08.23	-38.0		-46.6
2019.08.16	-46.6		-44.0
2019.08.09	-44.0		-54.0
2019.08.02	-54.0		-39.0
2019.07.26	-39.0		-31.4
2019.07.19	-31.4		-35.9
2019.07.12	-35.9		-31.7
2019.07.08	-31.7		-56.3
2019.06.28	-56.3		-52.3
2019.06.21	-52.3		-86.8
2019.06.14	-86.8		-87.6
2019.06.07	-87.6		-99.7
2019.05.31	-99.7		-101.1
2019.05.24	-101.1		-95.3
2019.05.17	-95.3		-106.1
2019.05.10	-106.1		-105.5
2019.05.03	-105.5		-105.4
2019.04.26	-105.4		-98.0
2019.04.19	-98.0		-102.2
2019.04.12	-102.2		-99.2
2019.04.05	-99.2		-80.3
2019.03.29	-80.3		-77.7
2019.03.22	-77.7		-75.7
2019.03.15	-75.7		-78.2
2019.03.08	-78.2		-72.5
2019.03.05	-72.5		-74.9
2019.03.01	-74.9		-63.9
2019.02.26	-63.9		-52.0
2019.02.22	-52.0		-46.5
2019.02.19	-46.5		-41.0
2019.02.15	-41.0		-32.7
2019.02.12	-32.7		-40.5
2019.02.08	-40.5		-46.6
2019.02.05	-46.6		-58.5
2019.02.01	-58.5		-53.1
2018.12.21	-53.1		-56.3
2018.12.14	-56.3		-60.8
2018.12.10	-60.8		-55.1
2018.11.30	-55.1		-47.2
2018.11.26	-47.2		-37.0
2018.11.16	-37.0		-46.8
2018.11.09	-46.8		-32.7
2018.11.02	-32.7		-30.3
2018.10.26	-30.3		-29.3
2018.10.19	-29.3		-16.1
2018.10.12	-16.1		-7.1
2018.10.05	-7.1		3.7
2018.09.28	3.7		1.7
2018.09.21	1.7		11.2
2018.09.14	11.2		8.0
2018.09.07	8.0		-7.2
2018.08.31	-7.2		-4.8
2018.08.24	-4.8		-1.8
2018.08.17	-1.8		10.6
2018.08.10	10.6		22.8
2018.08.03	22.8		29.6
2018.07.27	29.6		21.4
2018.07.20	21.4		24.4
2018.07.13	24.4		36.7
2018.07.09	36.7		33.9
2018.06.29	33.9		36.1
2018.06.22	36.1		88.2
2018.06.15	88.2		89.2
2018.06.08	89.2		93.0
2018.06.01	93.0		109.7
2018.05.25	109.7		115.1
2018.05.18	115.1		120.5
2018.05.11	120.5		120.6
2018.05.04	120.6		130.6
2018.04.27	130.6		151.5
2018.04.20	151.5		147.5
2018.04.13	147.5		134.4
2018.04.06	134.4		141.1
2018.03.30	141.1		132.7
2018.03.23	132.7		146.4
2018.03.16	146.4		133.0
2018.03.09	133.0		138.0
2018.03.02	138.0		126.1
2018.02.23	126.1		127.3
2018.02.16	127.3		140.8
2018.02.09	140.8		148.7
2018.02.02	148.7		144.7
2018.01.26	144.7	114.0	139.5
2018.01.19	139.5	169.6	144.7
2018.01.12	144.7	176.0	127.9
2018.01.05	127.9	76.4	92.1
2017.12.29	92.1	83.1	86.2
2017.12.22	86.2	135.0	113.9
2017.12.15	113.9	87.2	93.1
2017.12.08	93.1	81.2	89.7
2017.12.01	89.7	93.8	95.4
2017.11.27	95.4	94.7	84.6
2017.11.17	84.6	95.1	85.5
2017.11.13	85.5	60.3	72.1
2017.11.03	72.1	68.3	83.5
2017.10.27	83.5	70.1	90.5
2017.10.20	90.5	102.4	98.1
2017.10.13	98.1	118.2	90.8
2017.10.06	90.8	95.2	88.2
2017.09.29	88.2	39.6	62.8
2017.09.22	62.8	83.3	86.1
2017.09.15	86.1	102.4	96.3
2017.09.08	96.3	87.2	86.5
2017.09.01	86.5	81.5	88.0
2017.08.25	88.0	78.0	79.3
2017.08.18	79.3	105.6	93.7
2017.08.11	93.7		82.6
2017.08.04	82.6		90.8
2017.07.28	90.8		91.3
2017.07.21	91.3		83.8
2017.07.14	83.8		77.5
2017.07.07	77.5		58.7
2017.06.30	58.7		44.9
2017.06.23	44.9		79.1
2017.06.16	79.1		74.0
2017.06.09	74.0		72.9
2017.06.02	72.9		64.8
2017.05.26	64.8		37.6
2017.05.19	37.6		22.4
2017.05.12	22.4		-1.7
2017.05.05	-1.7		-20.9
2017.04.28	-20.9		-21.6
2017.04.21	-21.6		-19.0
2017.04.14	-19.0		-11.4
2017.04.07	-11.4		-7.9
2017.03.31	-7.9		-19.7
2017.03.24	-19.7		-41.0
2017.03.17	-41.0		-59.5
2017.03.10	-59.5		-51.2
2017.03.03	-51.2		-58.3
2017.02.24	-58.3		-46.8
2017.02.17	-46.8		-45.0
2017.02.10	-45.0		-45.7
2017.02.03	-45.7		-52.3
2017.01.27	-52.3		-66.5
2017.01.20	-66.5		-65.8
2017.01.13	-65.8		-70.1
2017.01.06	-70.1		-69.4
2016.12.30	-69.4		-78.0
2016.12.23	-78.0		-87.5
2016.12.16	-87.5		-114.6
2016.12.09	-114.6		-119.2
2016.12.02	-119.2		-119.3
2016.11.28	-119.3		-119.2
2016.11.18	-119.2		-129.3
2016.11.14	-129.3		-137.4
2016.11.04	-137.4		-123.9
2016.10.28	-123.9		-109.3
2016.10.21	-109.3		-93.5
2016.10.14	-93.5		-82.1
2016.10.07	-82.1		-76.0
2016.09.30	-76.0		-85.0
2016.09.23	-85.0		-81.5
2016.09.16	-81.5		-92.6
2016.09.09	-92.6		-81.9
2016.09.02	-81.9		-76.7
2016.08.26	-76.7		-92.5
2016.08.19	-92.5		-98.4
2016.08.12	-98.4		-104.1
2016.08.05	-104.1		-112.6
2016.07.29	-112.6		-99.9
2016.07.22	-99.9		-87.7
2016.07.15	-87.7		-75.3
2016.07.08	-75.3		-61.9
2016.07.01	-61.9		-61.3
2016.06.24	-61.3		-56.5
2016.06.17	-56.5		-67.1
2016.06.10	-67.1		-37.7
2016.06.03	-37.7		-37.9
2016.05.27	-37.9		-22.6
2016.05.20	-22.6		-21.9
