Date	ActualValue	ForecastValue	PreviousValue
2020.07.30	82.3	77.1	75.8
2020.06.29	75.7	171.6	67.5
2020.05.28	67.5	11.0	64.9
2020.04.29	67.0	86.7	94.2
2020.03.30	94.5	104.1	103.4
2020.02.27	103.5	103.9	102.6
2020.01.30	102.8	102.2	101.3
2020.01.08	101.5	100.7	101.2
2019.11.28	101.3	100.0	100.8
2019.10.30	100.8	101.7	101.7
2019.09.27	101.7	102.7	103.1
2019.08.29	103.1	102.2	102.7
2019.07.30	102.7	103.6	103.3
2019.06.27	103.3	104.5	105.2
2019.05.28	105.1	103.3	103.9
2019.04.29	104.0	105.7	105.6
2019.03.28	105.5	105.5	106.2
2019.02.27	106.1	104.7	106.3
2019.01.30	106.2	106.4	107.4
2019.01.08	107.3	108.8	109.5
2018.11.29	109.5	110.8	109.7
2018.10.30	109.8	111.5	110.9
2018.09.27	110.9	111.5	111.6
2018.08.30	111.6	111.5	112.1
2018.07.30	112.1	112.5	112.3
2018.06.28	112.3	112.1	112.5
2018.05.30	112.5	111.4	112.7
2018.04.27	112.7	111.4	112.7
2018.03.27	112.6	113.2	114.2
2018.02.27	114.1	114.7	114.9
2018.01.30	114.7	117.1	115.3
2018.01.08	116.0	114.7	114.6
2017.11.29	114.6	115.0	114.1
2017.10.30	114.0	113.9	113.1
2017.09.28	113.0	112.1	111.9
2017.08.30	111.9	112.3	111.3
2017.07.28	111.2	111.6	111.1
2017.06.29	111.1	110.0	109.2
2017.05.30	109.2	109.6	109.7
2017.04.27	109.6		108.0
2017.03.30	107.9		108.0
2017.02.27	108.0		108.2
2017.01.30	108.2		107.8
2017.01.06	107.8		106.6
2016.11.29	106.5		106.4
2016.10.28	106.3		104.9
2016.09.29	104.9		103.5
2016.08.30	103.5		104.5
2016.07.28	104.6		104.4
2016.06.29	104.4		104.6
2016.05.30	104.7		104.0
2016.04.28	103.9		103.0
2016.03.30	103.0		103.9
2016.02.26	103.8		106.7
2016.01.28	105.0		106.7
2016.01.07	106.8		106.1
2015.11.27	106.1		106.1
2015.10.29	105.9		105.6
2015.09.29	105.6		104.1
2015.08.28	104.2		104.0
2015.07.30	104.0		103.5
2015.06.29	103.5		103.8
2015.05.28	103.8		103.8
2015.04.29	103.7		103.9
2015.03.30	103.9		102.1
2015.02.26	102.3		101.2
2015.01.29	101.4		100.8
2015.01.08	100.6		100.8
2014.11.27	100.8		100.7
2014.10.30	100.7		99.9
2014.09.29	99.9		100.6
2014.08.28	100.6		102.2
2014.07.30	102.1		102.0
2014.06.27	102.1		102.7
2014.05.28	102.6		102.0
2014.04.29	102.0		102.4
2014.03.28	102.5		101.2
2014.02.27	101.2		100.9
2014.01.30	101.0		100.0
2014.01.09	100.4		98.5
2013.11.28	98.4		97.8
2013.10.30	97.7		96.9
2013.09.27	96.9		95.2
2013.08.30	95.2		92.5
2013.07.30	92.5		91.3
2013.06.27	91.3		89.4
2013.05.30	89.5		88.6
2013.04.29	88.6		90.0
2013.03.27	90.0		91.1
2013.02.27	91.1		89.2
2013.01.30	89.5		87.8
2013.01.08	87.8		85.7
2012.11.29	85.7		84.5
2012.10.30	84.5		85.0
2012.09.27	85.0		86.1
2012.08.30	86.1		87.9
2012.07.30	87.9		89.9
2012.06.28	89.9		90.6
2012.05.30	90.5		92.8
2012.04.26	92.9		94.4
2012.03.29	94.5		94.4
2012.02.28	94.5		93.4
2012.01.30	93.4		92.8
2012.01.06	92.8		93.8
2011.11.29	93.5		94.8
2011.10.27	94.4		93.9
2011.09.29	95.0		98.3
2011.08.30	98.4		103.2
2011.07.28	103.0		105.1
2011.06.29	105.4		105.5
2011.05.27	105.5		106.2
2011.04.29	106.1		107.3
2011.03.30	107.3		107.9
2011.02.24	108.0		106.5
2011.01.27	106.8		106.6
2011.01.06	106.9		105.1
2010.11.29	105.6		103.8
2010.10.28	104.3		103.2
2010.09.29	103.4		102.3
2010.08.30	102.2		101.3
2010.07.29	101.1		98.7
2010.06.29	99.0		98.4
2010.05.31	98.3		100.6
2010.04.29	100.1		97.9
2010.03.29	98.0		95.9
2010.02.25	95.8		96.0
2010.01.28	95.4		94.1
2010.01.07	94.4		88.8
2009.11.27	91.8		86.1
2009.10.29	89.7		82.8
2009.09.29	87.2		80.6
2009.08.28	84.7		76.0
2009.07.30	80.7		73.3
2009.06.29	78.4		70.2
2009.05.28	75.3		67.2
2009.04.29	72.5		64.6
2009.03.30	69.6		65.4
2009.02.26	70.7		68.9
2009.01.29	73.1		67.1
2009.01.08	70.4		74.9
2008.11.27	74.9		80.4
2008.10.30	80.4		87.7
2008.09.29	87.7		88.8
2008.08.29	88.5		89.5
2008.07.30	89.5		94.9
2008.06.27	94.9		97.1
2008.05.29	97.6		97.1
2008.04.30	97.1		99.6
2008.03.31	99.6		100.1
2008.02.29	100.2		101.7
2008.01.31	101.7		104.7
2007.12.31	103.4		105.9
2007.10.31	105.9		107.1
2007.09.28	106.9		111.0
2007.07.31	111.0		111.7
2007.06.29	111.7		111.9
2007.05.31	112.1		111.0
2007.04.30	111.0		111.2
2007.03.30	111.1		109.7
2007.02.28	109.7		
