Date	ActualValue	ForecastValue	PreviousValue
2020.05.15	-3.8	-3.8	-3.8
2020.04.30	-3.8	0.1	0.1
2020.03.10	0.1	0.1	0.1
2020.02.14	0.1	0.1	0.1
2020.01.31	0.1	0.2	0.3
2019.12.05	0.2	0.2	0.2
2019.11.14	0.2	0.2	0.2
2019.10.31	0.2	0.2	0.2
2019.09.06	0.2	0.2	0.2
2019.08.14	0.2	0.2	0.2
2019.07.31	0.2	0.4	0.4
2019.06.06	0.4	0.4	0.4
2019.05.15	0.4	0.4	0.4
2019.04.30	0.4	0.2	0.2
2019.03.07	0.2	0.2	0.2
2019.02.14	0.2	0.2	0.2
2019.01.31	0.2	0.2	0.2
2018.12.07	0.2	0.2	0.2
2018.11.14	0.2	0.3	0.2
2018.10.30	0.2	0.4	0.4
2018.09.07	0.4	0.3	0.4
2018.08.14	0.4	0.3	0.3
2018.07.31	0.3	0.4	0.4
2018.06.07	0.4	0.4	0.4
2018.05.15	0.4	0.5	0.4
2018.05.02	0.4	0.6	0.7
2018.03.07	0.6	0.6	0.6
2018.02.14	0.6	0.6	0.6
2018.01.30	0.6	0.6	0.7
2017.12.07	0.6	0.6	0.6
2017.11.14	0.6	0.6	0.6
2017.10.31	0.6	0.6	0.7
2017.09.07	0.6	0.6	0.6
2017.08.16	0.6	0.6	0.6
2017.08.01	0.6	0.6	0.5
2017.06.08	0.6	0.5	0.5
2017.05.16	0.5	0.4	0.5
2017.05.03	0.5	0.4	0.5
2017.03.07	0.4		0.4
2017.02.14	0.4		0.5
2017.01.31	0.5		0.4
2016.12.06	0.3		0.3
2016.11.15	0.3		0.3
2016.10.31	0.3		0.3
2016.09.06	0.3		0.3
2016.08.12	0.3		0.3
2016.07.29	0.3		0.6
2016.06.07	0.6		0.5
2016.05.13	0.5		0.6
2016.04.29	0.6		0.3
2016.03.08	0.3		0.3
2016.02.12	0.3		0.3
2015.12.08	0.3		0.3
2015.11.13	0.3		0.4
2015.09.08	0.4		0.5
2015.08.14	0.3		0.4
2015.06.09	0.4		0.4
2015.05.13	0.4		0.3
2015.03.06	0.3		0.3
2015.02.13	0.3		0.2
2014.12.05	0.2		0.2
2014.11.14	0.2		0.0
2014.09.05	0.0		0.0
2014.08.14	0.0		0.2
2014.07.02	0.2		0.2
2014.06.04	0.2		0.2
2014.05.15	0.2		0.2
2014.04.02	0.2		0.3
2014.03.05	0.3		0.3
2014.02.14	0.3		0.1
2014.01.10	0.1		0.1
2013.12.04	0.1		0.1
2013.11.14	0.1		0.3
2013.10.07	0.3		0.3
2013.09.04	0.3		0.3
2013.08.14	0.3		-0.3
2013.07.04	-0.3		-0.2
2013.06.05	-0.2		-0.2
2013.05.15	-0.2		-0.6
2013.04.05	-0.6		-0.6
2013.03.06	-0.6		-0.6
2013.02.14	-0.6		-0.1
2013.01.09	-0.1		-0.1
2012.12.06	-0.1		-0.1
2012.11.15	-0.1		-0.2
2012.10.05	-0.2		-0.2
2012.09.06	-0.2		-0.2
2012.08.14	-0.2		0.0
2012.06.06	0.0		0.0
2012.05.15	0.0		-0.3
2012.03.06	-0.3		-0.3
2012.02.15	-0.3		0.2
2011.12.06	0.2		0.2
2011.11.15	0.2		0.2
2011.10.05	0.2		0.2
2011.09.06	0.2		0.2
2011.08.16	0.2		0.8
2011.07.06	0.8		0.8
2011.06.08	0.8		0.8
2011.05.13	0.8		0.3
2011.04.06	0.3		0.3
2011.03.03	0.3		0.3
2011.02.15	0.3		0.3
2011.01.07	0.3		0.4
2010.12.02	0.4		0.4
2010.11.12	0.4		1.0
2010.10.06	1.0		0.3
2010.09.02	1.0		0.2
2010.08.13	1.0		0.2
2010.07.07	0.4		0.2
2010.06.04	0.2		-2.1
2010.05.12	0.1		0.2
2010.04.07	0.2		0.1
2010.03.04	0.1		0.1
2010.02.12	0.1		0.4
2010.01.08	0.4		0.4
2009.12.03	0.4		0.4
2009.11.13	0.4		-0.1
2009.10.07	-0.1		-0.1
2009.09.02	-0.1		-0.1
2009.08.13	-0.1		-2.5
2009.07.08	-2.5		-2.5
2009.06.03	-2.5		-2.5
2009.05.15	-2.5		-1.8
2009.04.07	-1.8		-1.5
2009.03.05	-1.5		-1.5
2009.02.13	-1.5		-0.6
2009.01.08	-0.6		-0.2
2008.12.04	-0.2		-0.2
2008.11.14	-0.2		-0.2
2008.10.08	-0.2		-0.2
2008.09.03	-0.2		-0.2
2008.08.14	-0.2		0.7
2008.07.09	0.7		0.8
2008.06.03	0.8		0.7
2008.05.15	0.7		0.4
2008.04.09	0.4		0.7
2008.03.04	0.4		0.4
2008.02.14	0.4		0.3
2008.01.09	0.3		0.7
2007.11.30	0.7		0.7
2007.11.14	0.7		0.3
2007.10.11	0.3		0.3
2007.09.04	0.3		0.3
2007.08.14	0.3		0.8
2007.07.12	0.8		0.6
2007.06.01	0.6		0.6
2007.05.15	0.6		0.9
2007.04.12	0.9		0.9
2007.03.06	0.9		0.6
2007.02.13	0.6		
