Date	ActualValue	ForecastValue	PreviousValue
2020.06.09	-3.1	-3.2	-3.2
2020.05.15	-3.2	-3.3	-3.3
2020.04.30	-3.3	0.9	1.0
2020.03.10	1.0	0.9	0.9
2020.02.14	0.9	1.0	1.0
2020.01.31	1.0	1.2	1.2
2019.12.05	1.2	1.2	1.2
2019.11.14	1.2	1.1	1.1
2019.10.31	1.1	1.2	1.2
2019.09.06	1.2	1.1	1.1
2019.08.14	1.1	1.1	1.1
2019.07.31	1.1	1.1	1.2
2019.06.06	1.2	1.2	1.2
2019.05.15	1.2	1.2	1.2
2019.04.30	1.2	0.8	1.2
2019.03.07	1.1	1.2	1.2
2019.02.14	1.2	1.2	1.2
2019.01.31	1.2	1.4	1.6
2018.12.07	1.6	1.6	1.7
2018.11.14	1.7	1.4	1.7
2018.10.30	1.7	2.0	2.2
2018.09.07	2.1	2.0	2.2
2018.08.14	2.2	1.9	2.1
2018.07.31	2.1	2.4	2.5
2018.06.07	2.5	2.3	2.5
2018.05.15	2.5	2.3	2.5
2018.05.02	2.5	2.6	2.8
2018.03.07	2.7	2.7	2.7
2018.02.14	2.7	2.6	2.7
2018.01.30	2.7	2.5	2.8
2017.12.07	2.6	2.5	2.5
2017.11.14	2.5	2.5	2.5
2017.10.31	2.5	2.4	2.3
2017.09.07	2.3	2.3	2.2
2017.08.16	2.2	2.2	2.1
2017.08.01	2.1	1.8	1.9
2017.06.08	1.9	1.6	1.7
2017.05.16	1.7	1.5	1.7
2017.05.03	1.7	1.6	1.8
2017.03.07	1.7		1.7
2017.02.14	1.7		1.8
2017.01.31	1.8		1.8
2016.12.06	1.7		1.6
2016.11.15	1.6		1.6
2016.10.31	1.6		1.6
2016.09.06	1.6		1.6
2016.08.12	1.6		1.6
2016.07.29	1.6		1.7
2016.06.07	1.7		1.5
2016.05.13	1.5		1.6
2016.04.29	1.6		1.6
2016.03.08	1.6		1.5
2016.02.12	1.5		1.6
2015.12.08	1.6		1.6
2015.11.13	1.6		1.5
2015.09.08	1.5		1.2
2015.08.14	1.2		1.0
2015.06.09	1.0		1.0
2015.05.13	1.0		0.9
2015.03.06	0.9		0.9
2015.02.13	0.9		0.8
2014.12.05	0.8		0.8
2014.11.14	0.8		0.7
2014.09.05	0.8		0.7
2014.08.14	0.7		0.9
2014.07.02	0.9		0.9
2014.06.04	0.9		0.9
2014.05.15	0.9		0.5
2014.04.02	0.5		0.5
2014.03.05	0.5		0.5
2014.02.14	0.5		-0.3
2014.01.10	-0.3		-0.4
2013.12.04	-0.4		-0.4
2013.11.14	-0.4		-0.5
2013.09.04	-0.5		-0.7
2013.08.14	-0.7		-1.1
2013.06.05	-1.1		-1.0
2013.05.15	-1.0		-0.9
2013.03.06	-0.9		-0.9
2013.02.14	-0.9		-0.6
2012.12.06	-0.6		-0.6
2012.11.15	-0.6		0.7
2012.09.06	-0.5		-0.4
2012.08.14	-0.4		-0.1
2012.06.06	-0.1		0.0
2012.05.15	0.0		-0.4
2012.03.06	-0.4		0.7
2012.02.15	0.7		1.6
2011.12.06	1.4		1.4
2011.11.15	1.4		1.6
2011.10.05	1.4		1.6
2011.09.06	1.6		1.7
2011.08.16	1.7		2.5
2011.07.06	2.5		2.5
2011.06.08	2.5		2.5
2011.05.13	2.5		2.0
2011.04.06	2.0		2.0
2011.03.03	2.0		2.0
2011.02.15	2.0		1.9
2011.01.07	1.9		1.9
2010.12.02	1.9		1.9
2010.11.12	1.9		2.0
2010.10.06	2.0		0.8
2010.09.02	1.9		0.6
2010.08.13	1.7		0.6
2010.07.07	0.8		0.6
2010.06.04	0.6		0.5
2010.05.12	0.5		-2.0
2010.04.07	-2.0		-2.1
2010.03.04	-2.1		-4.0
2010.02.12	-2.1		-4.0
2010.01.08	-4.0		-4.1
2009.12.03	-4.1		-4.1
2009.11.13	-4.1		-4.9
2009.10.07	-4.9		-4.7
2009.09.02	-4.7		-4.6
2009.08.13	-4.6		-5.2
2009.07.08	-5.2		-4.8
2009.06.03	-4.8		-4.6
2009.05.15	-4.6		-2.1
2009.04.07	-2.1		-1.3
2009.03.05	-1.3		-1.2
2009.02.13	-1.2		0.1
2009.01.08	0.1		0.6
2008.12.04	0.6		0.7
2008.11.14	0.7		1.2
2008.10.08	1.2		1.4
2008.09.03	1.4		1.5
2008.08.14	1.5		2.1
2008.07.09	2.1		2.2
2008.06.03	2.2		2.2
2008.05.15	2.2		2.1
2008.04.09	2.1		2.6
2008.03.04	2.2		2.3
2008.02.14	2.3		2.7
2008.01.09	2.7		2.7
2007.11.30	2.7		2.6
2007.11.14	2.6		2.5
2007.10.11	2.5		2.5
2007.09.04	2.5		3.1
2007.08.14	2.5		3.2
2007.07.12	3.2		3.0
2007.06.07	3.0		3.1
2007.05.15	3.1		3.3
2007.04.12	3.3		3.3
2007.03.06	3.3		3.3
2007.02.13	3.3		
