Date	ActualValue	ForecastValue	PreviousValue
2021.02.25	-3.3	-6.5	-6.1
2021.01.28	-5.9	-8.7	-6.8
2021.01.07	-7.2	-9.9	-10.1
2020.11.27	-10.1	-10.4	-9.2
2020.10.29	-9.6	-11.9	-11.4
2020.09.29	-11.1	-14.5	-12.8
2020.08.28	-12.7	-19.1	-16.2
2020.07.30	-16.2	-28.9	-21.6
2020.06.29	-21.7	-36.5	-27.5
2020.05.28	-27.5	-25.4	-32.5
2020.04.29	-30.4	-7.3	-11.2
2020.03.30	-10.8	-5.5	-6.2
2020.02.27	-6.1	-7.8	-7.0
2020.01.30	-7.3	-9.9	-9.3
2020.01.08	-9.3	-9.8	-9.1
2019.11.28	-9.2	-9.6	-9.5
2019.10.30	-9.5	-8.8	-8.9
2019.09.27	-8.8	-7.5	-5.8
2019.08.29	-5.9	-7.5	-7.3
2019.07.30	-7.4	-5.9	-5.6
2019.06.27	-5.6	-4.7	-2.9
2019.05.28	-2.9	-4.3	-4.3
2019.04.29	-4.1	-2.6	-1.6
2019.03.28	-1.7	-1.4	-0.4
2019.02.27	-0.4	-0.5	0.6
2019.01.30	0.5	0.7	2.3
2019.01.08	1.1	2.0	3.4
2018.11.29	3.4	4.0	3.0
2018.10.30	3.0	5.0	4.7
2018.09.27	4.7	5.0	5.6
2018.08.30	5.5	4.6	5.8
2018.07.30	5.8	5.6	6.9
2018.06.28	6.9	6.5	6.9
2018.05.30	6.8	7.6	7.3
2018.04.27	7.1	7.6	7.0
2018.03.27	6.4	8.6	8.0
2018.02.27	8.0	8.9	9.0
2018.01.30	8.8	8.5	8.8
2018.01.08	9.1	7.6	8.1
2017.11.29	8.2	6.6	8.0
2017.10.30	7.9	5.2	6.7
2017.09.28	6.6	4.5	5.0
2017.08.30	5.1	4.5	4.5
2017.07.28	4.5	3.6	4.5
2017.06.29	4.5	2.7	2.8
2017.05.30	2.8	1.9	2.6
2017.04.27	2.6		1.3
2017.03.30	1.2		1.3
2017.02.27	1.3		0.8
2017.01.30	0.8		0.0
2017.01.06	0.1		-1.1
2016.11.29	-1.1		-0.6
2016.10.28	-0.6		-1.8
2016.09.29	-1.7		-4.3
2016.08.30	-4.4		-2.6
2016.07.28	-2.4		-2.8
2016.06.29	-2.8		-3.7
2016.05.30	-3.6		-3.6
2016.04.28	-3.7		-4.2
2016.03.30	-4.2		-4.1
2016.02.26	-4.4		-3.1
2016.01.28	-3.2		-2.0
2016.01.07	-2.0		-3.2
2015.11.27	-3.2		-2.0
2015.10.29	-2.0		-2.3
2015.09.29	-2.2		-3.7
2015.08.28	-3.7		-2.9
2015.07.30	-2.9		-3.4
2015.06.29	-3.4		-3.0
2015.05.28	-3.0		-3.2
2015.04.29	-3.2		-2.9
2015.03.30	-2.9		-4.7
2015.02.26	-4.7		-5.0
2015.01.29	-4.8		-4.0
2015.01.08	-4.0		-4.3
2014.11.27	-4.3		-5.1
2014.10.30	-5.1		-5.5
2014.09.29	-5.5		-5.3
2014.08.28	-5.3		-3.8
2014.07.30	-3.8		-4.3
2014.06.27	-4.3		-3.0
2014.05.28	-3.1		-3.6
2014.04.29	-3.5		-3.3
2014.03.28	-3.3		-3.4
2014.02.27	-3.4		-3.9
2014.01.30	-3.8		-3.4
2014.01.09	-3.4		-3.9
2013.11.28	-3.9		-4.8
2013.10.30	-5.0		-6.7
2013.09.27	-6.6		-8.0
2013.08.30	-8.0		-10.6
2013.07.30	-10.6		-11.2
2013.06.27	-11.2		-13.0
2013.05.30	-13.0		-13.8
2013.04.29	-13.8		-12.5
2013.03.27	-12.3		-11.2
2013.02.27	-11.3		-13.9
2013.01.30	-13.8		-14.4
2013.01.08	-14.2		-15.1
2012.11.29	-15.0		-18.0
2012.10.30	-18.0		-16.1
2012.09.27	-15.9		-15.3
2012.08.30	-15.4		-15.0
2012.07.30	-15.1		-12.7
2012.06.28	-12.8		-11.3
2012.05.30	-11.4		-9.0
2012.04.26	-9.0		-7.2
2012.03.29	-7.1		-5.7
2012.02.28	-5.7		-7.1
2012.01.06	-7.0		-7.1
2011.11.29	-7.2		-6.5
2011.10.27	-6.5		-5.7
2011.09.29	-5.9		-2.7
2011.08.30	-2.7		1.1
2011.07.28	0.9		3.2
2011.06.29	3.5		3.9
2011.05.27	3.8		5.8
2011.04.29	5.6		6.6
2011.03.30	6.7		6.7
2011.02.24	6.6		6.0
2011.01.27	6.1		4.9
2011.01.06	5.1		0.7
2010.11.29	1.8		0.0
2010.10.28	0.6		-2.0
2010.09.29	-1.2		-3.0
2010.08.30	-2.6		-4.0
2010.07.29	-3.8		-6.0
2010.06.29	-5.4		-6.0
2010.05.31	-6.1		-7.0
2010.04.29	-7.6		-10.0
2010.03.29	-9.5		-13.0
2010.02.25	-12.6		-14.0
2010.01.28	-13.8		-16.0
2010.01.07	-15.9		-19.0
2009.11.27	-18.7		-21.0
2009.10.29	-21.0		-24.0
2009.09.29	-24.3		-25.0
2009.08.28	-26.0		-30.0
2009.07.30	-29.9		-32.0
2009.06.29	-31.7		-33.0
2009.05.28	-33.7		-35.0
2009.04.29	-35.5		-38.0
2009.03.30	-38.2		-36.0
2009.02.26	-36.7		-34.0
2009.01.29	-33.2		-33.0
2009.01.08	-33.2		-25.0
2008.11.27	-25.0		-18.0
2008.10.30	-18.0		-12.0
2008.09.30	-12.0		-10.0
2008.08.29	-10.0		-8.0
2008.07.30	-8.0		-5.0
2007.06.29	-5.0		6.0
2007.05.31	6.0		7.0
2007.04.30	7.0		6.0
2007.02.28	6.0		
