Date	ActualValue	ForecastValue	PreviousValue
2020.07.02	-0.6	-2.1	-2.0
2020.06.03	-2.0	-1.1	-1.5
2020.05.05	-1.5	-0.2	-0.7
2020.04.02	-0.6	0.2	0.2
2020.03.03	0.4	0.2	0.1
2020.02.04	0.0	0.3	0.1
2020.01.06	0.2	0.2	0.0
2019.12.03	0.1	-0.1	0.1
2019.11.05	0.1	-0.4	-0.5
2019.10.03	-0.5	-0.3	0.1
2019.09.03	0.2	-0.3	-0.6
2019.08.02	-0.6	0.0	-0.1
2019.07.02	-0.1	0.1	-0.3
2019.06.05	-0.3	0.1	-0.1
2019.05.03	-0.1	-0.1	0.1
2019.04.02	0.1	-0.4	0.3
2019.03.04	0.4	-0.5	-0.8
2019.02.04	-0.8	0.0	-0.3
2019.01.04	-0.3	0.2	0.8
2018.12.04	0.8	0.2	0.6
2018.11.06	0.5	0.3	0.4
2018.10.02	0.3	0.0	0.7
2018.09.04	0.4	0.1	0.4
2018.08.02	0.4	0.1	0.8
2018.07.03	0.8	0.1	0.0
2018.06.04	0.0	0.1	0.1
2018.05.03	0.1	0.0	0.0
2018.04.05	0.1	-0.1	0.4
2018.03.02	0.4	0.1	0.1
2018.02.02	0.2	0.1	0.6
2018.01.05	0.6	0.1	0.4
2017.12.04	0.4	0.1	0.5
2017.11.06	0.6	0.1	0.3
2017.10.03	0.3	0.1	0.0
2017.09.04	0.0	0.1	-0.2
2017.08.02	-0.1	0.2	-0.3
2017.07.04	-0.4	0.3	0.0
2017.06.02	0.0	0.3	-0.3
2017.05.03	-0.3	0.2	0.0
2017.04.03	0.0		1.1
2017.03.02	0.7		0.8
2017.02.02	0.7		0.3
2017.01.05	0.3		0.8
2016.12.02	0.8		0.1
2016.11.04	0.1		-0.2
2016.10.04	-0.2		0.3
2016.09.02	0.1		0.8
2016.08.02	0.7		0.6
2016.07.04	0.6		-0.3
2016.06.02	-0.3		0.3
2016.05.03	0.3		-0.7
2016.04.04	-0.7		-1.1
2016.03.02	-1.0		-0.8
2016.02.02	-0.8		-0.2
2016.01.06	-0.2		-0.3
2015.12.02	-0.3		-0.4
2015.11.04	-0.3		-0.8
2015.10.02	-0.8		-0.1
2015.09.02	-0.1		0.0
2015.08.04	-0.1		0.0
2015.07.02	0.0		-0.1
2015.06.02	-0.1		0.2
2015.05.05	0.2		0.6
2015.04.07	0.5		-0.9
2015.03.03	-1.1		-1.0
2015.02.03	-1.0		-0.3
2015.01.08	-0.3		-0.4
2014.12.02	-0.3		0.2
2014.11.04	0.2		-0.1
2014.10.02	-0.2		-0.1
2014.09.02	-0.2		0.1
2014.08.04	0.2		-0.1
2014.07.02	-0.1		-0.1
2014.06.04	-0.1		-0.2
2014.05.05	-0.2		-0.2
2014.04.02	-0.2		-0.3
2014.03.04	-0.3		0.2
2014.02.04	0.2		-0.1
2014.01.07	-0.1		-0.5
2013.12.03	0.2		0.1
2013.11.05	0.2		0.0
2013.10.04	0.0		0.3
2013.09.03	0.2		0.0
2013.08.02	0.0		-0.3
2013.07.02	-0.3		-0.6
2013.06.04	-0.6		-0.2
2013.05.03	-0.2		0.2
2013.04.04	0.2		0.6
2013.03.04	0.4		-0.2
2013.02.04	-0.2		-0.2
2013.01.07	-0.2		0.1
2012.12.04	0.1		0.2
2012.11.06	0.2		0.9
2012.10.02	0.9		0.4
2012.09.04	0.3		-0.5
2012.08.02	-0.5		-0.5
2012.07.03	-0.5		0.0
2012.06.04	0.1		0.5
2012.05.03	0.5		0.6
2012.04.03	0.6		0.8
2012.03.02	0.8		-0.2
2012.02.02	-0.2		0.2
2012.01.05	0.2		0.1
2011.12.02	0.1		0.3
2011.11.04	0.3		-0.1
2011.10.04	-0.2		0.5
2011.09.02	0.5		0.0
2011.08.02	0.0		-0.2
2011.07.04	-0.2		0.9
2011.06.06	0.9		0.7
2011.05.03	0.8		0.8
2011.04.04	0.8		1.5
2011.03.02	1.3		0.8
2011.02.02	0.8		0.3
2011.01.05	0.4		0.4
2010.12.02	0.4		0.3
2010.11.04	0.3		0.1
2010.10.04	0.1		0.2
2010.09.02	0.2		0.3
2010.08.03	0.3		0.3
2010.07.02	0.3		0.9
2010.06.02	1.0		0.6
2010.05.04	0.6		0.1
2010.04.07	0.1		0.7
2010.03.02	0.7		0.1
2010.02.02	0.1		0.1
2010.01.06	0.2		0.2
2009.12.02	0.3		-0.4
2009.11.04	-0.4		0.4
2009.10.02	0.5		-0.7
2009.09.04	-0.7		0.3
2009.08.04	0.4		-0.2
2009.07.02	-0.1		-1.0
2009.06.03	-0.9		-0.7
2009.05.05	-0.7		-0.5
2009.04.06	-0.5		-1.1
2009.03.12	-1.2		-1.3
2009.02.03	-1.5		-1.9
2009.01.07	-2.1		-0.8
2008.12.02	-0.8		-0.2
2008.11.04	-0.2		-0.5
2008.10.02	-0.5		1.1
2008.09.02	1.1		0.9
2008.08.04	1.0		1.2
2008.07.02	1.2		0.8
2008.06.03	0.8		0.7
2008.05.06	0.7		0.6
2008.04.02	0.7		0.8
2008.03.04	0.9		0.1
2008.02.04	0.1		0.8
2008.01.07	0.9		0.6
2007.12.04	0.7		0.4
2007.11.06	0.4		0.1
2007.10.02	0.1		0.3
2007.09.04	0.3		0.1
2007.08.02	0.1		0.4
2007.07.03	0.4		0.4
2007.06.04	0.4		0.3
2007.05.03	0.3		0.3
2007.04.03	0.3		0.1
2007.03.02	0.2		
