Date	ActualValue	ForecastValue	PreviousValue
2020.09.07	-8.0	-26.4	-13.4
2020.08.10	-13.4	-22.4	-18.2
2020.07.06	-18.2	-2.9	-24.8
2020.06.08	-24.8	-56.3	-41.8
2020.05.04	-41.8	-65.7	-42.9
2020.04.06	-42.9	-28.2	-17.1
2020.03.09	-17.1	4.4	5.2
2020.02.10	5.2	12.7	7.6
2020.01.06	7.6	9.0	0.7
2019.12.09	0.7	-1.6	-4.5
2019.11.04	-4.5		-16.8
2019.10.07	-16.8		-11.1
2019.09.09	-11.1		-13.7
2019.08.05	-13.7		-5.8
2019.07.08	-5.8		-3.3
2019.06.11	-3.3		5.3
2019.05.06	5.3		-0.3
2019.04.08	-0.3		-2.2
2019.03.04	-2.2		-3.7
2019.02.04	-3.7		-1.5
2019.01.07	-1.5		-0.3
2018.12.10	-0.3		8.8
2018.11.05	8.8		11.4
2018.10.08	11.4		12.0
2018.09.10	12.0		14.7
2018.08.06	14.7		12.1
2018.07.09	12.1		9.3
2018.06.04	9.3		19.2
2018.05.07	19.2		19.6
2018.04.09	19.6		24.0
2018.03.05	24.0		31.9
2018.02.05	31.9		32.9
2018.01.08	32.9		31.1
2017.12.04	31.1		34.0
2017.11.06	34.0		29.7
2017.10.09	29.7		28.2
2017.09.04	28.2		27.7
2017.08.07	27.7		28.3
2017.07.10	28.3		28.4
2017.06.06	28.4		27.4
2017.05.08	27.4		23.9
2017.04.10	23.9		20.7
2017.03.06	20.7		17.4
2017.02.06	17.4		18.2
2017.01.09	18.2		10.0
2016.12.05	10.0		13.1
2016.11.07	13.1		8.5
2016.10.10	8.5		5.6
2016.09.05	5.6		4.2
2016.08.08	4.2		1.7
2016.07.04	1.7		9.9
2016.06.06	9.9		6.2
2016.05.09	6.2		5.7
2016.04.04	5.7		5.5
2016.03.07	5.5		6.0
2016.02.08	6.0		9.6
2016.01.11	9.6		15.7
2015.12.07	15.7		15.1
2015.11.09	15.1		11.7
2015.10.05	11.7		13.6
2015.09.07	13.6		18.4
2015.08.10	18.4		18.5
2015.07.06	18.5		17.1
2015.06.08	17.1		19.6
2015.05.04	19.6		20.0
2015.04.07	20.0		18.6
2015.03.09	18.6		12.4
2015.02.09	12.4		0.9
2015.01.05	0.9		-2.5
2014.12.08	-2.5		-11.9
2014.11.10	-11.9		-13.7
2014.10.06	-13.7		-9.8
2014.09.08	-9.8		2.7
2014.08.04	2.7		10.1
2014.07.07	10.1		8.5
2014.06.09	8.5		12.8
2014.05.05	12.8		14.1
2014.04.07	14.1		13.9
2014.03.10	13.9		13.3
2014.02.10	13.3		11.9
2014.01.06	11.9		8.0
2013.12.09	8.0		9.3
2013.11.04	9.3		6.1
2013.10.07	6.1		6.5
2013.09.09	6.5		-4.9
2013.08.05	-4.9		-12.6
2013.07.08	-12.6		-11.6
2013.06.10	-11.6		-15.6
2013.05.06	-15.6		-17.3
2013.04.08	-17.3		-10.6
2013.03.04	-10.6		-3.9
2013.02.04	-3.9		-7.0
2013.01.07	-7.0		-16.8
2012.12.10	-16.8		-18.8
2012.11.05	-18.8		-22.2
2012.10.08	-22.2		-23.2
2012.09.10	-23.2		-30.3
2012.08.06	-30.3		-29.6
2012.07.09	-29.6		-28.9
2012.06.04	-28.9		-24.5
2012.05.07	-24.5		-14.7
2012.04.10	-14.7		-8.2
2012.03.05	-8.2		-11.1
2012.02.06	-11.1		-21.1
2012.01.09	-21.1		-24.0
2011.12.05	-24.0		-21.2
2011.11.07	-21.2		-18.5
2011.10.10	-18.5		-15.4
2011.09.05	-15.4		-13.5
2011.08.08	-13.5		5.3
2011.07.04	5.3		3.5
2011.06.06	3.5		10.9
2011.05.09	10.9		14.2
2011.04.04	14.2		17.1
2011.03.07	17.1		16.7
2011.02.07	16.7		10.6
2011.01.10	10.6		9.7
2010.12.06	9.7		14.0
2010.11.08	14.0		8.8
2010.10.04	8.8		7.6
2010.09.06	7.6		8.2
2010.08.09	8.5		-1.3
2010.07.05	-1.3		-4.1
2010.06.07	-4.1		-6.4
2010.05.10	-6.4		2.5
2010.04.06	2.5		-7.5
2010.03.08	-7.5		-8.2
2010.02.08	-8.2		-3.7
2010.01.04	-3.7		-5.5
2009.12.07	-5.5		-7.0
2009.11.09	-7.0		-12.6
2009.10.05	-12.6		-14.6
2009.09.07	-14.6		-17.0
2009.08.10	-17.0		-31.3
2009.07.06	-31.3		-27.0
2009.06.08	-27.0		-34.3
2009.05.04	-34.3		-35.3
2009.04.06	-35.3		-42.7
2009.03.09	-42.7		-36.1
2009.02.09	-36.1		-34.4
2009.01.05	-34.4		-42.3
2008.12.08	-42.3		-36.4
2008.11.10	-36.4		-27.8
2008.10.06	-27.8		-20.2
2008.09.08	-20.2		-15.3
2008.08.04	-15.3		-9.3
2008.07.07	-9.3		5.2
2008.06.09	5.2		3.5
2008.05.05	3.5		4.1
2008.04.07	4.1		
