Date	ActualValue	ForecastValue	PreviousValue
2020.04.20	23	20	1.7
2020.03.18	1.3	3.9	23.1
2020.02.14	23.1	21.4	20.7
2020.01.15	20.7	27.8	28
2019.12.17	28	17	18.7
2019.11.15	18.7	17.4	14.7
2019.10.16	14.7	15.4	24.8
2019.09.13	24.8	17.3	20.6
2019.08.16	20.6	19.4	22.2
2019.07.16	23	14.5	15.7
2019.06.18	15.7	8.8	22.5
2019.05.16	22.5	19.9	17.9
2019.04.17	17.9	12.3	1.5
2019.03.18	1.5	-8	17
2019.02.15	17	20.2	19
2019.01.15	19	24	14
2018.12.17	14	12.5	13.1
2018.11.15	13.1	23.3	11.7
2018.10.16	11.7	15.1	17.6
2018.09.14	17.6	18.4	22.5
2018.08.16	22.5	23.2	16.5
2018.07.16	16.5	20.9	16.7
2018.06.15	16.7	14.2	26.9
2018.05.18	26.9	27.9	18.9
2018.04.13	18.9	16.6	3.3
2018.03.19	3.3	-6.5	25.4
2018.02.15	25.4	30.2	26.3
2018.01.15	26.3	28.2	18.9
2017.12.15	18.9	15.9	26.4
2017.11.15	26.4	28.6	16.1
2017.10.16	16.1	14.3	23.2
2017.09.15	23.2	19.4	26.6
2017.08.17	26.6	27.9	21.4
2017.07.14	21.4	22.3	17.9
2017.06.15	17.9	24	30.9
2017.05.16	30.9	27.1	17.8
2017.04.19	17.8		-0.6
2017.03.17	-0.6		28.1
2017.02.15	28.1		25.9
2017.01.16	25.9		20.1
2016.12.16	20.1		26.5
2016.11.15	26.5		18.4
2016.10.14	18.4		25.3
2016.09.15	25.3		29.2
2016.08.16	29.2		24.6
2016.07.15	24.6		27.5
2016.06.15	27.5		28.6
2016.05.17	28.6		19
2016.04.15	19		6.2
2016.03.17	6.2		24.3
2016.02.15	24.3		23.6
2016.01.15	23.6		24.1
2015.12.16	24.1		20.5
2015.11.13	20.5		11.2
2015.10.16	11.2		31.4
2015.09.15	31.4		26.4
2015.08.17	26.4		18.8
2015.07.16	18.8		24.9
2015.06.15	24.9		23.4
2015.05.19	23.4		20.3
2015.04.15	20.3		7.9
2015.03.18	7.6		24.3
2015.02.16	23.9		20
2015.01.15	21.2		24
2014.12.16	23.6		18.5
2014.11.17	18.1		9.2
2014.10.16	8.6		21.2
2014.09.15	21.6		16.8
2014.08.18	16.7		15.4
2014.07.16	15.4		15.7
2014.06.13	15.4		17.1
2014.05.16	16.7		13.6
2014.04.15	13.6		0.9
2014.03.18	0.8		13.9
2014.02.14	13.8		17.1
2014.01.15	17.1		16.8
2013.12.16	16.8		13.1
2013.11.18	10.9		7.1
2013.10.16	6.9		18.2
2013.09.17	18		17.3
2013.08.16	16.5		15.2
2013.07.16	14.5		14.9
2013.06.17	14.1		22.9
2013.05.16	22.5		10.4
2013.04.15	10.1		-3.9
2013.03.18	-4.7		11.7
2013.02.15	10.8		13.7
2013.01.15	13		10.2
2012.12.17	10.2		9.8
2012.11.16	9.5		6.6
2012.10.16	5.2		15.6
2012.09.17	14.7		14.9
2012.08.17	13.6		6.9
2012.07.16	7.1		5.2
2012.06.15	3.7		8.6
2012.05.16	7.5		2.8
2012.04.16	2.3		-7.6
2012.03.16	-7.9		9.1
2012.02.15	9.1		6.3
2012.01.13	6.3		1.1
2011.12.16	1		2.7
2011.11.15	2.5		-4.4
2011.10.14	-4.8		2.5
2011.09.16	2.4		2.4
2011.08.16	-0.1		0.2
2011.07.15	-0.7		-4.8
2011.06.17	-4.3		2.8
2011.05.16	1.6		-3
2011.04.15	-3.2		-14.8
2011.03.18	-16.1		-0.5
2011.02.15	-1.4		-1.5
2011.01.14	-2.2		4.654
2010.12.17	3.9		2.57
2010.11.15	1.6		-5
2010.10.15	-5.118		6.2
2010.09.16	6.368		2.2
2010.08.13	1.771		-3.3
2010.07.16	-3.763		0.3
2010.06.15	-0.007		4.5
2010.05.18	4.008		2.4
2010.04.16	1.962		-9
2010.03.18	-9.671		4.1
2010.02.17	3.208		5.3
2010.01.15	2.7		6.6
2009.12.18	4.4		0.9
2009.11.17	0.742		-2.3
2009.10.16	-2.27		12.3
2009.09.17	12.492		5.4
2009.08.17	5.505		2.1
2009.07.17	1.946		2.7
2009.06.17	1.928		0.4
2009.05.18	1.021		-1
2009.04.17	-2.345		-10.9
2009.03.23	-12.686		-1.7
2009.02.17	-1.462		-5.8
2009.01.16	-6.498		0.5
2008.12.18	-1.002		-5.6
2008.11.17	-4.5		-9.3
2008.10.17	-9.4		-2.3
2008.09.17	-2		-0.1
2008.08.18	-0.2		-4.6
2008.07.18	-4.6		2.3
2008.06.17	2.5		-2.3
2008.05.16	-1.5		0.8
2008.04.17	0.8		-10.7
2008.03.19	-11		-4.2
2008.02.15	-4.1		2.4
2008.01.17	3		6.1
2007.12.18	5.4		1.3
2007.10.15	1.3		4.6
2007.09.17	4.6		7.8
2007.08.20	7.6		-1.7
2007.04.17	-1.7		-7.8
2007.03.22	-7		2.5
2007.02.16	3.2		3.1
