Date	ActualValue	ForecastValue	PreviousValue
2020.06.30	0.807		0.797
2020.05.29	0.797		0.905
2020.04.30	0.905		0.871
2020.03.31	0.871		0.813
2020.02.28	0.813		0.852
2020.01.31	0.852		0.834
2019.12.26	0.834		0.879
2019.11.29	0.879		0.897
2019.10.31	0.897		0.891
2019.09.30	0.891		0.91
2019.08.30	0.91		0.922
2019.07.31	0.922		0.9
2019.06.28	0.9		0.931
2019.05.31	0.931		0.989
2019.04.26	0.989		0.967
2019.03.29	0.967		0.872
2019.02.28	0.872		0.961
2019.01.31	0.961		0.957
2018.12.27	0.957		0.95
2018.11.30	0.95		0.943
2018.10.31	0.943		0.957
2018.09.28	0.957		0.985
2018.08.31	0.985		0.915
2018.07.31	0.915		0.996
2018.06.29	0.996		0.992
2018.05.31	0.992		0.895
2018.04.27	0.895		0.926
2018.03.30	0.926		0.856
2018.02.28	0.856		0.936
2018.01.31	0.936		0.951
2017.12.27	0.951		0.933
2017.11.30	0.933		0.952
2017.10.31	0.952		0.942
2017.09.29	0.942		0.974
2017.08.31	0.974		1.003
2017.07.31	1.003		0.998
2017.06.30	0.998		1.004
2017.05.31	1.004		0.984
2017.04.28	0.984		0.94
2017.03.31	0.94		1.001
2017.02.28	1.001		0.923
2017.01.31	0.923		0.937
2016.12.27	0.937		0.983
2016.11.30	0.983		0.984
2016.10.31	0.984		0.956
2016.09.30	0.956		1.005
2016.08.31	1.005		1.004
2016.07.29	1.004		1.017
2016.06.30	1.017		0.995
2016.05.31	0.995		0.993
2016.04.28	0.993		0.974
2016.03.31	0.974		0.873
2016.02.29	0.873		0.86
2016.01.29	0.86		0.8
2015.12.25	0.8		0.862
2015.11.30	0.862		0.9
2015.10.30	0.9		0.931
2015.09.30	0.931		0.914
2015.08.31	0.914		1.033
2015.07.31	1.033		0.912
2015.06.30	0.912		0.913
2015.05.29	0.913		0.92
2015.04.30	0.92		0.905
2015.03.31	0.905		0.864
2015.02.27	0.864		0.883
2015.01.30	0.883		0.888
2014.12.25	0.888		0.904
2014.11.28	0.904		0.88
2014.10.31	0.88		0.845
2014.09.30	0.845		0.839
2014.08.29	0.839		0.883
2014.07.31	0.883		0.872
2014.06.30	0.872		0.906
2014.05.30	0.906		0.895
2014.04.30	0.895		0.919
2014.03.31	0.919		0.987
2014.02.28	0.987		1.055
2014.01.31	1.055		1.033
2013.12.26	1.033		1.037
2013.11.29	1.037		1.044
2013.10.31	1.044		0.96
2013.09.30	0.96		0.975
2013.08.30	0.975		0.976
2013.07.31	0.976		1.027
2013.06.28	1.027		0.939
2013.05.31	0.939		0.904
2013.04.30	0.904		0.944
2013.03.29	0.944		0.863
2013.02.28	0.863		0.88
2013.01.31	0.88		0.907
2012.12.27	0.907		0.978
2012.11.30	0.978		0.866
2012.10.31	0.866		0.888
2012.09.28	0.888		0.87
2012.08.31	0.87		0.837
2012.07.31	0.837		0.903
2012.06.29	0.903		0.896
2012.05.31	0.896		0.848
2012.04.27	0.848		0.917
2012.03.30	0.917		0.822
2012.02.29	0.822		0.783
2012.01.31	0.783		0.845
2011.12.27	0.845		0.774
2011.11.30	0.774		0.745
2011.10.31	0.745		0.934
2011.09.30	0.934		0.955
2011.08.31	0.955		0.817
2011.07.29	0.817		0.815
2011.06.30	0.815		0.798
2011.05.31	0.798		0.807
2011.04.28	0.807		0.872
2011.03.31	0.872		0.847
2011.02.28	0.847		0.861
2011.01.31	0.861		0.847
2010.12.27	0.847		0.821
2010.11.30	0.821		0.836
2010.10.29	0.836		0.819
2010.09.30	0.819		0.772
2010.08.31	0.772		0.75
2010.07.30	0.75		0.737
2010.06.30	0.737		0.793
2010.05.31	0.793		0.854
2010.04.30	0.854		0.794
2010.03.31	0.794		0.863
2010.02.26	0.863		0.819
2010.01.29	0.819		0.798
2009.12.25	0.798		0.762
2009.11.30	0.762		0.699
2009.10.30	0.699		0.676
2009.09.30	0.676		
